Date,Inflation
1970-01-01,100.00000
1970-02-01,101.11432
1970-03-01,101.95852
1970-04-01,102.42072
1970-05-01,102.18919
1970-06-01,103.37590
1970-07-01,104.32513
1970-08-01,105.59845
1970-09-01,108.13831
1970-10-01,109.59210
1970-11-01,108.88016
1970-12-01,106.29535
1971-01-01,106.40358
1971-02-01,105.57336
1971-03-01,105.69558
1971-04-01,104.69985
1971-05-01,103.70548
1971-06-01,102.77726
1971-07-01,102.05937
1971-08-01,100.52028
1971-09-01,99.28874
1971-10-01,98.70581
1971-11-01,98.77529
1971-12-01,97.34093
1972-01-01,94.15100
1972-02-01,94.07994
1972-03-01,96.07311
1972-04-01,98.63459
1972-05-01,99.92833
1972-06-01,102.14305
1972-07-01,103.61229
1972-08-01,103.69744
1972-09-01,103.81450
1972-10-01,103.95020
1972-11-01,104.21267
1972-12-01,99.00408
1973-01-01,91.15686
1973-02-01,89.33880
1973-03-01,89.53666
1973-04-01,95.64014
1973-05-01,96.85229
1973-06-01,93.54569
1973-07-01,88.90005
1973-08-01,92.38676
1973-09-01,100.62480
1973-10-01,109.64112
1973-11-01,113.76479
1973-12-01,119.12967
1974-01-01,122.22948
1974-02-01,118.39414
1974-03-01,123.65706
1974-04-01,128.21520
1974-05-01,124.27673
1974-06-01,118.45237
1974-07-01,121.06090
1974-08-01,124.88102
1974-09-01,101.84139
1974-10-01,107.52737
1974-11-01,106.41133
1974-12-01,107.10361
1975-01-01,104.73332
1975-02-01,92.42214
1975-03-01,89.20145
1975-04-01,93.10293
1975-05-01,92.62104
1975-06-01,93.43879
1975-07-01,97.07289
1975-08-01,100.37900
1975-09-01,102.43252
1975-10-01,102.16605
1975-11-01,101.64474
1975-12-01,101.67428
1976-01-01,101.11835
1976-02-01,100.13268
1976-03-01,98.27917
1976-04-01,107.27542
1976-05-01,105.72957
1976-06-01,104.71079
1976-07-01,109.66640
1976-08-01,107.63408
1976-09-01,110.99876
1976-10-01,108.32900
1976-11-01,106.62014
1976-12-01,111.09633
1977-01-01,109.40693
1977-02-01,113.55225
1977-03-01,112.07714
1977-04-01,115.58449
1977-05-01,114.35333
1977-06-01,112.90094
1977-07-01,115.08519
1977-08-01,113.50635
1977-09-01,114.54340
1977-10-01,115.51922
1977-11-01,116.82645
1977-12-01,116.89797
1978-01-01,116.34877
1978-02-01,105.75247
1978-03-01,102.84649
1978-04-01,105.59235
1978-05-01,108.95449
1978-06-01,109.94512
1978-07-01,110.67446
1978-08-01,114.03373
1978-09-01,95.83352
1978-10-01,92.86964
1978-11-01,95.51802
1978-12-01,93.72966
1979-01-01,93.82150
1979-02-01,95.07481
1979-03-01,96.04511
1979-04-01,99.58077
1979-05-01,102.75484
1979-06-01,103.00190
1979-07-01,101.77176
1979-08-01,98.36340
1979-09-01,97.90591
1979-10-01,103.41250
1979-11-01,106.49145
1979-12-01,104.20085
1980-01-01,110.12294
