Date,Inflation
1970-01-01,100.00000
1970-02-01,100.01644
1970-03-01,98.29041
1970-04-01,89.14462
1970-05-01,82.91885
1970-06-01,84.09270
1970-07-01,83.71259
1970-08-01,83.54069
1970-09-01,81.14050
1970-10-01,80.38253
1970-11-01,83.26720
1970-12-01,83.42321
1971-01-01,84.95965
1971-02-01,87.33558
1971-03-01,86.83949
1971-04-01,85.27298
1971-05-01,82.29665
1971-06-01,80.87287
1971-07-01,80.44929
1971-08-01,75.59044
1971-09-01,70.09092
1971-10-01,69.55657
1971-11-01,71.37429
1971-12-01,69.59808
1972-01-01,68.81899
1972-02-01,69.56973
1972-03-01,69.19961
1972-04-01,68.87838
1972-05-01,68.14268
1972-06-01,66.55690
1972-07-01,66.04448
1972-08-01,66.04168
1972-09-01,66.62795
1972-10-01,69.19618
1972-11-01,76.77075
1972-12-01,80.97076
1973-01-01,78.19433
1973-02-01,73.90900
1973-03-01,70.17695
1973-04-01,71.74575
1973-05-01,70.41599
1973-06-01,72.37418
1973-07-01,73.97006
1973-08-01,73.95998
1973-09-01,75.20484
1973-10-01,76.17048
1973-11-01,79.41915
1973-12-01,81.86495
1974-01-01,90.79037
1974-02-01,90.09119
1974-03-01,88.72399
1974-04-01,89.89073
1974-05-01,89.02657
1974-06-01,90.39051
1974-07-01,90.34114
1974-08-01,91.40516
1974-09-01,92.23841
1974-10-01,93.30957
1974-11-01,93.74378
1974-12-01,95.19264
1975-01-01,94.17961
1975-02-01,93.01642
1975-03-01,93.56823
1975-04-01,95.37314
1975-05-01,95.19788
1975-06-01,95.07717
1975-07-01,97.52108
1975-08-01,99.91399
1975-09-01,103.23619
1975-10-01,103.14630
1975-11-01,106.03443
1975-12-01,109.05539
1976-01-01,109.88680
1976-02-01,110.96451
1976-03-01,110.87715
1976-04-01,109.99790
1976-05-01,111.68475
1976-06-01,113.63478
1976-07-01,113.42673
1976-08-01,114.38739
1976-09-01,114.85742
1976-10-01,114.54546
1976-11-01,115.10179
1976-12-01,114.03663
1977-01-01,114.35147
1977-02-01,112.98221
1977-03-01,112.30993
1977-04-01,111.16559
1977-05-01,112.41368
1977-06-01,111.35172
1977-07-01,111.00952
1977-08-01,111.62974
1977-09-01,112.75918
1977-10-01,110.31217
1977-11-01,109.66296
1977-12-01,109.11088
1978-01-01,107.87753
1978-02-01,106.92787
1978-03-01,104.83121
1978-04-01,104.23824
1978-05-01,105.08730
1978-06-01,100.88902
1978-07-01,98.58278
1978-08-01,96.29590
1978-09-01,94.44884
1978-10-01,91.94067
1978-11-01,75.72144
1978-12-01,65.30170
1979-01-01,65.06279
1979-02-01,70.09420
1979-03-01,67.23174
1979-04-01,70.09033
1979-05-01,71.89111
1979-06-01,73.12402
1979-07-01,73.10070
1979-08-01,74.84595
1979-09-01,74.83345
1979-10-01,75.88939
1979-11-01,78.06759
1979-12-01,77.09812
1980-01-01,76.56743
1980-02-01,77.39163
1980-03-01,78.93806
1980-04-01,79.25493
1980-05-01,77.63568
1980-06-01,76.79942
1980-07-01,77.35889
1980-08-01,78.88679
1980-09-01,77.01983
1980-10-01,77.44748
1980-11-01,80.01204
1980-12-01,80.15593
1981-01-01,79.42719
1981-02-01,81.30140
1981-03-01,82.04996
1981-04-01,83.65706
1981-05-01,85.31098
1981-06-01,86.49637
1981-07-01,88.98272
1981-08-01,90.05493
1981-09-01,87.46940
1981-10-01,87.42574
1981-11-01,85.10193
1981-12-01,84.34132
1982-01-01,88.37723
1982-02-01,91.11402
1982-03-01,92.36667
1982-04-01,92.12218
1982-05-01,89.64494
1982-06-01,92.89052
1982-07-01,94.62484
1982-08-01,94.03567
1982-09-01,94.39543
1982-10-01,96.02527
1982-11-01,95.45493
1982-12-01,90.93368
1983-01-01,92.04662
1983-02-01,92.44483
1983-03-01,92.03410
1983-04-01,68.20946
1983-05-01,68.40598
1983-06-01,70.36911
1983-07-01,70.90495
1983-08-01,71.49975
1983-09-01,71.51145
1983-10-01,69.89293
1983-11-01,70.32026
1983-12-01,70.81766
1984-01-01,73.19589
1984-02-01,73.29304
1984-03-01,71.44682
1984-04-01,72.02848
1984-05-01,73.25218
1984-06-01,73.69489
1984-07-01,75.04607
1984-08-01,73.96356
1984-09-01,73.23692
1984-10-01,73.32288
1984-11-01,72.42005
1984-12-01,73.89647
1985-01-01,74.55817
1985-02-01,75.13980
1985-03-01,74.22415
1985-04-01,73.23419
1985-05-01,72.91009
1985-06-01,72.70695
1985-07-01,70.71544
1985-08-01,69.64809
1985-09-01,69.50206
1985-10-01,65.62754
1985-11-01,64.55035
1985-12-01,64.03755
1986-01-01,63.76970
1986-02-01,61.86015
1986-03-01,60.61105
1986-04-01,60.40029
1986-05-01,59.71671
1986-06-01,59.88382
1986-07-01,58.34013
1986-08-01,57.37834
1986-09-01,46.18922
1986-10-01,41.34914
1986-11-01,41.94210
1986-12-01,41.74428
1987-01-01,40.78206
1987-02-01,40.78309
1987-03-01,40.11121
1987-04-01,38.91826
1987-05-01,39.12874
1987-06-01,39.60106
1987-07-01,40.48039
1987-08-01,40.48267
1987-09-01,39.65681
1987-10-01,40.01994
1987-11-01,39.20066
1987-12-01,38.07106
1988-01-01,38.01827
1988-02-01,38.59416
1988-03-01,38.03954
1988-04-01,37.63052
1988-05-01,37.78687
1988-06-01,38.34638
1988-07-01,39.62913
1988-08-01,39.82169
1988-09-01,39.48176
1988-10-01,38.43237
1988-11-01,37.38258
1988-12-01,37.10291
