Date,Inflation
1970-01-01,100.00000
1970-02-01,99.72807
1970-03-01,100.06135
1970-04-01,100.20002
1970-05-01,99.34020
1970-06-01,99.04928
1970-07-01,98.34697
1970-08-01,98.20129
1970-09-01,99.46633
1970-10-01,100.54234
1970-11-01,100.16848
1970-12-01,100.32104
1971-01-01,100.55303
1971-02-01,100.38793
1971-03-01,100.19591
1971-04-01,101.16490
1971-05-01,100.65871
1971-06-01,100.38460
1971-07-01,100.02818
1971-08-01,99.76444
1971-09-01,104.40767
1971-10-01,107.80282
1971-11-01,108.14182
1971-12-01,109.58849
1972-01-01,112.57801
1972-02-01,112.13499
1972-03-01,112.55879
1972-04-01,113.73430
1972-05-01,113.59948
1972-06-01,113.11710
1972-07-01,112.95471
1972-08-01,113.48453
1972-09-01,113.74014
1972-10-01,114.23451
1972-11-01,113.82384
1972-12-01,114.28613
1973-01-01,116.72460
1973-02-01,122.60845
1973-03-01,130.65396
1973-04-01,130.46046
1973-05-01,131.00096
1973-06-01,128.07801
1973-07-01,125.56751
1973-08-01,126.42232
1973-09-01,129.18514
1973-10-01,127.50895
1973-11-01,124.41285
1973-12-01,127.80788
1974-01-01,126.10786
1974-02-01,127.88779
1974-03-01,130.05923
1974-04-01,133.13288
1974-05-01,130.89627
1974-06-01,130.05107
1974-07-01,127.62991
1974-08-01,123.51442
1974-09-01,125.98454
1974-10-01,127.07905
1974-11-01,125.56801
1974-12-01,125.42359
1975-01-01,125.06360
1975-02-01,126.65646
1975-03-01,128.66269
1975-04-01,128.80310
1975-05-01,128.27420
1975-06-01,126.63655
1975-07-01,127.35556
1975-08-01,127.86655
1975-09-01,129.98472
1975-10-01,129.49889
1975-11-01,128.40261
1975-12-01,127.25617
1976-01-01,129.05104
1976-02-01,130.45709
1976-03-01,131.64078
1976-04-01,135.03791
1976-05-01,135.05609
1976-06-01,134.93543
1976-07-01,137.02989
1976-08-01,136.88516
1976-09-01,141.30810
1976-10-01,139.56035
1976-11-01,137.11580
1976-12-01,138.69631
1977-01-01,140.33513
1977-02-01,142.81599
1977-03-01,145.09522
1977-04-01,148.97405
1977-05-01,148.12244
1977-06-01,148.91913
1977-07-01,151.14746
1977-08-01,149.68812
1977-09-01,151.76027
1977-10-01,158.31097
1977-11-01,162.02982
1977-12-01,161.07230
1978-01-01,159.24778
1978-02-01,159.04991
1978-03-01,165.06207
1978-04-01,173.49969
1978-05-01,171.46972
1978-06-01,177.73972
1978-07-01,187.92543
