Date,Inflation
1997-01-01,100.00000
1997-02-01,99.79641
1997-03-01,100.19665
1997-04-01,100.64369
1997-05-01,101.75164
1997-06-01,102.67833
1997-07-01,103.45059
1997-08-01,103.63078
1997-09-01,102.85155
1997-10-01,103.38179
1997-11-01,103.71447
1997-12-01,103.64574
1998-01-01,105.18660
1998-02-01,105.48849
1998-03-01,105.30261
1998-04-01,105.14854
1998-05-01,104.19525
1998-06-01,104.94206
1998-07-01,104.18414
1998-08-01,105.56629
1998-09-01,119.32964
1998-10-01,123.01035
1998-11-01,123.19271
1998-12-01,127.19737
1999-01-01,129.72219
1999-02-01,130.72789
1999-03-01,130.67145
1999-04-01,131.09639
1999-05-01,130.81394
1999-06-01,131.67117
1999-07-01,129.10040
1999-08-01,129.46544
1999-09-01,131.61824
1999-10-01,132.73133
1999-11-01,135.03574
1999-12-01,136.45970
2000-01-01,137.94690
2000-02-01,138.57107
2000-03-01,138.96395
2000-04-01,140.85340
2000-05-01,140.03221
2000-06-01,137.41951
2000-07-01,135.74774
2000-08-01,135.86341
2000-09-01,136.25339
2000-10-01,136.13458
2000-11-01,134.72440
2000-12-01,131.79238
2001-01-01,130.85003
2001-02-01,130.31774
2001-03-01,129.93654
2001-04-01,129.42592
2001-05-01,130.54311
2001-06-01,131.17357
2001-07-01,130.64296
2001-08-01,129.40337
2001-09-01,130.46253
2001-10-01,130.50939
2001-11-01,130.61491
2001-12-01,129.92845
2002-01-01,128.86328
2002-02-01,128.14680
2002-03-01,128.71297
2002-04-01,127.80186
2002-05-01,126.42164
2002-06-01,124.68449
2002-07-01,123.62348
2002-08-01,123.46250
2002-09-01,123.82467
2002-10-01,123.43041
2002-11-01,122.68170
2002-12-01,122.15964
2003-01-01,120.89695
2003-02-01,120.44354
2003-03-01,120.70395
2003-04-01,119.97940
2003-05-01,117.72866
2003-06-01,117.72287
2003-07-01,118.22931
2003-08-01,117.72153
2003-09-01,118.40687
2003-10-01,118.34727
2003-11-01,118.77864
2003-12-01,116.90157
2004-01-01,116.98486
2004-02-01,117.66888
2004-03-01,119.09868
2004-04-01,120.12284
2004-05-01,120.17620
2004-06-01,120.64663
2004-07-01,120.42209
2004-08-01,120.15475
2004-09-01,119.95538
2004-10-01,118.95346
2004-11-01,117.86841
2004-12-01,116.24098
2005-01-01,114.70122
2005-02-01,114.73100
2005-03-01,115.12025
2005-04-01,115.54715
2005-05-01,115.74543
2005-06-01,115.16450
