Date,Inflation
1970-01-01,100.00000
1970-02-01,100.40325
1970-03-01,99.85952
1970-04-01,99.52294
1970-05-01,99.84939
1970-06-01,99.92331
1970-07-01,99.94045
1970-08-01,99.62628
1970-09-01,99.79269
1970-10-01,99.66008
1970-11-01,99.43801
1970-12-01,99.30804
1971-01-01,99.15518
1971-02-01,99.17764
1971-03-01,99.57230
1971-04-01,99.10798
1971-05-01,98.82400
1971-06-01,98.18148
1971-07-01,97.60928
1971-08-01,97.56174
1971-09-01,98.85304
1971-10-01,100.10532
1971-11-01,101.03410
1971-12-01,101.08589
1972-01-01,101.37556
1972-02-01,101.40670
1972-03-01,100.64803
1972-04-01,100.26073
1972-05-01,100.50081
1972-06-01,101.01497
1972-07-01,101.49450
1972-08-01,101.67762
1972-09-01,101.34581
1972-10-01,101.16302
1972-11-01,101.43112
1972-12-01,101.30602
1973-01-01,100.77905
1973-02-01,100.85057
1973-03-01,101.76133
1973-04-01,101.12323
1973-05-01,102.00788
1973-06-01,101.79421
1973-07-01,101.22216
1973-08-01,99.67723
1973-09-01,99.46415
1973-10-01,99.44558
1973-11-01,98.60053
1973-12-01,97.11853
1974-01-01,96.29413
1974-02-01,98.45003
1974-03-01,98.10835
1974-04-01,98.84024
1974-05-01,100.21022
1974-06-01,100.12891
1974-07-01,100.28268
1974-08-01,99.21825
1974-09-01,98.28909
1974-10-01,98.76792
1974-11-01,99.30287
1974-12-01,99.84159
1975-01-01,100.39910
1975-02-01,101.45104
1975-03-01,101.82332
1975-04-01,101.39492
1975-05-01,100.90587
1975-06-01,100.70012
1975-07-01,100.21426
1975-08-01,99.65564
1975-09-01,98.95073
1975-10-01,99.71255
1975-11-01,99.81441
1975-12-01,99.73939
1976-01-01,100.66491
1976-02-01,100.80324
1976-03-01,101.06178
1976-04-01,102.61481
1976-05-01,102.62268
1976-06-01,101.98603
1976-07-01,102.33084
1976-08-01,103.57382
1976-09-01,103.45940
1976-10-01,105.58695
1976-11-01,106.17771
1976-12-01,107.14154
1977-01-01,106.58468
1977-02-01,106.28856
1977-03-01,106.63680
1977-04-01,106.74632
1977-05-01,106.78395
1977-06-01,106.65257
1977-07-01,106.83116
1977-08-01,106.62659
1977-09-01,105.61871
1977-10-01,105.50223
1977-11-01,105.30882
1977-12-01,106.03878
1978-01-01,107.00152
1978-02-01,107.56248
1978-03-01,107.86671
1978-04-01,107.35509
1978-05-01,105.97996
1978-06-01,105.50849
1978-07-01,104.58008
1978-08-01,104.86032
1978-09-01,105.17894
1978-10-01,107.08635
1978-11-01,106.89459
1978-12-01,106.17086
1979-01-01,107.13645
1979-02-01,106.96156
1979-03-01,106.19319
1979-04-01,105.15781
1979-05-01,104.31203
1979-06-01,104.20528
1979-07-01,104.47187
1979-08-01,104.14885
1979-09-01,104.39648
1979-10-01,104.44155
1979-11-01,104.58941
1979-12-01,104.40954
1980-01-01,103.65471
1980-02-01,103.10394
1980-03-01,102.10094
1980-04-01,102.04821
1980-05-01,102.84387
1980-06-01,102.84744
1980-07-01,102.70187
