Date,Inflation
1970-01-01,100.00000
1970-02-01,99.55787
1970-03-01,99.28125
1970-04-01,98.64525
1970-05-01,98.61747
1970-06-01,98.81480
1970-07-01,98.82538
1970-08-01,99.17949
1970-09-01,98.93831
1970-10-01,98.43072
1970-11-01,98.47007
1970-12-01,98.82137
1971-01-01,99.39715
1971-02-01,99.42659
1971-03-01,99.47287
1971-04-01,99.57122
1971-05-01,99.03461
1971-06-01,98.83048
1971-07-01,98.37189
1971-08-01,98.71388
1971-09-01,98.38901
1971-10-01,97.77142
1971-11-01,97.76548
1971-12-01,97.06969
1972-01-01,96.56801
1972-02-01,96.10659
1972-03-01,96.09276
1972-04-01,96.39395
1972-05-01,96.26039
1972-06-01,96.59668
1972-07-01,96.50780
1972-08-01,96.91322
1972-09-01,96.97760
1972-10-01,96.65839
1972-11-01,97.05212
1972-12-01,97.00097
1973-01-01,97.79402
1973-02-01,96.02852
1973-03-01,94.18867
1973-04-01,95.26178
1973-05-01,95.10823
1973-06-01,93.99678
1973-07-01,94.52101
1973-08-01,95.63388
1973-09-01,97.53568
1973-10-01,97.73489
1973-11-01,99.70969
1973-12-01,103.57951
1974-01-01,107.91209
1974-02-01,108.11403
1974-03-01,106.76065
1974-04-01,106.72841
1974-05-01,105.85015
1974-06-01,106.66716
1974-07-01,107.47319
1974-08-01,108.18386
1974-09-01,108.47527
1974-10-01,108.92909
1974-11-01,110.43008
1974-12-01,109.80258
1975-01-01,110.19549
1975-02-01,109.39660
1975-03-01,109.49987
1975-04-01,110.28872
1975-05-01,110.73565
1975-06-01,112.14416
1975-07-01,113.45964
1975-08-01,115.32887
1975-09-01,116.16790
1975-10-01,115.94559
1975-11-01,116.08325
1975-12-01,116.97026
1976-01-01,118.65530
1976-02-01,120.26597
1976-03-01,121.47754
1976-04-01,121.89014
1976-05-01,122.07561
1976-06-01,122.25522
1976-07-01,122.60325
1976-08-01,122.98652
1976-09-01,78.67608
1976-10-01,79.94385
1976-11-01,71.00152
1976-12-01,87.17993
1977-01-01,87.15966
1977-02-01,81.27437
1977-03-01,81.82906
1977-04-01,82.42257
1977-05-01,82.39548
1977-06-01,82.30292
1977-07-01,82.36541
1977-08-01,84.16668
1977-09-01,85.55701
1977-10-01,85.47125
1977-11-01,85.69585
1977-12-01,86.01346
1978-01-01,86.93842
1978-02-01,87.53265
1978-03-01,87.38494
1978-04-01,87.45277
1978-05-01,88.23365
1978-06-01,88.09414
1978-07-01,88.03574
1978-08-01,87.65912
1978-09-01,88.03784
1978-10-01,87.36730
1978-11-01,88.95612
1978-12-01,89.45678
1979-01-01,91.62714
1979-02-01,92.28990
1979-03-01,92.76620
1979-04-01,93.10314
1979-05-01,93.59583
1979-06-01,93.54183
1979-07-01,92.88269
1979-08-01,93.74392
1979-09-01,93.84972
1979-10-01,95.13337
1979-11-01,96.00241
1979-12-01,96.48530
1980-01-01,99.52676
1980-02-01,100.87604
1980-03-01,102.91217
1980-04-01,103.66691
1980-05-01,102.55025
1980-06-01,102.74341
1980-07-01,104.94900
1980-08-01,106.92057
1980-09-01,106.84399
1980-10-01,107.48013
1980-11-01,109.05483
1980-12-01,111.16619
1981-01-01,113.02529
1981-02-01,115.82471
1981-03-01,116.64114
1981-04-01,118.41017
1981-05-01,119.90200
1981-06-01,120.88851
1981-07-01,121.61729
1981-08-01,122.96425
1981-09-01,121.34063
1981-10-01,121.56537
1981-11-01,121.25189
1981-12-01,122.65921
1982-01-01,127.05198
1982-02-01,111.04670
1982-03-01,80.23252
1982-04-01,84.11925
1982-05-01,85.82620
1982-06-01,88.95156
1982-07-01,92.18955
1982-08-01,100.15527
1982-09-01,74.28417
1982-10-01,78.35120
1982-11-01,82.55460
1982-12-01,89.96230
1983-01-01,46.24709
1983-02-01,47.40437
1983-03-01,48.23992
1983-04-01,53.38072
1983-05-01,56.65826
1983-06-01,59.49229
1983-07-01,62.37403
1983-08-01,64.18445
1983-09-01,65.28228
1983-10-01,64.96351
1983-11-01,66.95441
1983-12-01,68.88003
1984-01-01,72.65916
1984-02-01,74.46969
1984-03-01,74.92079
1984-04-01,75.18262
1984-05-01,70.50289
1984-06-01,73.60027
1984-07-01,76.93654
1984-08-01,78.81274
1984-09-01,81.27713
1984-10-01,81.91032
1984-11-01,81.23966
1984-12-01,82.14567
1985-01-01,85.15687
1985-02-01,85.51037
1985-03-01,85.17105
1985-04-01,86.30815
1985-05-01,85.09326
1985-06-01,75.25162
1985-07-01,65.16961
1985-08-01,68.81370
1985-09-01,65.28341
1985-10-01,60.29655
1985-11-01,52.03697
1985-12-01,58.23253
1986-01-01,65.40274
1986-02-01,63.85683
1986-03-01,66.52350
1986-04-01,66.27117
1986-05-01,65.15982
1986-06-01,58.26293
1986-07-01,60.52014
1986-08-01,60.48444
1986-09-01,58.39071
1986-10-01,57.36599
1986-11-01,57.91161
1986-12-01,58.95795
1987-01-01,58.80808
1987-02-01,58.63804
1987-03-01,58.33980
1987-04-01,58.86475
1987-05-01,58.68703
1987-06-01,59.42237
1987-07-01,60.77281
1987-08-01,62.25317
1987-09-01,62.36838
1987-10-01,64.12899
1987-11-01,56.46483
1987-12-01,54.30612
1988-01-01,64.45561
1988-02-01,68.37880
1988-03-01,71.68963
1988-04-01,73.32872
1988-05-01,74.56226
1988-06-01,76.36150
1988-07-01,78.26429
1988-08-01,79.05968
1988-09-01,78.92011
1988-10-01,78.61657
1988-11-01,78.72747
1988-12-01,80.23950
1989-01-01,82.12496
1989-02-01,81.68824
1989-03-01,80.87488
1989-04-01,80.42594
1989-05-01,80.37876
1989-06-01,80.46757
1989-07-01,79.48429
1989-08-01,79.30235
1989-09-01,79.05662
1989-10-01,78.31674
1989-11-01,78.16971
1989-12-01,79.51358
1990-01-01,81.18538
1990-02-01,81.62954
1990-03-01,81.96353
1990-04-01,82.18510
1990-05-01,82.13540
1990-06-01,83.00864
1990-07-01,83.06040
1990-08-01,82.81167
1990-09-01,82.53085
1990-10-01,82.02487
1990-11-01,83.30319
1990-12-01,85.92423
1991-01-01,87.31607
1991-02-01,87.88859
1991-03-01,89.95411
1991-04-01,91.13300
1991-05-01,91.48450
1991-06-01,92.49774
1991-07-01,92.71032
1991-08-01,92.23343
1991-09-01,91.96192
1991-10-01,92.29737
1991-11-01,93.62194
1991-12-01,95.25777
1992-01-01,96.87120
1992-02-01,98.34614
1992-03-01,99.44434
1992-04-01,99.85102
1992-05-01,98.79347
1992-06-01,97.98956
1992-07-01,97.70133
1992-08-01,98.60134
1992-09-01,99.12536
1992-10-01,99.15203
1992-11-01,101.44063
1992-12-01,102.99494
1993-01-01,104.44687
1993-02-01,105.43509
1993-03-01,105.09513
1993-04-01,104.92669
1993-05-01,104.41367
1993-06-01,105.17671
1993-07-01,106.18688
1993-08-01,106.65983
1993-09-01,106.67699
1993-10-01,107.00379
1993-11-01,106.65484
1993-12-01,109.16488
1994-01-01,110.13239
1994-02-01,109.36815
1994-03-01,103.19370
1994-04-01,102.05987
1994-05-01,103.21798
1994-06-01,101.48241
1994-07-01,100.02503
1994-08-01,100.62130
1994-09-01,100.21971
1994-10-01,99.63691
1994-11-01,99.55394
1994-12-01,85.62224
1995-01-01,63.98205
1995-02-01,65.26284
1995-03-01,57.43343
1995-04-01,66.83883
1995-05-01,72.09492
1995-06-01,71.27393
1995-07-01,73.82328
1995-08-01,74.56208
1995-09-01,75.01917
1995-10-01,71.39357
1995-11-01,64.72526
1995-12-01,66.47883
1996-01-01,70.54482
1996-02-01,71.60011
1996-03-01,72.41763
1996-04-01,75.35360
1996-05-01,76.95229
1996-06-01,76.94302
1996-07-01,77.26665
1996-08-01,79.11615
1996-09-01,79.98519
1996-10-01,79.00214
1996-11-01,78.24311
1996-12-01,81.29308
1997-01-01,84.01495
1997-02-01,85.96176
1997-03-01,85.33843
1997-04-01,86.81192
1997-05-01,87.40419
1997-06-01,87.46902
1997-07-01,89.33668
1997-08-01,91.40231
1997-09-01,92.32965
1997-10-01,91.62069
1997-11-01,88.66472
1997-12-01,92.73884
1998-01-01,94.07491
1998-02-01,92.06617
1998-03-01,92.26773
1998-04-01,93.61348
1998-05-01,93.12066
1998-06-01,91.20452
1998-07-01,92.15888
1998-08-01,88.38960
1998-09-01,81.59139
1998-10-01,82.44584
1998-11-01,85.44665
1998-12-01,87.95618
1999-01-01,88.10609
1999-02-01,91.11720
1999-03-01,94.70040
1999-04-01,98.15852
1999-05-01,99.00388
1999-06-01,98.71043
1999-07-01,100.70544
1999-08-01,100.37296
1999-09-01,101.37520
1999-10-01,99.29853
1999-11-01,102.06399
1999-12-01,102.92090
2000-01-01,103.14970
2000-02-01,104.69557
2000-03-01,106.19740
2000-04-01,105.76655
2000-05-01,105.51690
2000-06-01,101.74744
2000-07-01,106.20190
2000-08-01,109.14821
2000-09-01,108.91936
2000-10-01,107.84777
2000-11-01,109.13467
2000-12-01,110.40733
2001-01-01,106.93781
2001-02-01,107.39671
2001-03-01,109.57262
2001-04-01,113.13052
2001-05-01,114.81040
2001-06-01,116.47271
2001-07-01,115.92869
2001-08-01,115.67090
2001-09-01,113.55645
2001-10-01,115.06031
2001-11-01,117.51819
2001-12-01,118.78368
2002-01-01,120.14201
2002-02-01,120.75733
2002-03-01,121.09765
2002-04-01,119.65174
2002-05-01,114.94795
2002-06-01,111.93652
2002-07-01,111.52002
2002-08-01,111.27747
2002-09-01,109.40983
2002-10-01,109.86169
2002-11-01,109.04589
2002-12-01,109.20300
2003-01-01,104.21044
2003-02-01,100.80394
2003-03-01,100.98449
2003-04-01,104.16612
2003-05-01,106.22153
2003-06-01,103.65388
2003-07-01,104.54418
2003-08-01,101.63942
2003-09-01,100.21534
2003-10-01,97.72238
2003-11-01,98.92001
2003-12-01,97.82594
