Date,Inflation
1970-01-01,100.00000
1970-02-01,100.23808
1970-03-01,100.60232
1970-04-01,100.28520
1970-05-01,100.25891
1970-06-01,100.39693
1970-07-01,100.73116
1970-08-01,101.52282
1970-09-01,102.09188
1970-10-01,101.96524
1970-11-01,101.79945
1970-12-01,101.54569
1971-01-01,101.83359
1971-02-01,102.38191
1971-03-01,102.62581
1971-04-01,103.16847
1971-05-01,103.11976
1971-06-01,102.83476
1971-07-01,102.30605
1971-08-01,103.80638
1971-09-01,105.01883
1971-10-01,106.03005
1971-11-01,106.62056
1971-12-01,106.60002
1972-01-01,107.06509
1972-02-01,107.53783
1972-03-01,107.34993
1972-04-01,107.70324
1972-05-01,107.47266
1972-06-01,107.58447
1972-07-01,107.30021
1972-08-01,107.23114
1972-09-01,106.90926
1972-10-01,107.80323
1972-11-01,108.12188
1972-12-01,107.85063
1973-01-01,108.07211
1973-02-01,108.95447
1973-03-01,109.97616
1973-04-01,109.04414
1973-05-01,109.32658
1973-06-01,110.18221
1973-07-01,109.43196
1973-08-01,109.72686
1973-09-01,112.74572
1973-10-01,116.81322
1973-11-01,113.30120
1973-12-01,111.09025
1974-01-01,111.16293
1974-02-01,112.12321
1974-03-01,112.72321
1974-04-01,113.70204
1974-05-01,114.34716
1974-06-01,113.28641
1974-07-01,113.48690
1974-08-01,114.04870
1974-09-01,114.32354
1974-10-01,115.03686
1974-11-01,115.06606
1974-12-01,115.17410
1975-01-01,115.73684
1975-02-01,115.90426
1975-03-01,117.66176
1975-04-01,117.31603
1975-05-01,116.82860
1975-06-01,115.94265
1975-07-01,114.28386
1975-08-01,114.91123
1975-09-01,115.55980
1975-10-01,116.25528
1975-11-01,116.04713
1975-12-01,115.60310
1976-01-01,115.80312
1976-02-01,116.28879
1976-03-01,116.40788
1976-04-01,118.61277
1976-05-01,117.58047
1976-06-01,116.94871
1976-07-01,116.75226
1976-08-01,118.61455
1976-09-01,121.32549
1976-10-01,123.94171
1976-11-01,124.52096
1976-12-01,124.68804
1977-01-01,122.79996
1977-02-01,122.64726
1977-03-01,123.02039
1977-04-01,124.70359
1977-05-01,124.63960
1977-06-01,122.53739
1977-07-01,121.96963
1977-08-01,122.63700
1977-09-01,122.79710
1977-10-01,122.42439
1977-11-01,121.69649
1977-12-01,122.46323
1978-01-01,122.20069
1978-02-01,123.41715
1978-03-01,125.16311
1978-04-01,125.12484
1978-05-01,123.44009
1978-06-01,122.36415
1978-07-01,121.66478
1978-08-01,121.73244
1978-09-01,122.56230
1978-10-01,124.65910
1978-11-01,124.92974
1978-12-01,124.46227
1979-01-01,124.31106
1979-02-01,124.10054
1979-03-01,124.45552
1979-04-01,123.47591
1979-05-01,121.96607
1979-06-01,120.41691
1979-07-01,119.48713
1979-08-01,119.68458
1979-09-01,120.54998
1979-10-01,120.71124
1979-11-01,120.45241
1979-12-01,121.39733
1980-01-01,120.36085
1980-02-01,119.84785
1980-03-01,119.16422
1980-04-01,118.50395
1980-05-01,118.16025
1980-06-01,117.91602
1980-07-01,118.81075
1980-08-01,118.62628
1980-09-01,118.64257
1980-10-01,117.40791
1980-11-01,115.72362
1980-12-01,114.19819
1981-01-01,112.99577
1981-02-01,110.76678
1981-03-01,110.48041
1981-04-01,110.07510
1981-05-01,108.27149
1981-06-01,107.47251
1981-07-01,107.49375
1981-08-01,106.90008
1981-09-01,109.28282
1981-10-01,112.52576
1981-11-01,112.98099
1981-12-01,112.38364
1982-01-01,112.07982
1982-02-01,111.83831
1982-03-01,113.73237
1982-04-01,112.71926
1982-05-01,113.00467
1982-06-01,112.49770
1982-07-01,113.24189
1982-08-01,113.43947
1982-09-01,114.24911
1982-10-01,115.18145
1982-11-01,115.08222
1982-12-01,115.37366
1983-01-01,115.45425
1983-02-01,115.04412
1983-03-01,115.18440
1983-04-01,113.45665
1983-05-01,112.56302
1983-06-01,111.82266
1983-07-01,111.67786
1983-08-01,110.87276
1983-09-01,110.90078
1983-10-01,111.76020
1983-11-01,110.93128
1983-12-01,110.02458
1984-01-01,109.07444
1984-02-01,109.96998
1984-03-01,111.26594
1984-04-01,110.82585
1984-05-01,109.57170
1984-06-01,109.44543
1984-07-01,108.40700
1984-08-01,107.78855
1984-09-01,106.66873
1984-10-01,107.05053
1984-11-01,107.67206
1984-12-01,106.59065
1985-01-01,104.91766
1985-02-01,104.47549
1985-03-01,104.37012
1985-04-01,105.76338
1985-05-01,105.27708
1985-06-01,105.41051
1985-07-01,106.02362
1985-08-01,107.84597
1985-09-01,107.79508
1985-10-01,109.24992
1985-11-01,109.39294
1985-12-01,110.36932
1986-01-01,110.63548
1986-02-01,111.86471
1986-03-01,112.73713
1986-04-01,112.83549
1986-05-01,113.05808
1986-06-01,112.64860
1986-07-01,113.22320
1986-08-01,115.38130
1986-09-01,116.08917
1986-10-01,117.45352
1986-11-01,117.38550
1986-12-01,117.49687
1987-01-01,117.52372
1987-02-01,117.62239
1987-03-01,116.76916
1987-04-01,116.25969
1987-05-01,116.36488
1987-06-01,116.00488
1987-07-01,115.68263
1987-08-01,115.54921
1987-09-01,116.09896
1987-10-01,116.04185
1987-11-01,117.84002
1987-12-01,117.71998
1988-01-01,116.42811
1988-02-01,115.76620
1988-03-01,115.89729
1988-04-01,115.33624
1988-05-01,114.89787
1988-06-01,113.52266
1988-07-01,112.24127
1988-08-01,111.48251
1988-09-01,112.32712
1988-10-01,112.44618
1988-11-01,112.82054
1988-12-01,112.09708
1989-01-01,109.12001
1989-02-01,108.68890
1989-03-01,108.89809
1989-04-01,108.70852
1989-05-01,107.48715
1989-06-01,107.54535
1989-07-01,108.51017
1989-08-01,108.15151
1989-09-01,107.99011
1989-10-01,109.29290
1989-11-01,110.02562
1989-12-01,111.66395
1990-01-01,111.57128
1990-02-01,111.50944
1990-03-01,111.50459
1990-04-01,111.58544
1990-05-01,111.37751
1990-06-01,110.27123
1990-07-01,110.44246
1990-08-01,111.03326
1990-09-01,111.02101
1990-10-01,110.99251
1990-11-01,111.81671
1990-12-01,112.05855
1991-01-01,111.06363
1991-02-01,111.10067
1991-03-01,109.90349
1991-04-01,107.61527
1991-05-01,107.65414
1991-06-01,106.73769
1991-07-01,107.27806
1991-08-01,107.63276
1991-09-01,108.86520
1991-10-01,108.48121
1991-11-01,109.43094
1991-12-01,110.12173
1992-01-01,109.32762
1992-02-01,108.73522
1992-03-01,108.88473
1992-04-01,108.84175
1992-05-01,108.37839
1992-06-01,108.47811
1992-07-01,110.36504
1992-08-01,111.37244
1992-09-01,113.32558
1992-10-01,114.32789
1992-11-01,112.90181
1992-12-01,113.10000
1993-01-01,111.78899
1993-02-01,111.81158
1993-03-01,112.09879
1993-04-01,112.28528
1993-05-01,111.47732
1993-06-01,109.49569
1993-07-01,108.50198
1993-08-01,109.84831
1993-09-01,112.58975
1993-10-01,112.14000
1993-11-01,110.29419
1993-12-01,109.00471
1994-01-01,108.50835
1994-02-01,108.18265
1994-03-01,109.65202
1994-04-01,109.24709
1994-05-01,109.98202
1994-06-01,110.25520
1994-07-01,111.84791
1994-08-01,111.95355
1994-09-01,112.86973
1994-10-01,113.35806
1994-11-01,112.48757
1994-12-01,111.66225
1995-01-01,112.40459
1995-02-01,113.46727
1995-03-01,117.08607
1995-04-01,117.20031
1995-05-01,115.48635
1995-06-01,114.93346
1995-07-01,115.10373
1995-08-01,113.43650
1995-09-01,114.10544
1995-10-01,115.49745
1995-11-01,115.13827
1995-12-01,114.02075
1996-01-01,113.31518
1996-02-01,113.12816
1996-03-01,113.42403
1996-04-01,112.49179
1996-05-01,111.10611
1996-06-01,110.40038
1996-07-01,111.29178
1996-08-01,111.66845
1996-09-01,111.68485
1996-10-01,110.79988
1996-11-01,110.59006
1996-12-01,109.13073
1997-01-01,107.18012
1997-02-01,105.74087
1997-03-01,106.02881
1997-04-01,105.55796
1997-05-01,105.55639
1997-06-01,104.13343
1997-07-01,102.44908
1997-08-01,102.05355
1997-09-01,104.64943
1997-10-01,105.56228
1997-11-01,106.48282
1997-12-01,106.32303
1998-01-01,106.49653
1998-02-01,106.09791
1998-03-01,106.03781
1998-04-01,106.43610
1998-05-01,107.93789
1998-06-01,107.48711
1998-07-01,107.69015
1998-08-01,108.53744
1998-09-01,112.10437
1998-10-01,113.18129
1998-11-01,111.27456
1998-12-01,111.81453
1999-01-01,111.54617
1999-02-01,110.86594
1999-03-01,110.52984
1999-04-01,109.30444
1999-05-01,108.78783
1999-06-01,107.15240
1999-07-01,106.85029
1999-08-01,108.20106
1999-09-01,107.81429
1999-10-01,108.37401
1999-11-01,106.66123
1999-12-01,104.82128
2000-01-01,104.39078
2000-02-01,103.76080
2000-03-01,103.41700
2000-04-01,102.40024
2000-05-01,101.49814
2000-06-01,103.25073
2000-07-01,102.48402
2000-08-01,101.12369
2000-09-01,100.49568
2000-10-01,99.87490
2000-11-01,100.21635
2000-12-01,101.83038
2001-01-01,105.05142
2001-02-01,104.79481
2001-03-01,105.49613
2001-04-01,105.29800
2001-05-01,103.98058
2001-06-01,102.62448
2001-07-01,103.30656
2001-08-01,105.48506
2001-09-01,106.96385
2001-10-01,106.91575
2001-11-01,105.81047
2001-12-01,105.75378
2002-01-01,106.10654
2002-02-01,105.82717
2002-03-01,106.61652
2002-04-01,107.11574
2002-05-01,108.34298
2002-06-01,109.86206
2002-07-01,110.93345
2002-08-01,110.88494
2002-09-01,112.10312
2002-10-01,112.14067
2002-11-01,112.30523
2002-12-01,112.38615
2003-01-01,114.11166
2003-02-01,115.26566
2003-03-01,116.33713
2003-04-01,116.52433
2003-05-01,119.20006
2003-06-01,118.91850
2003-07-01,117.88782
2003-08-01,117.30352
2003-09-01,118.17050
2003-10-01,118.94641
2003-11-01,118.58295
2003-12-01,119.66970
2004-01-01,120.20963
2004-02-01,120.34553
2004-03-01,119.58779
2004-04-01,118.23330
2004-05-01,118.85311
2004-06-01,118.25644
2004-07-01,118.32718
2004-08-01,118.41697
2004-09-01,119.38178
2004-10-01,119.73541
2004-11-01,120.59155
2004-12-01,120.20031
2005-01-01,119.46997
2005-02-01,119.07704
2005-03-01,120.17955
2005-04-01,119.32444
2005-05-01,117.97636
2005-06-01,115.62059
2005-07-01,115.20187
2005-08-01,115.95024
2005-09-01,116.17779
2005-10-01,115.43307
2005-11-01,114.53193
2005-12-01,113.80869
2006-01-01,113.57936
2006-02-01,112.70699
2006-03-01,113.77541
2006-04-01,114.45319
2006-05-01,115.64948
2006-06-01,115.39275
2006-07-01,115.03475
