Date,Inflation
1970-01-01,100.00000
1970-02-01,99.96382
1970-03-01,99.27220
1970-04-01,99.80231
1970-05-01,99.55201
1970-06-01,99.17298
1970-07-01,100.15731
1970-08-01,100.03222
1970-09-01,99.55436
1970-10-01,102.45097
1970-11-01,102.18993
1970-12-01,101.71219
1971-01-01,103.57471
1971-02-01,103.64213
1971-03-01,103.04130
1971-04-01,104.15271
1971-05-01,103.55171
1971-06-01,103.15345
1971-07-01,104.02279
1971-08-01,103.95350
1971-09-01,103.99991
1971-10-01,105.13420
1971-11-01,105.01515
1971-12-01,106.00545
1972-01-01,105.49475
1972-02-01,104.47253
1972-03-01,103.87559
1972-04-01,104.55106
1972-05-01,104.05226
1972-06-01,104.02611
1972-07-01,106.48300
1972-08-01,105.80332
1972-09-01,105.50664
1972-10-01,106.65801
1972-11-01,107.15939
1972-12-01,106.46498
1973-01-01,106.61558
1973-02-01,107.36875
1973-03-01,108.64535
1973-04-01,109.64091
1973-05-01,108.01024
1973-06-01,105.83247
1973-07-01,108.61341
1973-08-01,109.40245
1973-09-01,115.55772
1973-10-01,118.26782
1973-11-01,118.85696
1973-12-01,117.32746
1974-01-01,117.48705
1974-02-01,114.07327
1974-03-01,114.49342
1974-04-01,114.67157
1974-05-01,113.89704
1974-06-01,113.58159
1974-07-01,115.73961
1974-08-01,115.72557
1974-09-01,112.63551
1974-10-01,108.51445
1974-11-01,107.24972
1974-12-01,106.71113
1975-01-01,107.66953
1975-02-01,106.72632
1975-03-01,105.98940
1975-04-01,108.14673
1975-05-01,106.39314
1975-06-01,105.74841
1975-07-01,108.59678
1975-08-01,96.30063
1975-09-01,91.68696
1975-10-01,93.19339
1975-11-01,92.88634
1975-12-01,92.52892
1976-01-01,95.24119
1976-02-01,94.61578
1976-03-01,94.27077
1976-04-01,96.08875
1976-05-01,95.00688
1976-06-01,94.09385
1976-07-01,96.45854
1976-08-01,96.35081
1976-09-01,95.52986
1976-10-01,95.10380
1976-11-01,94.22610
1976-12-01,91.89692
1977-01-01,94.70595
1977-02-01,93.89394
1977-03-01,93.00990
1977-04-01,95.82550
1977-05-01,95.44782
1977-06-01,94.81138
1977-07-01,97.28627
1977-08-01,97.25969
1977-09-01,96.76972
1977-10-01,98.83370
1977-11-01,98.16287
1977-12-01,97.92370
1978-01-01,99.49263
1978-02-01,98.75824
1978-03-01,98.02857
1978-04-01,98.86989
1978-05-01,98.70195
1978-06-01,97.42261
1978-07-01,98.42616
1978-08-01,97.66594
1978-09-01,97.04702
1978-10-01,97.91801
1978-11-01,98.77048
1978-12-01,97.97636
1979-01-01,99.81978
1979-02-01,99.10405
1979-03-01,98.87038
1979-04-01,102.43212
1979-05-01,102.03363
1979-06-01,99.42034
1979-07-01,98.57882
1979-08-01,98.10979
1979-09-01,96.76585
1979-10-01,98.56246
1979-11-01,98.18270
1979-12-01,97.21260
1980-01-01,99.08610
1980-02-01,97.99442
1980-03-01,97.00597
1980-04-01,98.60145
1980-05-01,96.42766
1980-06-01,95.48070
1980-07-01,97.74327
1980-08-01,97.25919
1980-09-01,95.87009
1980-10-01,97.76878
1980-11-01,97.24834
1980-12-01,96.15578
1981-01-01,97.50646
1981-02-01,96.88780
1981-03-01,95.56946
1981-04-01,97.59781
1981-05-01,97.00517
1981-06-01,95.88784
1981-07-01,98.37513
1981-08-01,97.44506
1981-09-01,95.73276
1981-10-01,97.41359
1981-11-01,96.52259
1981-12-01,95.70099
1982-01-01,97.90255
1982-02-01,97.71184
1982-03-01,96.88133
1982-04-01,100.13763
1982-05-01,98.55787
1982-06-01,98.56823
1982-07-01,101.24712
1982-08-01,100.82044
1982-09-01,100.38373
1982-10-01,102.39928
1982-11-01,102.37963
1982-12-01,101.31946
1983-01-01,100.86284
1983-02-01,100.71365
1983-03-01,95.45968
1983-04-01,94.36049
1983-05-01,94.23456
1983-06-01,93.97230
1983-07-01,94.46004
1983-08-01,94.88896
1983-09-01,94.61448
1983-10-01,94.28517
1983-11-01,94.47060
1983-12-01,94.15241
1984-01-01,94.70584
1984-02-01,94.07896
1984-03-01,93.68370
1984-04-01,94.86949
1984-05-01,95.08962
1984-06-01,94.80913
1984-07-01,85.97406
1984-08-01,78.03313
1984-09-01,77.71710
1984-10-01,79.69953
1984-11-01,79.73922
1984-12-01,79.60869
1985-01-01,82.34439
1985-02-01,82.00147
1985-03-01,82.03626
1985-04-01,84.33527
1985-05-01,83.31784
1985-06-01,83.88423
1985-07-01,89.95686
1985-08-01,95.80407
1985-09-01,95.95359
1985-10-01,99.64413
1985-11-01,98.52625
1985-12-01,90.16031
1986-01-01,88.99085
1986-02-01,88.70320
1986-03-01,86.72792
1986-04-01,93.18115
1986-05-01,92.24959
1986-06-01,89.71446
1986-07-01,89.61743
1986-08-01,83.83315
1986-09-01,79.50088
1986-10-01,90.74197
1986-11-01,93.66905
1986-12-01,92.54451
1987-01-01,95.41767
1987-02-01,96.41217
1987-03-01,98.06575
1987-04-01,100.29926
1987-05-01,98.82673
1987-06-01,101.58049
1987-07-01,106.15764
1987-08-01,104.39909
1987-09-01,109.36339
1987-10-01,112.43593
1987-11-01,105.91759
1987-12-01,107.59610
1988-01-01,110.88581
1988-02-01,112.94631
1988-03-01,110.76277
1988-04-01,109.08864
1988-05-01,112.75038
1988-06-01,115.40049
1988-07-01,113.88174
1988-08-01,110.19563
1988-09-01,104.38845
1988-10-01,103.75686
1988-11-01,103.69313
1988-12-01,102.57671
1989-01-01,102.65239
1989-02-01,101.53576
1989-03-01,102.82243
1989-04-01,102.56023
1989-05-01,104.07839
1989-06-01,100.44776
1989-07-01,101.90934
1989-08-01,105.00156
1989-09-01,105.04659
1989-10-01,103.39635
1989-11-01,103.50512
1989-12-01,103.85698
1990-01-01,104.71101
1990-02-01,102.94683
1990-03-01,103.22897
1990-04-01,103.42135
1990-05-01,100.91633
1990-06-01,101.99453
1990-07-01,102.26031
1990-08-01,103.43054
1990-09-01,102.39864
1990-10-01,99.08639
1990-11-01,99.17914
1990-12-01,98.08850
1991-01-01,97.91503
1991-02-01,97.71305
1991-03-01,99.55462
1991-04-01,99.45764
1991-05-01,99.29226
1991-06-01,99.32635
1991-07-01,97.27548
1991-08-01,97.14712
1991-09-01,96.48277
1991-10-01,92.55413
1991-11-01,91.56736
1991-12-01,89.14688
1992-01-01,88.04092
1992-02-01,88.44082
1992-03-01,90.30699
1992-04-01,88.83692
1992-05-01,86.91257
1992-06-01,86.84547
1992-07-01,86.91690
1992-08-01,86.12964
1992-09-01,85.98137
1992-10-01,87.06638
1992-11-01,86.63809
1992-12-01,86.06396
1993-01-01,86.72476
1993-02-01,86.76525
1993-03-01,87.53945
1993-04-01,87.47208
1993-05-01,88.08291
1993-06-01,88.43281
1993-07-01,90.82876
1993-08-01,90.72420
1993-09-01,91.02897
1993-10-01,91.36434
1993-11-01,90.88308
1993-12-01,92.17129
1994-01-01,93.14411
1994-02-01,93.10459
1994-03-01,92.07377
1994-04-01,91.23538
1994-05-01,92.73306
1994-06-01,93.12129
1994-07-01,94.35925
1994-08-01,94.04486
1994-09-01,93.28682
1994-10-01,94.36831
1994-11-01,95.93746
1994-12-01,98.55955
1995-01-01,99.38922
1995-02-01,98.62966
1995-03-01,98.57212
1995-04-01,100.15594
1995-05-01,100.80571
1995-06-01,101.10897
1995-07-01,101.56645
1995-08-01,100.41138
1995-09-01,100.81069
1995-10-01,101.00386
1995-11-01,100.86585
1995-12-01,100.75544
1996-01-01,103.66197
1996-02-01,104.82441
1996-03-01,104.95071
1996-04-01,105.21029
1996-05-01,105.18517
1996-06-01,104.17159
1996-07-01,106.57240
1996-08-01,106.01433
1996-09-01,107.26117
1996-10-01,109.08113
1996-11-01,109.79572
1996-12-01,109.65905
1997-01-01,110.53405
1997-02-01,110.63751
1997-03-01,111.03378
1997-04-01,110.80056
1997-05-01,109.83511
1997-06-01,109.72298
1997-07-01,107.66864
1997-08-01,106.01859
1997-09-01,105.76316
1997-10-01,106.42122
1997-11-01,106.45918
1997-12-01,105.12258
1998-01-01,104.99881
1998-02-01,103.41339
1998-03-01,101.47995
1998-04-01,99.00632
1998-05-01,97.72901
1998-06-01,95.45153
1998-07-01,96.44142
1998-08-01,95.06688
1998-09-01,93.72981
1998-10-01,92.41707
1998-11-01,93.68031
1998-12-01,92.24851
1999-01-01,93.39679
1999-02-01,95.46972
1999-03-01,94.57153
1999-04-01,96.09643
1999-05-01,96.83624
1999-06-01,93.86335
1999-07-01,92.82796
1999-08-01,92.33137
1999-09-01,90.95236
1999-10-01,88.76905
1999-11-01,89.31515
1999-12-01,88.53873
2000-01-01,89.16015
2000-02-01,86.93954
2000-03-01,87.70462
2000-04-01,89.92754
2000-05-01,86.95622
2000-06-01,85.62271
2000-07-01,84.66383
2000-08-01,82.76974
2000-09-01,78.81438
2000-10-01,78.13080
2000-11-01,78.25004
2000-12-01,82.68398
2001-01-01,84.39474
2001-02-01,83.76814
2001-03-01,82.88412
2001-04-01,81.51493
2001-05-01,83.57403
2001-06-01,82.72299
2001-07-01,82.50657
2001-08-01,85.19650
2001-09-01,83.18988
2001-10-01,83.08506
2001-11-01,83.29811
2001-12-01,83.80731
2002-01-01,86.02621
2002-02-01,85.13558
2002-03-01,86.87387
2002-04-01,88.32496
2002-05-01,90.38349
2002-06-01,93.91426
2002-07-01,92.31449
2002-08-01,89.85209
2002-09-01,90.98412
2002-10-01,93.56935
2002-11-01,95.22555
2002-12-01,97.24871
2003-01-01,100.51874
2003-02-01,102.13189
2003-03-01,101.49934
2003-04-01,100.64358
2003-05-01,101.38906
2003-06-01,101.37739
2003-07-01,103.36444
2003-08-01,103.33496
2003-09-01,102.08137
2003-10-01,102.62457
2003-11-01,106.20709
2003-12-01,106.93633
2004-01-01,108.71176
2004-02-01,111.15469
2004-03-01,108.28095
2004-04-01,105.84620
2004-05-01,104.30653
2004-06-01,106.25255
2004-07-01,108.30259
2004-08-01,110.11602
2004-09-01,110.95171
2004-10-01,113.25789
2004-11-01,112.39606
2004-12-01,113.81758
2005-01-01,113.14741
2005-02-01,113.83236
2005-03-01,115.26723
2005-04-01,115.81856
