Date,Inflation
1970-01-01,100.00000
1970-02-01,98.33625
1970-03-01,99.72882
1970-04-01,98.13430
1970-05-01,96.83670
1970-06-01,96.75260
1970-07-01,96.90143
1970-08-01,97.49511
1970-09-01,98.08389
1970-10-01,98.04021
1970-11-01,98.09049
1970-12-01,98.33470
1971-01-01,99.32928
1971-02-01,99.17460
1971-03-01,101.13863
1971-04-01,101.59451
1971-05-01,100.83056
1971-06-01,100.69600
1971-07-01,100.72930
1971-08-01,100.77191
1971-09-01,104.28614
1971-10-01,105.53417
1971-11-01,107.80385
1971-12-01,104.54538
1972-01-01,102.73248
1972-02-01,103.70040
1972-03-01,104.40457
1972-04-01,103.64026
1972-05-01,106.68549
1972-06-01,103.59543
1972-07-01,104.83531
1972-08-01,104.14528
1972-09-01,105.34313
1972-10-01,105.38894
1972-11-01,106.14215
1972-12-01,107.37054
1973-01-01,108.69042
1973-02-01,110.73421
1973-03-01,109.83878
1973-04-01,106.25663
1973-05-01,107.68858
1973-06-01,110.69451
1973-07-01,112.82614
1973-08-01,112.33821
1973-09-01,114.00182
1973-10-01,114.68772
1973-11-01,113.87491
1973-12-01,115.29019
1974-01-01,114.35278
1974-02-01,121.65967
1974-03-01,124.50633
1974-04-01,121.84949
1974-05-01,123.18223
1974-06-01,120.70936
1974-07-01,119.79375
1974-08-01,124.26063
1974-09-01,125.91850
1974-10-01,121.78659
1974-11-01,119.38144
1974-12-01,118.60831
1975-01-01,120.67533
1975-02-01,117.05728
1975-03-01,121.31212
1975-04-01,118.42787
1975-05-01,117.69824
1975-06-01,120.69671
1975-07-01,120.21638
1975-08-01,116.72748
1975-09-01,120.83470
1975-10-01,119.03174
1975-11-01,118.97663
1975-12-01,124.96013
1976-01-01,130.98169
1976-02-01,125.35121
1976-03-01,125.45443
1976-04-01,113.99987
1976-05-01,108.29208
1976-06-01,112.24489
1976-07-01,119.73653
1976-08-01,121.37645
1976-09-01,123.62286
1976-10-01,126.35090
1976-11-01,126.18978
1976-12-01,129.28623
1977-01-01,124.79813
1977-02-01,125.14459
1977-03-01,113.08028
1977-04-01,115.40024
1977-05-01,115.35745
1977-06-01,114.31778
1977-07-01,113.71704
1977-08-01,114.50543
1977-09-01,109.23118
1977-10-01,109.01409
1977-11-01,108.42725
1977-12-01,108.93173
1978-01-01,108.62610
1978-02-01,107.33322
1978-03-01,104.99461
1978-04-01,108.96343
1978-05-01,102.68468
1978-06-01,99.47482
1978-07-01,98.84162
1978-08-01,97.11255
1978-09-01,97.08669
1978-10-01,97.09494
1978-11-01,97.34873
1978-12-01,97.66421
1979-01-01,96.04158
1979-02-01,95.91623
1979-03-01,95.59563
1979-04-01,96.70626
1979-05-01,97.93668
1979-06-01,96.18369
1979-07-01,93.79562
1979-08-01,94.58009
1979-09-01,94.90500
1979-10-01,95.66659
1979-11-01,95.50583
1979-12-01,95.09777
1980-01-01,93.53576
1980-02-01,97.80902
1980-03-01,100.21438
1980-04-01,99.09124
1980-05-01,96.76151
1980-06-01,96.30241
1980-07-01,95.85287
1980-08-01,96.16269
1980-09-01,95.13688
1980-10-01,95.12153
1980-11-01,95.52804
1980-12-01,97.67973
1981-01-01,98.87096
1981-02-01,99.85767
1981-03-01,99.73720
1981-04-01,101.04532
1981-05-01,101.17687
1981-06-01,101.22329
1981-07-01,102.85355
1981-08-01,104.19899
1981-09-01,103.58128
1981-10-01,103.41047
1981-11-01,102.96757
1981-12-01,104.39698
1982-01-01,104.91807
1982-02-01,107.02105
1982-03-01,108.64653
1982-04-01,108.57275
1982-05-01,106.76772
1982-06-01,101.70601
1982-07-01,95.34715
1982-08-01,95.73519
1982-09-01,95.28126
1982-10-01,94.97263
1982-11-01,94.64350
1982-12-01,95.34231
1983-01-01,97.40497
1983-02-01,98.63892
1983-03-01,99.20982
1983-04-01,98.24207
1983-05-01,96.80798
1983-06-01,93.57651
1983-07-01,86.48471
1983-08-01,87.96187
1983-09-01,89.43096
1983-10-01,89.38958
1983-11-01,90.27779
1983-12-01,92.55035
1984-01-01,93.01298
1984-02-01,92.88642
1984-03-01,94.90417
1984-04-01,95.16211
1984-05-01,93.05544
