Date,Inflation
1997-01-01,100.00000
1997-02-01,99.98133
1997-03-01,99.97999
1997-04-01,100.99068
1997-05-01,102.31576
1997-06-01,102.53079
1997-07-01,102.26968
1997-08-01,100.34930
1997-09-01,100.01653
1997-10-01,99.85328
1997-11-01,100.73751
1997-12-01,101.45181
1998-01-01,102.85531
1998-02-01,103.11913
1998-03-01,103.60205
1998-04-01,104.73031
1998-05-01,106.41956
1998-06-01,106.58709
1998-07-01,105.80519
1998-08-01,105.91532
1998-09-01,107.04621
1998-10-01,107.93975
1998-11-01,107.28064
1998-12-01,107.04851
1999-01-01,107.88475
1999-02-01,107.89587
1999-03-01,107.32559
1999-04-01,106.68953
1999-05-01,106.23605
1999-06-01,104.77691
1999-07-01,105.21346
1999-08-01,105.94294
1999-09-01,106.05405
1999-10-01,106.99531
1999-11-01,107.04845
1999-12-01,106.65484
2000-01-01,106.97774
2000-02-01,106.30385
2000-03-01,105.84616
2000-04-01,105.65757
2000-05-01,104.51547
2000-06-01,104.64175
2000-07-01,104.91673
2000-08-01,103.79485
2000-09-01,104.06444
2000-10-01,104.27890
2000-11-01,104.38895
2000-12-01,103.97257
2001-01-01,104.52964
2001-02-01,104.73632
2001-03-01,105.33713
2001-04-01,104.20181
2001-05-01,104.50888
2001-06-01,103.69766
2001-07-01,103.60847
2001-08-01,103.74023
2001-09-01,104.81754
2001-10-01,105.10521
2001-11-01,104.81443
2001-12-01,103.91334
2002-01-01,104.82819
2002-02-01,104.70721
2002-03-01,104.63348
2002-04-01,105.18691
2002-05-01,105.37129
2002-06-01,105.43637
2002-07-01,106.54662
2002-08-01,106.06822
2002-09-01,106.27654
2002-10-01,106.41966
2002-11-01,106.04688
2002-12-01,106.10470
2003-01-01,106.87393
2003-02-01,107.31969
2003-03-01,107.66134
2003-04-01,107.52654
2003-05-01,108.07484
2003-06-01,108.84708
2003-07-01,108.74059
2003-08-01,107.67910
2003-09-01,106.92874
2003-10-01,107.85487
2003-11-01,107.90716
2003-12-01,107.94860
2004-01-01,108.08910
2004-02-01,107.87561
2004-03-01,107.25992
2004-04-01,106.86628
2004-05-01,107.47922
2004-06-01,107.45715
2004-07-01,107.61249
2004-08-01,106.70810
2004-09-01,106.43168
2004-10-01,106.92415
2004-11-01,107.56463
2004-12-01,106.90043
2005-01-01,106.14448
2005-02-01,105.84505
2005-03-01,106.73421
2005-04-01,106.53257
2005-05-01,106.69316
2005-06-01,106.06758
2005-07-01,106.58514
2005-08-01,105.81622
2005-09-01,106.58867
2005-10-01,106.48405
2005-11-01,105.94911
2005-12-01,105.61772
2006-01-01,104.96789
2006-02-01,104.69444
2006-03-01,105.64117
2006-04-01,106.25283
2006-05-01,107.19581
2006-06-01,107.32056
2006-07-01,106.95996
2006-08-01,107.31537
2006-09-01,107.80327
2006-10-01,106.58643
2006-11-01,106.66011
2006-12-01,106.46593
2007-01-01,105.89671
2007-02-01,105.34593
2007-03-01,106.03997
2007-04-01,106.69322
2007-05-01,107.63257
2007-06-01,107.87373
2007-07-01,107.72834
2007-08-01,108.10969
2007-09-01,108.23037
2007-10-01,108.38788
2007-11-01,109.04999
2007-12-01,108.89670
2008-01-01,108.84120
2008-02-01,108.22558
2008-03-01,109.61775
2008-04-01,110.22846
2008-05-01,110.42514
2008-06-01,110.73519
2008-07-01,110.05290
2008-08-01,109.08733
2008-09-01,108.96276
2008-10-01,109.34668
2008-11-01,109.04754
2008-12-01,109.64851
2009-01-01,109.68338
2009-02-01,110.49840
2009-03-01,111.78225
2009-04-01,110.89910
2009-05-01,111.22830
2009-06-01,111.89980
2009-07-01,110.67272
2009-08-01,110.35491
2009-09-01,110.42636
2009-10-01,110.44862
2009-11-01,111.35028
2009-12-01,110.27757
2010-01-01,108.67990
2010-02-01,108.21529
2010-03-01,108.35544
2010-04-01,108.61869
2010-05-01,108.56309
2010-06-01,108.63826
2010-07-01,108.29295
2010-08-01,108.29196
2010-09-01,107.64732
2010-10-01,107.92447
2010-11-01,107.93594
2010-12-01,107.24114
2011-01-01,105.95255
2011-02-01,105.70337
2011-03-01,107.13199
2011-04-01,107.69202
2011-05-01,108.25618
2011-06-01,107.80688
2011-07-01,106.36654
2011-08-01,106.75357
2011-09-01,107.35308
2011-10-01,108.17131
2011-11-01,108.36591
2011-12-01,107.04106
2012-01-01,105.64226
2012-02-01,105.55248
2012-03-01,105.99544
2012-04-01,106.90030
2012-05-01,107.34292
2012-06-01,106.59108
2012-07-01,104.72533
2012-08-01,104.97348
2012-09-01,106.43627
2012-10-01,106.47880
2012-11-01,106.26070
2012-12-01,106.15686
2013-01-01,105.64264
2013-02-01,106.33245
2013-03-01,106.02376
2013-04-01,106.84928
2013-05-01,106.97160
2013-06-01,107.72171
2013-07-01,107.27956
2013-08-01,108.03670
2013-09-01,108.06230
2013-10-01,108.27625
2013-11-01,108.22674
2013-12-01,107.53644
2014-01-01,107.10932
2014-02-01,107.27996
2014-03-01,108.08561
2014-04-01,108.10044
2014-05-01,108.32553
2014-06-01,108.11624
2014-07-01,106.87121
2014-08-01,106.73500
2014-09-01,106.38900
2014-10-01,106.55073
2014-11-01,106.47619
2014-12-01,106.30508
2015-01-01,104.20493
2015-02-01,103.48063
2015-03-01,102.93624
2015-04-01,102.26102
2015-05-01,103.52810
2015-06-01,104.02250
2015-07-01,103.05311
2015-08-01,104.32115
2015-09-01,105.00297
2015-10-01,104.56409
2015-11-01,103.82891
2015-12-01,104.22617
2016-01-01,103.67007
2016-02-01,103.94349
2016-03-01,103.88423
2016-04-01,104.08436
2016-05-01,105.16205
2016-06-01,105.46670
2016-07-01,104.10455
2016-08-01,104.05801
2016-09-01,103.99081
2016-10-01,104.04496
2016-11-01,104.40601
2016-12-01,103.37554
2017-01-01,102.82528
2017-02-01,102.95325
2017-03-01,103.21560
2017-04-01,103.14335
2017-05-01,104.56127
2017-06-01,104.83664
2017-07-01,104.71625
2017-08-01,105.12590
2017-09-01,105.16198
2017-10-01,105.15095
2017-11-01,105.54897
2017-12-01,105.22863
2018-01-01,104.51811
2018-02-01,105.10881
2018-03-01,105.31752
2018-04-01,105.77110
2018-05-01,106.26419
2018-06-01,106.36955
2018-07-01,106.06907
2018-08-01,106.49906
2018-09-01,107.19958
2018-10-01,106.51408
2018-11-01,106.34953
2018-12-01,105.74277
2019-01-01,104.56157
2019-02-01,104.58575
2019-03-01,104.86307
2019-04-01,105.34546
2019-05-01,106.69985
2019-06-01,107.04919
2019-07-01,105.69655
2019-08-01,106.38092
2019-09-01,105.89016
2019-10-01,105.65710
2019-11-01,105.55138
2019-12-01,105.20404
2020-01-01,103.91446
2020-02-01,104.30737
2020-03-01,104.96730
2020-04-01,104.58103
2020-05-01,105.67336
2020-06-01,107.17769
2020-07-01,107.61177
2020-08-01,108.23913
2020-09-01,107.89620
2020-10-01,108.12119
2020-11-01,107.03304
2020-12-01,106.64682
2021-01-01,105.35397
2021-02-01,104.92039
2021-03-01,105.35006
2021-04-01,106.41844
2021-05-01,107.14725
2021-06-01,107.18965
2021-07-01,107.03885
2021-08-01,106.46941
2021-09-01,106.20815
2021-10-01,106.27120
2021-11-01,106.43335
2021-12-01,106.36929
2022-01-01,105.35717
2022-02-01,105.96681
2022-03-01,103.25050
2022-04-01,103.85622
2022-05-01,105.60194
2022-06-01,107.73632
2022-07-01,107.23142
2022-08-01,106.52268
2022-09-01,104.51033
2022-10-01,105.03389
2022-11-01,106.20678
2022-12-01,106.83527
2023-01-01,106.05932
2023-02-01,106.01736
2023-03-01,105.90139
2023-04-01,107.48363
2023-05-01,108.25635
2023-06-01,110.44771
2023-07-01,111.04322
2023-08-01,110.43724
2023-09-01,110.14464
2023-10-01,110.01506
2023-11-01,109.29564
2023-12-01,108.14363
