Date,Inflation
1997-01-01,100.00000
1997-02-01,107.30308
1997-03-01,109.01953
1997-04-01,109.89789
1997-05-01,108.74418
1997-06-01,108.27351
1997-07-01,109.61116
1997-08-01,108.77107
1997-09-01,108.29384
1997-10-01,107.82763
1997-11-01,104.83158
1997-12-01,107.65120
1998-01-01,109.40186
1998-02-01,108.30378
1998-03-01,108.02183
1998-04-01,106.32277
1998-05-01,105.69530
1998-06-01,101.84019
1998-07-01,89.83928
1998-08-01,89.97468
1998-09-01,91.58846
1998-10-01,94.04033
1998-11-01,97.30706
1998-12-01,93.06234
1999-01-01,92.46627
1999-02-01,92.28317
1999-03-01,92.19673
1999-04-01,93.93989
1999-05-01,92.97772
1999-06-01,95.87251
1999-07-01,95.83834
1999-08-01,93.56845
1999-09-01,94.66511
1999-10-01,93.20127
1999-11-01,94.10833
1999-12-01,94.65205
2000-01-01,95.79257
2000-02-01,93.95037
2000-03-01,93.36184
2000-04-01,93.04996
2000-05-01,90.23603
2000-06-01,90.03055
2000-07-01,92.05041
2000-08-01,92.84917
2000-09-01,91.96891
2000-10-01,89.37817
2000-11-01,87.34598
2000-12-01,86.08528
2001-01-01,84.52620
2001-02-01,84.92575
2001-03-01,85.81901
2001-04-01,84.74575
2001-05-01,86.58833
2001-06-01,87.06346
2001-07-01,85.53339
2001-08-01,82.28002
2001-09-01,78.86538
2001-10-01,73.82968
2001-11-01,71.27230
2001-12-01,60.02192
2002-01-01,61.67130
2002-02-01,63.52385
2002-03-01,63.71401
2002-04-01,66.66416
2002-05-01,71.84817
2002-06-01,71.19232
2002-07-01,71.08071
2002-08-01,68.75929
2002-09-01,69.12858
2002-10-01,72.26284
2002-11-01,77.02742
2002-12-01,82.32104
2003-01-01,83.53019
2003-02-01,86.54166
2003-03-01,89.60882
2003-04-01,93.10283
2003-05-01,90.54387
2003-06-01,87.16076
2003-07-01,91.95386
2003-08-01,95.02870
2003-09-01,94.08994
2003-10-01,95.68517
2003-11-01,97.68691
2003-12-01,98.12580
2004-01-01,90.91381
2004-02-01,92.95440
2004-03-01,96.59243
2004-04-01,98.36747
2004-05-01,95.70193
2004-06-01,100.21701
2004-07-01,104.71252
2004-08-01,99.39436
2004-09-01,97.84220
2004-10-01,98.98535
