Date,Inflation
1970-01-01,100.00000
1970-02-01,99.34374
1970-03-01,99.53648
1970-04-01,99.29064
1970-05-01,98.40514
1970-06-01,98.54514
1970-07-01,100.07209
1970-08-01,101.54707
1970-09-01,101.52884
1970-10-01,101.96770
1970-11-01,101.65766
1970-12-01,101.53683
1971-01-01,101.70238
1971-02-01,100.96680
1971-03-01,101.59249
1971-04-01,101.99135
1971-05-01,101.44084
1971-06-01,101.14820
1971-07-01,100.51639
1971-08-01,99.97618
1971-09-01,100.25306
1971-10-01,100.46760
1971-11-01,101.96819
1971-12-01,103.29474
1972-01-01,103.34658
1972-02-01,101.83458
1972-03-01,103.21364
1972-04-01,103.70376
1972-05-01,103.69325
1972-06-01,103.56178
1972-07-01,106.52029
1972-08-01,107.41064
1972-09-01,108.33687
1972-10-01,108.74316
1972-11-01,108.71671
1972-12-01,109.07819
1973-01-01,108.96963
1973-02-01,108.58108
1973-03-01,109.70576
1973-04-01,110.86295
1973-05-01,110.37165
1973-06-01,107.38901
1973-07-01,104.50199
1973-08-01,109.35866
1973-09-01,110.98958
1973-10-01,110.88429
1973-11-01,113.68881
1973-12-01,117.43009
1974-01-01,120.09068
1974-02-01,114.69046
1974-03-01,112.96881
1974-04-01,113.48158
1974-05-01,114.36625
1974-06-01,115.95119
1974-07-01,116.53059
1974-08-01,118.74090
1974-09-01,119.34014
1974-10-01,118.15173
1974-11-01,119.15782
1974-12-01,119.72003
1975-01-01,117.52659
1975-02-01,116.05186
1975-03-01,115.92761
1975-04-01,117.14899
1975-05-01,117.21526
1975-06-01,116.73230
1975-07-01,119.30679
1975-08-01,122.12900
1975-09-01,123.27456
1975-10-01,121.52822
1975-11-01,121.59407
1975-12-01,123.20468
1976-01-01,123.35372
1976-02-01,114.50477
1976-03-01,114.54593
1976-04-01,116.13839
1976-05-01,120.43112
1976-06-01,119.26999
1976-07-01,119.34734
1976-08-01,118.90344
1976-09-01,120.30039
1976-10-01,120.53670
1976-11-01,121.36946
1976-12-01,121.50754
1977-01-01,123.90938
1977-02-01,124.06937
1977-03-01,126.56162
1977-04-01,127.09991
1977-05-01,126.73357
1977-06-01,128.54416
1977-07-01,111.96280
1977-08-01,110.40774
1977-09-01,111.88295
1977-10-01,112.11232
1977-11-01,112.91487
1977-12-01,112.81591
1978-01-01,113.36629
1978-02-01,113.39032
1978-03-01,113.48203
1978-04-01,114.54401
1978-05-01,115.68044
1978-06-01,117.21802
1978-07-01,119.36272
1978-08-01,122.60054
1978-09-01,124.38674
1978-10-01,126.44673
1978-11-01,128.07446
1978-12-01,128.88108
1979-01-01,130.54248
1979-02-01,132.45008
1979-03-01,133.46562
1979-04-01,137.53180
1979-05-01,143.59267
1979-06-01,142.34301
1979-07-01,139.67423
1979-08-01,140.72582
1979-09-01,140.15008
1979-10-01,141.56856
1979-11-01,140.43078
1979-12-01,138.86490
1980-01-01,140.21237
1980-02-01,139.95893
1980-03-01,140.01373
1980-04-01,135.62216
1980-05-01,132.03187
1980-06-01,133.05223
1980-07-01,131.46544
1980-08-01,131.37378
1980-09-01,129.67704
1980-10-01,129.70697
1980-11-01,130.47817
1980-12-01,129.79409
1981-01-01,129.38576
1981-02-01,127.21895
1981-03-01,128.40525
1981-04-01,128.83937
1981-05-01,129.05038
1981-06-01,127.61710
1981-07-01,127.81819
1981-08-01,127.85747
1981-09-01,128.41490
1981-10-01,126.96187
1981-11-01,126.26194
1981-12-01,127.06293
1982-01-01,128.61686
1982-02-01,129.39350
1982-03-01,127.30369
1982-04-01,127.51370
1982-05-01,129.08481
1982-06-01,127.89431
1982-07-01,128.81896
1982-08-01,129.43212
1982-09-01,129.35669
1982-10-01,129.53132
1982-11-01,126.52224
1982-12-01,117.13177
1983-01-01,116.97179
1983-02-01,116.00615
1983-03-01,114.13685
1983-04-01,113.97124
1983-05-01,112.96295
1983-06-01,111.32887
1983-07-01,109.07619
1983-08-01,110.08995
1983-09-01,110.00670
1983-10-01,109.79586
1983-11-01,110.29108
1983-12-01,111.47313
1984-01-01,113.01894
1984-02-01,114.19047
1984-03-01,114.89859
1984-04-01,115.84720
1984-05-01,116.78815
1984-06-01,116.64458
1984-07-01,117.11461
1984-08-01,116.46024
1984-09-01,116.37967
1984-10-01,116.53083
1984-11-01,117.68986
1984-12-01,118.88680
1985-01-01,120.72871
1985-02-01,120.34493
1985-03-01,119.17996
1985-04-01,120.64937
1985-05-01,119.47678
1985-06-01,117.83062
1985-07-01,118.22671
1985-08-01,117.81091
1985-09-01,117.24854
1985-10-01,115.38589
1985-11-01,114.93241
1985-12-01,116.39664
1986-01-01,119.76510
1986-02-01,119.98721
1986-03-01,121.79432
1986-04-01,121.10343
1986-05-01,121.64743
1986-06-01,121.42178
1986-07-01,124.30935
1986-08-01,124.65822
1986-09-01,124.93127
1986-10-01,125.55455
1986-11-01,123.53848
1986-12-01,123.76262
1987-01-01,122.49242
1987-02-01,121.99983
1987-03-01,121.85332
1987-04-01,121.34427
1987-05-01,121.54883
1987-06-01,122.26183
1987-07-01,124.46791
1987-08-01,125.71637
1987-09-01,128.37168
1987-10-01,130.74133
1987-11-01,129.56646
1987-12-01,129.12484
1988-01-01,129.00808
1988-02-01,129.87287
1988-03-01,130.98593
1988-04-01,131.08763
1988-05-01,130.25480
1988-06-01,129.73604
1988-07-01,130.12413
1988-08-01,131.58919
1988-09-01,131.40931
1988-10-01,132.22728
1988-11-01,133.00586
1988-12-01,135.61155
1989-01-01,139.52225
