Date,Inflation
1970-01-01,100.00000
1970-02-01,100.78529
1970-03-01,100.43633
1970-04-01,99.81236
1970-05-01,99.88042
1970-06-01,100.23822
1970-07-01,100.55527
1970-08-01,100.96666
1970-09-01,100.41554
1970-10-01,100.63810
1970-11-01,101.05818
1970-12-01,101.32517
1971-01-01,103.52533
1971-02-01,102.83482
1971-03-01,102.75354
1971-04-01,101.76943
1971-05-01,100.25791
1971-06-01,99.54649
1971-07-01,99.36368
1971-08-01,100.27825
1971-09-01,99.69681
1971-10-01,100.32656
1971-11-01,100.26930
1971-12-01,101.47564
1972-01-01,101.83546
1972-02-01,101.73871
1972-03-01,101.37596
1972-04-01,101.02059
1972-05-01,101.58192
1972-06-01,101.86359
1972-07-01,102.79771
1972-08-01,103.06598
1972-09-01,102.92584
1972-10-01,102.85944
1972-11-01,102.61812
1972-12-01,103.59668
1973-01-01,103.24356
1973-02-01,102.60837
1973-03-01,99.97367
1973-04-01,99.04206
1973-05-01,99.06044
1973-06-01,100.26406
1973-07-01,99.78854
1973-08-01,99.28369
1973-09-01,98.29659
1973-10-01,98.17217
1973-11-01,98.38554
1973-12-01,96.05922
1974-01-01,95.19435
1974-02-01,96.17087
1974-03-01,96.04355
1974-04-01,95.62335
1974-05-01,95.28626
1974-06-01,94.71303
1974-07-01,94.03833
1974-08-01,94.87768
1974-09-01,94.71360
1974-10-01,96.95918
1974-11-01,96.98916
1974-12-01,98.19405
1975-01-01,97.37380
1975-02-01,97.75445
1975-03-01,98.05094
1975-04-01,97.35341
1975-05-01,98.29096
1975-06-01,98.46928
1975-07-01,97.98836
1975-08-01,97.64902
1975-09-01,95.74635
1975-10-01,96.95126
1975-11-01,97.37866
1975-12-01,97.70925
1976-01-01,98.49908
1976-02-01,98.36832
1976-03-01,98.91372
1976-04-01,99.22472
1976-05-01,99.97111
1976-06-01,100.11472
1976-07-01,99.47257
1976-08-01,99.94653
1976-09-01,100.36454
1976-10-01,102.74457
1976-11-01,103.66706
1976-12-01,103.79353
1977-01-01,102.72652
1977-02-01,102.72026
1977-03-01,103.41172
1977-04-01,100.70887
1977-05-01,100.94838
1977-06-01,101.00092
1977-07-01,101.59716
1977-08-01,99.69620
1977-09-01,92.68322
1977-10-01,92.71045
1977-11-01,92.06337
1977-12-01,90.92260
1978-01-01,92.01713
1978-02-01,92.52294
1978-03-01,92.06729
1978-04-01,92.30662
1978-05-01,93.20620
1978-06-01,92.74165
1978-07-01,92.50310
1978-08-01,91.96926
1978-09-01,91.75263
1978-10-01,90.67118
1978-11-01,91.25701
1978-12-01,91.24665
1979-01-01,90.73170
1979-02-01,90.80469
1979-03-01,90.77307
1979-04-01,90.96427
1979-05-01,91.57755
1979-06-01,91.66709
1979-07-01,90.78826
1979-08-01,91.92918
1979-09-01,91.53629
1979-10-01,91.78388
1979-11-01,92.45279
1979-12-01,92.32867
1980-01-01,94.09178
1980-02-01,94.47969
1980-03-01,94.12804
1980-04-01,93.80132
1980-05-01,93.12683
1980-06-01,92.48880
1980-07-01,92.62156
1980-08-01,92.98988
1980-09-01,95.10290
1980-10-01,96.31506
1980-11-01,96.51423
1980-12-01,95.97473
1981-01-01,96.45555
1981-02-01,98.83149
1981-03-01,98.39593
1981-04-01,98.27720
1981-05-01,98.44805
1981-06-01,98.15531
1981-07-01,98.18883
1981-08-01,98.25009
1981-09-01,92.58013
1981-10-01,88.62044
1981-11-01,88.21708
1981-12-01,86.89712
1982-01-01,88.00892
1982-02-01,89.09650
1982-03-01,89.03854
1982-04-01,88.79966
1982-05-01,88.18497
1982-06-01,88.13898
1982-07-01,88.48550
1982-08-01,88.90274
1982-09-01,88.81192
1982-10-01,79.69800
1982-11-01,77.11130
1982-12-01,76.05791
1983-01-01,77.12580
1983-02-01,76.96382
1983-03-01,76.97264
1983-04-01,77.50975
1983-05-01,77.81331
1983-06-01,78.32777
1983-07-01,78.99610
1983-08-01,79.20193
1983-09-01,79.20945
1983-10-01,79.33253
1983-11-01,79.74045
1983-12-01,80.38374
1984-01-01,81.23499
1984-02-01,80.18890
1984-03-01,81.56246
1984-04-01,81.63241
1984-05-01,81.79348
1984-06-01,81.19674
1984-07-01,81.95589
1984-08-01,82.63648
1984-09-01,83.56420
1984-10-01,83.66722
1984-11-01,83.61467
1984-12-01,84.44343
1985-01-01,84.42506
1985-02-01,84.87328
1985-03-01,84.33580
1985-04-01,83.54166
1985-05-01,84.52494
1985-06-01,84.23470
1985-07-01,84.34481
1985-08-01,83.91010
1985-09-01,84.17132
1985-10-01,84.44897
1985-11-01,85.04760
1985-12-01,85.14878
1986-01-01,85.46971
1986-02-01,84.85018
1986-03-01,84.59780
1986-04-01,84.85961
1986-05-01,84.68692
1986-06-01,84.27607
1986-07-01,84.27580
1986-08-01,83.59800
1986-09-01,83.99535
1986-10-01,83.87966
1986-11-01,83.96098
1986-12-01,83.75959
1987-01-01,83.59577
1987-02-01,83.80574
1987-03-01,84.51981
1987-04-01,84.28877
1987-05-01,83.99408
1987-06-01,83.76733
1987-07-01,84.63031
1987-08-01,84.54398
1987-09-01,84.67436
1987-10-01,84.76829
1987-11-01,84.46013
1987-12-01,84.04445
1988-01-01,84.31255
1988-02-01,85.25096
1988-03-01,85.63330
1988-04-01,86.32712
1988-05-01,86.70201
1988-06-01,86.47220
1988-07-01,86.85840
1988-08-01,86.53345
1988-09-01,86.92505
1988-10-01,87.72804
1988-11-01,87.22026
1988-12-01,87.22731
1989-01-01,87.95549
1989-02-01,88.08206
1989-03-01,87.93792
1989-04-01,88.47109
1989-05-01,88.50103
1989-06-01,88.74804
1989-07-01,88.58870
1989-08-01,88.87773
1989-09-01,89.44570
1989-10-01,89.32654
1989-11-01,88.85197
1989-12-01,88.22373
1990-01-01,89.92604
1990-02-01,89.72464
1990-03-01,92.73844
1990-04-01,92.67523
1990-05-01,92.38188
1990-06-01,92.12038
1990-07-01,92.63124
1990-08-01,92.37296
1990-09-01,92.69447
1990-10-01,92.29982
1990-11-01,92.42343
1990-12-01,92.42090
1991-01-01,94.26320
1991-02-01,96.72636
1991-03-01,97.03759
1991-04-01,97.30868
1991-05-01,97.31514
1991-06-01,95.62983
1991-07-01,95.00205
1991-08-01,94.92025
1991-09-01,95.99781
1991-10-01,95.72084
1991-11-01,96.93306
1991-12-01,98.14529
1992-01-01,97.70857
1992-02-01,96.99232
1992-03-01,96.85326
1992-04-01,96.88505
1992-05-01,97.11416
1992-06-01,97.04476
1992-07-01,98.08463
1992-08-01,98.42813
1992-09-01,99.51930
1992-10-01,98.78579
1992-11-01,92.88346
1992-12-01,84.54704
1993-01-01,83.53855
1993-02-01,82.06736
1993-03-01,79.97501
1993-04-01,80.51305
1993-05-01,81.52549
1993-06-01,81.52809
1993-07-01,78.07862
1993-08-01,77.25849
1993-09-01,76.00173
1993-10-01,76.69705
1993-11-01,75.98751
1993-12-01,74.65601
1994-01-01,77.84969
1994-02-01,78.71873
1994-03-01,78.31951
1994-04-01,78.77211
1994-05-01,79.13810
1994-06-01,77.15448
1994-07-01,75.50518
1994-08-01,75.36426
1994-09-01,77.14778
1994-10-01,78.57201
1994-11-01,78.27137
1994-12-01,77.59737
1995-01-01,76.84929
1995-02-01,76.78263
1995-03-01,75.02754
1995-04-01,73.18202
1995-05-01,74.44135
1995-06-01,74.11102
1995-07-01,74.40488
1995-08-01,75.62125
1995-09-01,77.68133
1995-10-01,79.76060
1995-11-01,82.83938
1995-12-01,82.74300
1996-01-01,82.17740
1996-02-01,80.25072
1996-03-01,82.52586
1996-04-01,83.71625
1996-05-01,83.27168
1996-06-01,84.07333
1996-07-01,83.48901
1996-08-01,82.49081
1996-09-01,83.25907
1996-10-01,84.24544
1996-11-01,82.73890
1996-12-01,81.47548
1997-01-01,80.15118
1997-02-01,78.87450
1997-03-01,77.40418
1997-04-01,77.90120
1997-05-01,77.48247
1997-06-01,77.41438
1997-07-01,78.37106
1997-08-01,78.55410
1997-09-01,80.49486
1997-10-01,80.63431
1997-11-01,79.82198
1997-12-01,79.38843
1998-01-01,77.86736
1998-02-01,76.82747
1998-03-01,78.05718
1998-04-01,79.12620
1998-05-01,79.58653
1998-06-01,77.95534
1998-07-01,77.18288
1998-08-01,75.55479
1998-09-01,75.68803
1998-10-01,73.86474
1998-11-01,73.57558
1998-12-01,72.54977
1999-01-01,75.24712
1999-02-01,76.07616
1999-03-01,75.33251
1999-04-01,75.03453
1999-05-01,74.38323
1999-06-01,75.19959
1999-07-01,75.64498
1999-08-01,75.68922
1999-09-01,76.76291
1999-10-01,76.25483
1999-11-01,76.10680
1999-12-01,75.89161
2000-01-01,75.14342
2000-02-01,75.65293
2000-03-01,76.39965
2000-04-01,76.83720
2000-05-01,77.01229
2000-06-01,77.06788
2000-07-01,75.50827
2000-08-01,74.88821
2000-09-01,74.07864
2000-10-01,72.88393
2000-11-01,72.19551
2000-12-01,72.81549
2001-01-01,71.56144
2001-02-01,70.44024
2001-03-01,69.37561
2001-04-01,69.70355
2001-05-01,69.70064
2001-06-01,67.90999
2001-07-01,67.66324
2001-08-01,68.24449
2001-09-01,66.06737
2001-10-01,66.48500
2001-11-01,67.39411
2001-12-01,67.26139
2002-01-01,68.28766
2002-02-01,68.33086
2002-03-01,69.65803
2002-04-01,69.12416
2002-05-01,68.99037
2002-06-01,70.37222
2002-07-01,69.35058
2002-08-01,69.36160
2002-09-01,70.25517
2002-10-01,70.94834
2002-11-01,71.20512
2002-12-01,70.97813
2003-01-01,71.13905
2003-02-01,72.08552
2003-03-01,71.98110
2003-04-01,72.36306
2003-05-01,73.24293
2003-06-01,73.60178
2003-07-01,72.57127
2003-08-01,71.86138
2003-09-01,73.50405
2003-10-01,74.29242
2003-11-01,74.27099
2003-12-01,74.67172
2004-01-01,73.72863
2004-02-01,72.98019
2004-03-01,72.26358
2004-04-01,72.15481
2004-05-01,72.59740
2004-06-01,72.15295
2004-07-01,71.77483
2004-08-01,71.62402
2004-09-01,72.91199
2004-10-01,73.36745
2004-11-01,73.57959
2004-12-01,73.83423
2005-01-01,72.63877
2005-02-01,72.25309
2005-03-01,72.03361
2005-04-01,71.24619
2005-05-01,70.75559
2005-06-01,69.49531
2005-07-01,68.20764
2005-08-01,68.92210
2005-09-01,68.88759
2005-10-01,68.19345
2005-11-01,66.99940
2005-12-01,67.89386
2006-01-01,68.46947
2006-02-01,68.01016
2006-03-01,68.09155
2006-04-01,68.75799
2006-05-01,68.86041
2006-06-01,69.70645
2006-07-01,69.80029
2006-08-01,69.70482
2006-09-01,69.65630
2006-10-01,69.69163
2006-11-01,70.96688
2006-12-01,71.39319
2007-01-01,70.54877
2007-02-01,69.83058
2007-03-01,69.31345
2007-04-01,69.89731
2007-05-01,69.85580
2007-06-01,68.92535
2007-07-01,69.90636
2007-08-01,68.80466
2007-09-01,69.81010
2007-10-01,70.79575
2007-11-01,70.34054
2007-12-01,69.20141
2008-01-01,68.67201
2008-02-01,68.95559
2008-03-01,69.42729
2008-04-01,69.98440
2008-05-01,70.08591
2008-06-01,69.70941
2008-07-01,68.81828
2008-08-01,69.02801
2008-09-01,68.20621
2008-10-01,66.14167
2008-11-01,64.25786
2008-12-01,61.08009
2009-01-01,61.17528
2009-02-01,59.76130
2009-03-01,58.80524
2009-04-01,60.18232
2009-05-01,61.61593
2009-06-01,60.07546
2009-07-01,60.17959
2009-08-01,63.69530
2009-09-01,64.14937
2009-10-01,63.63682
2009-11-01,63.36334
2009-12-01,62.75001
2010-01-01,63.06081
2010-02-01,64.26614
2010-03-01,65.31485
2010-04-01,65.17576
2010-05-01,64.59862
2010-06-01,65.03321
2010-07-01,65.85419
2010-08-01,66.07628
2010-09-01,68.07689
2010-10-01,68.46268
2010-11-01,68.11818
2010-12-01,69.74664
2011-01-01,70.21647
2011-02-01,71.48857
2011-03-01,71.04450
2011-04-01,70.87650
2011-05-01,70.75296
2011-06-01,69.47751
2011-07-01,69.12866
2011-08-01,68.85276
2011-09-01,69.27355
2011-10-01,69.45329
2011-11-01,69.27340
2011-12-01,69.88729
2012-01-01,69.91426
2012-02-01,70.08881
2012-03-01,69.28852
2012-04-01,69.50984
2012-05-01,68.22089
2012-06-01,69.09124
2012-07-01,70.88650
2012-08-01,72.81992
2012-09-01,71.56811
2012-10-01,70.45805
2012-11-01,70.28123
2012-12-01,70.26126
2013-01-01,70.27620
2013-02-01,71.46123
2013-03-01,72.53650
2013-04-01,71.62085
2013-05-01,70.65590
2013-06-01,70.29743
2013-07-01,70.25868
2013-08-01,70.21389
2013-09-01,70.48927
2013-10-01,70.03132
2013-11-01,68.95135
2013-12-01,68.75709
2014-01-01,69.05963
2014-02-01,68.87728
2014-03-01,68.98037
2014-04-01,67.70194
2014-05-01,67.57610
2014-06-01,67.07419
2014-07-01,65.70495
2014-08-01,65.83703
2014-09-01,65.53859
2014-10-01,65.74096
2014-11-01,65.42055
2014-12-01,65.04124
2015-01-01,64.11233
