Date,Inflation
1970-01-01,100.00000
1970-02-01,100.64232
1970-03-01,100.30604
1970-04-01,100.46588
1970-05-01,100.59805
1970-06-01,100.20209
1970-07-01,99.96192
1970-08-01,99.51381
1970-09-01,99.52599
1970-10-01,99.46621
1970-11-01,99.80631
1970-12-01,99.92231
1971-01-01,98.91149
1971-02-01,98.88377
1971-03-01,98.45772
1971-04-01,98.06879
1971-05-01,97.92059
1971-06-01,98.59609
1971-07-01,98.23925
1971-08-01,97.33400
1971-09-01,95.79612
1971-10-01,94.10976
1971-11-01,93.92833
1971-12-01,92.62190
1972-01-01,90.81629
1972-02-01,90.34276
1972-03-01,89.74417
1972-04-01,89.51090
1972-05-01,89.20159
1972-06-01,88.87282
1972-07-01,89.22170
1972-08-01,88.73069
1972-09-01,88.51346
1972-10-01,88.90773
1972-11-01,89.28499
1972-12-01,89.15780
1973-01-01,88.14030
1973-02-01,84.52083
1973-03-01,81.58527
1973-04-01,81.82926
1973-05-01,81.05707
1973-06-01,79.59303
1973-07-01,77.49380
1973-08-01,79.18521
1973-09-01,78.56463
1973-10-01,78.28031
1973-11-01,80.22104
1973-12-01,80.73429
1974-01-01,82.04052
1974-02-01,79.94813
1974-03-01,78.57526
1974-04-01,76.91388
1974-05-01,76.53636
1974-06-01,77.43274
1974-07-01,77.76705
1974-08-01,79.27544
1974-09-01,79.67406
1974-10-01,78.96539
1974-11-01,78.33554
1974-12-01,78.10635
1975-01-01,77.18753
1975-02-01,76.37121
1975-03-01,75.85349
1975-04-01,76.23325
1975-05-01,75.96121
1975-06-01,76.15769
1975-07-01,78.16532
1975-08-01,79.38803
1975-09-01,79.58258
1975-10-01,79.28674
1975-11-01,79.43283
1975-12-01,80.02718
1976-01-01,79.16191
1976-02-01,78.59598
1976-03-01,78.68505
1976-04-01,78.40929
1976-05-01,78.62126
1976-06-01,78.85747
1976-07-01,78.49738
1976-08-01,78.60845
1976-09-01,78.44522
1976-10-01,78.51834
1976-11-01,78.98823
1976-12-01,78.93209
1977-01-01,78.13312
1977-02-01,78.42552
1977-03-01,78.50713
1977-04-01,77.98026
1977-05-01,77.83039
1977-06-01,77.83007
1977-07-01,77.07879
1977-08-01,77.41989
1977-09-01,77.23737
1977-10-01,76.39782
1977-11-01,75.87074
1977-12-01,74.73193
1978-01-01,74.15634
1978-02-01,74.00923
1978-03-01,73.48272
1978-04-01,73.10111
1978-05-01,73.88395
1978-06-01,73.15498
1978-07-01,71.39902
1978-08-01,70.08841
1978-09-01,70.51258
1978-10-01,69.26599
1978-11-01,70.88229
1978-12-01,71.44690
1979-01-01,71.58340
1979-02-01,72.27239
1979-03-01,72.58638
1979-04-01,73.42129
1979-05-01,74.20592
1979-06-01,74.58449
1979-07-01,73.43980
1979-08-01,74.19867
1979-09-01,74.22300
1979-10-01,75.18950
1979-11-01,76.78491
1979-12-01,76.21730
1980-01-01,75.89307
1980-02-01,76.56310
1980-03-01,79.13561
1980-04-01,79.73595
1980-05-01,76.59349
1980-06-01,75.32252
1980-07-01,74.66325
1980-08-01,75.61439
1980-09-01,74.68348
1980-10-01,74.90341
1980-11-01,76.46312
1980-12-01,77.40814
1981-01-01,76.55065
1981-02-01,78.81422
1981-03-01,78.91761
1981-04-01,80.12401
1981-05-01,82.32945
1981-06-01,83.92660
1981-07-01,86.18216
1981-08-01,87.61004
1981-09-01,85.90409
1981-10-01,84.99391
1981-11-01,83.42802
1981-12-01,83.29732
1982-01-01,84.18267
1982-02-01,86.81625
1982-03-01,88.51386
1982-04-01,89.03757
1982-05-01,87.69978
1982-06-01,91.81514
1982-07-01,93.12418
1982-08-01,92.76258
1982-09-01,94.02406
1982-10-01,95.31352
1982-11-01,94.93337
1982-12-01,91.04830
1983-01-01,91.91472
1983-02-01,92.64442
1983-03-01,92.89471
1983-04-01,93.33646
1983-05-01,93.26520
1983-06-01,94.63510
1983-07-01,95.15382
1983-08-01,96.54454
1983-09-01,96.48668
1983-10-01,94.98119
1983-11-01,96.05597
1983-12-01,96.78731
1984-01-01,97.20232
1984-02-01,96.10121
1984-03-01,94.68558
1984-04-01,95.26891
1984-05-01,97.25753
1984-06-01,97.95018
1984-07-01,100.38678
1984-08-01,100.66731
1984-09-01,102.15023
1984-10-01,102.91139
1984-11-01,102.03478
1984-12-01,103.52560
1985-01-01,104.67918
1985-02-01,107.21158
1985-03-01,107.72539
1985-04-01,104.65501
1985-05-01,105.41972
1985-06-01,105.14475
1985-07-01,103.14754
1985-08-01,101.93340
1985-09-01,102.82524
1985-10-01,98.59577
1985-11-01,97.87499
1985-12-01,97.05553
1986-01-01,95.75866
1986-02-01,92.28379
1986-03-01,90.20178
1986-04-01,89.24930
1986-05-01,87.51477
1986-06-01,88.78613
1986-07-01,86.49304
1986-08-01,85.24178
1986-09-01,85.25441
1986-10-01,85.22699
1986-11-01,86.41862
1986-12-01,85.77241
1987-01-01,83.07835
1987-02-01,82.35194
1987-03-01,81.87505
1987-04-01,79.83019
1987-05-01,79.27806
1987-06-01,80.23920
1987-07-01,81.37808
1987-08-01,81.17662
1987-09-01,79.71518
1987-10-01,79.52339
1987-11-01,77.15586
1987-12-01,75.00618
1988-01-01,74.55860
1988-02-01,75.09359
1988-03-01,74.04597
1988-04-01,73.32781
1988-05-01,73.41223
1988-06-01,74.42073
1988-07-01,76.38141
1988-08-01,77.16305
1988-09-01,77.28145
1988-10-01,75.69468
1988-11-01,73.70228
1988-12-01,73.47885
1989-01-01,74.66179
1989-02-01,74.92043
1989-03-01,75.58589
1989-04-01,75.68432
1989-05-01,77.02922
1989-06-01,78.34451
1989-07-01,76.97569
1989-08-01,77.11079
1989-09-01,77.74032
1989-10-01,76.52122
1989-11-01,76.76691
1989-12-01,76.14879
1990-01-01,76.03812
1990-02-01,76.15514
1990-03-01,77.29191
1990-04-01,77.30283
1990-05-01,76.23848
1990-06-01,76.76546
1990-07-01,75.40678
1990-08-01,74.49264
1990-09-01,73.46615
1990-10-01,71.73666
1990-11-01,71.55505
1990-12-01,72.39097
1991-01-01,72.13865
1991-02-01,71.17604
1991-03-01,73.47762
1991-04-01,74.27663
1991-05-01,74.46190
1991-06-01,75.54444
1991-07-01,75.36477
1991-08-01,74.65014
1991-09-01,73.85879
1991-10-01,73.04455
1991-11-01,72.08502
1991-12-01,71.53370
1992-01-01,71.07081
1992-02-01,72.12596
1992-03-01,73.61205
1992-04-01,73.02578
1992-05-01,72.25627
1992-06-01,71.33692
1992-07-01,70.35715
1992-08-01,70.17405
1992-09-01,70.17082
1992-10-01,71.39451
1992-11-01,73.51761
1992-12-01,73.61987
1993-01-01,74.32603
1993-02-01,74.21528
1993-03-01,73.62009
1993-04-01,72.20368
1993-05-01,71.95112
1993-06-01,71.99467
1993-07-01,72.68481
