Date,Bananas
1990-01-01,100.00000
1990-02-01,109.36069
1990-03-01,91.31762
1990-04-01,99.06732
1990-05-01,83.83924
1990-06-01,89.72359
1990-07-01,106.08784
1990-08-01,92.65728
1990-09-01,88.79091
1990-10-01,83.21180
1990-11-01,72.42666
1990-12-01,84.11056
1991-01-01,101.18535
1991-02-01,117.64796
1991-03-01,141.97558
1991-04-01,132.12311
1991-05-01,107.27997
1991-06-01,107.48347
1991-07-01,68.15330
1991-08-01,81.14295
1991-09-01,62.21129
1991-10-01,75.98949
1991-11-01,74.77022
1991-12-01,68.50432
1992-01-01,96.61353
1992-02-01,102.80990
1992-03-01,102.81499
1992-04-01,71.05138
1992-05-01,72.21129
1992-06-01,68.58572
1992-07-01,73.34916
1992-08-01,105.25861
1992-09-01,86.77294
1992-10-01,66.06749
1992-11-01,64.44463
1992-12-01,52.71324
1993-01-01,89.01475
1993-02-01,99.30643
1993-03-01,111.75174
1993-04-01,95.59098
1993-05-01,78.27709
1993-06-01,66.06071
1993-07-01,59.47600
1993-08-01,53.74089
1993-09-01,59.48109
1993-10-01,56.07767
1993-11-01,62.45040
1993-12-01,70.30015
1994-01-01,90.32389
1994-02-01,113.09140
1994-03-01,85.74190
1994-04-01,84.11735
1994-05-01,63.72223
1994-06-01,42.48092
1994-07-01,75.66051
1994-08-01,69.08258
1994-09-01,74.34458
1994-10-01,54.90928
1994-11-01,50.34255
1994-12-01,91.12769
1995-01-01,60.75123
1995-02-01,98.37036
1995-03-01,67.45633
1995-04-01,65.42479
1995-05-01,66.64406
1995-06-01,62.55723
1995-07-01,90.79362
1995-08-01,88.18043
1995-09-01,88.18043
1995-10-01,73.46278
1995-11-01,74.77022
1995-12-01,69.16229
1996-01-01,70.09836
1996-02-01,100.19332
1996-03-01,84.78888
1996-04-01,102.62337
1996-05-01,90.84619
1996-06-01,82.17399
1996-07-01,72.07902
1996-08-01,68.78921
1996-09-01,67.21892
1996-10-01,63.66797
1996-11-01,72.34017
1996-12-01,80.75293
1997-01-01,113.36413
1997-02-01,133.50735
1997-03-01,129.99399
1997-04-01,103.05830
1997-05-01,70.26702
1997-06-01,79.51885
1997-07-01,77.64506
1997-08-01,69.33013
1997-09-01,76.23972
1997-10-01,64.64566
1997-11-01,73.78038
1997-12-01,72.02370
1998-01-01,76.82528
1998-02-01,74.36593
1998-03-01,77.29373
1998-04-01,132.33623
1998-05-01,115.23792
1998-06-01,111.84168
1998-07-01,77.52795
1998-08-01,60.01975
1998-09-01,60.25397
1998-10-01,56.58838
1998-11-01,95.21182
1998-12-01,64.06010
1999-01-01,83.05562
1999-02-01,75.94694
1999-03-01,76.12261
1999-04-01,70.73547
1999-05-01,56.21362
1999-06-01,48.30858
1999-07-01,58.32163
1999-08-01,59.72697
1999-09-01,60.01975
1999-10-01,55.74517
1999-11-01,56.50640
1999-12-01,60.19542
2000-01-01,81.97819
2000-02-01,98.37383
