Date,Barley
1990-01-01,100.00000
1990-02-01,97.74514
1990-03-01,92.68997
1990-04-01,91.00211
1990-05-01,93.98878
1990-06-01,106.17081
1990-07-01,103.20884
1990-08-01,110.86112
1990-09-01,116.96110
1990-10-01,116.66586
1990-11-01,121.04747
1990-12-01,118.84987
1991-01-01,124.23753
1991-02-01,121.79171
1991-03-01,116.57427
1991-04-01,112.68093
1991-05-01,112.87476
1991-06-01,94.32581
1991-07-01,95.63736
1991-08-01,88.73854
1991-09-01,89.22495
1991-10-01,90.25964
1991-11-01,96.99671
1991-12-01,99.82210
1992-01-01,97.15536
1992-02-01,94.32578
1992-03-01,96.13104
1992-04-01,99.54928
1992-05-01,112.18800
1992-06-01,112.33798
1992-07-01,102.38671
1992-08-01,101.95041
1992-09-01,110.59074
1992-10-01,108.78578
1992-11-01,108.66607
1992-12-01,105.26309
1993-01-01,99.35623
1993-02-01,99.02231
1993-03-01,99.45962
1993-04-01,102.48426
1993-05-01,102.50341
1993-06-01,99.64634
1993-07-01,97.96047
1993-08-01,92.22481
1993-09-01,85.23305
1993-10-01,80.65311
1993-11-01,84.49851
1993-12-01,90.39449
1994-01-01,98.74321
1994-02-01,95.66657
1994-03-01,90.37383
1994-04-01,88.52182
1994-05-01,90.71790
1994-06-01,89.69597
1994-07-01,85.11385
1994-08-01,87.54726
1994-09-01,95.63486
1994-10-01,106.04376
1994-11-01,111.13057
1994-12-01,114.44695
1995-01-01,113.08138
1995-02-01,113.50249
1995-03-01,120.19542
1995-04-01,123.59107
1995-05-01,133.38115
1995-06-01,139.96271
1995-07-01,149.49185
1995-08-01,138.77385
1995-09-01,138.70972
1995-10-01,149.14080
1995-11-01,166.41844
1995-12-01,165.41799
1996-01-01,165.32388
1996-02-01,163.17810
1996-03-01,164.71221
1996-04-01,175.58476
1996-05-01,182.33462
1996-06-01,182.79561
1996-07-01,176.11872
1996-08-01,152.19005
1996-09-01,136.82875
1996-10-01,135.51382
1996-11-01,132.32305
1996-12-01,133.32987
1997-01-01,130.96329
1997-02-01,129.32247
1997-03-01,131.99910
1997-04-01,129.50987
1997-05-01,132.41729
1997-06-01,125.63879
1997-07-01,121.30021
1997-08-01,120.81157
1997-09-01,122.41555
1997-10-01,135.91308
1997-11-01,135.32753
1997-12-01,128.46841
