DATE,bitcoin_(dollar)
2019-03-01,4094.99
2019-04-01,5270.69
2019-05-01,8550.18
2019-06-01,10778.74
2019-07-01,10099.0
2019-08-01,9593.95
2019-09-01,8305.14
2019-10-01,9146.75
2019-11-01,7551.7
2019-12-01,7158.01
2020-01-01,9343.28
2020-02-01,8552.08
2020-03-01,6434.73
2020-04-01,8652.3
2020-05-01,9435.8
2020-06-01,9129.47
2020-07-01,11372.76
2020-08-01,11665.93
2020-09-01,10783.24
2020-10-01,13745.02
2020-11-01,19727.0
2020-12-01,29026.97
2021-01-01,33076.09
2021-02-01,45352.29
2021-03-01,58837.71
2021-04-01,57640.17
2021-05-01,37153.71
2021-06-01,34995.83
2021-07-01,41472.42
2021-08-01,47065.73
2021-09-01,43834.03
2021-10-01,61333.45
2021-11-01,56879.47
2021-12-01,46244.63
2022-01-01,38430.3
2022-02-01,43206.02
2022-03-01,45475.83
2022-04-01,37658.53
2022-05-01,31804.27
2022-06-01,19837.58
2022-07-01,23296.14
2022-08-01,20025.48
2022-09-01,19415.8
2022-10-01,20472.79
2022-11-01,17179.78
2022-12-01,16531.0
2023-01-01,23134.74
2023-02-01,23146.93
2023-03-01,28492.72
2023-04-01,29271.16
2023-05-01,27222.9
2023-06-01,30475.82
2023-07-01,29223.31
2023-08-01,25922.51
2023-09-01,26959.4
2023-10-01,34667.88
2023-11-01,37743.0
2023-12-01,42300.78
2024-01-01,42599.49
2024-02-01,61240.13
2024-03-01,.
