Date,Coffee
1990-01-01,100.00000
1990-02-01,110.78732
1990-03-01,123.90875
1990-04-01,123.60547
1990-05-01,121.35040
1990-06-01,116.39196
1990-07-01,114.04461
1990-08-01,124.51540
1990-09-01,125.17477
1990-10-01,120.54598
1990-11-01,111.88186
1990-12-01,118.54151
1991-01-01,113.83360
1991-02-01,118.11951
1991-03-01,123.59227
1991-04-01,121.68008
1991-05-01,115.50839
1991-06-01,112.75223
1991-07-01,109.20252
1991-08-01,107.63394
1991-09-01,115.32507
1991-10-01,105.31693
1991-11-01,103.54451
1991-12-01,99.03296
1992-01-01,96.30994
1992-02-01,91.38601
1992-03-01,92.17150
1992-04-01,87.72555
1992-05-01,80.17497
1992-06-01,78.39667
1992-07-01,76.94730
1992-08-01,70.35978
1992-09-01,68.14347
1992-10-01,67.03153
1992-11-01,69.25078
1992-12-01,99.08894
1993-01-01,94.71062
1993-02-01,88.93118
1993-03-01,85.29779
1993-04-01,77.03357
1993-05-01,81.31222
1993-06-01,83.33175
1993-07-01,92.94356
1993-08-01,100.47117
1993-09-01,106.97855
1993-10-01,101.07259
1993-11-01,104.49512
1993-12-01,108.86539
1994-01-01,104.94843
1994-02-01,109.71913
1994-03-01,114.74983
1994-04-01,119.92303
1994-05-01,154.51191
1994-06-01,175.86890
1994-07-01,265.60733
1994-08-01,262.61321
1994-09-01,288.38256
1994-10-01,273.39291
1994-11-01,248.07648
1994-12-01,213.98527
1995-01-01,225.62075
1995-02-01,220.85590
1995-03-01,236.33246
1995-04-01,228.45448
1995-05-01,228.46589
1995-06-01,209.15628
1995-07-01,185.01476
1995-08-01,199.11877
1995-09-01,180.84943
1995-10-01,167.59321
1995-11-01,165.18591
1995-12-01,140.27181
1996-01-01,142.37341
1996-02-01,164.55295
1996-03-01,159.31378
1996-04-01,160.73217
1996-05-01,170.90291
1996-06-01,164.88200
1996-07-01,163.12923
1996-08-01,165.51200
1996-09-01,158.00132
1996-10-01,163.22956
1996-11-01,163.41004
1996-12-01,154.15226
1997-01-01,173.06335
1997-02-01,219.34001
1997-03-01,255.05490
1997-04-01,270.92305
1997-05-01,350.26501
1997-06-01,299.03863
1997-07-01,250.76921
1997-08-01,252.00987
1997-09-01,251.70062
1997-10-01,223.06364
1997-11-01,211.40911
1997-12-01,233.12620
1998-01-01,233.30300
1998-02-01,235.22884
1998-03-01,208.87515
1998-04-01,198.14721
1998-05-01,183.22253
1998-06-01,167.03574
1998-07-01,154.21512
1998-08-01,163.05837
1998-09-01,148.94384
1998-10-01,144.25332
1998-11-01,153.13454
1998-12-01,154.36649
1999-01-01,150.63648
1999-02-01,138.15379
1999-03-01,138.64195
1999-04-01,135.60419
1999-05-01,146.84793
1999-06-01,142.57852
1999-07-01,126.32446
1999-08-01,120.66407
1999-09-01,111.46526
1999-10-01,122.32502
1999-11-01,148.29346
1999-12-01,162.42284
2000-01-01,147.50290
2000-02-01,137.20354
2000-03-01,132.73457
2000-04-01,124.81870
2000-05-01,120.67269
2000-06-01,114.59067
2000-07-01,115.59568
2000-08-01,104.58120
2000-09-01,100.00693
2000-10-01,101.23244
2000-11-01,94.14541
2000-12-01,86.90933
2001-01-01,86.57869
2001-02-01,88.71886
2001-03-01,87.91497
2001-04-01,87.03367
2001-05-01,91.82555
2001-06-01,84.19649
2001-07-01,77.72831
2001-08-01,78.24254
2001-09-01,76.83900
2001-10-01,74.33448
2001-11-01,77.60482
2001-12-01,74.62119
2002-01-01,76.80740
2002-02-01,77.95861
2002-03-01,84.49227
2002-04-01,86.16224
2002-05-01,81.05030
2002-06-01,77.21945
2002-07-01,74.47897
2002-08-01,71.69208
2002-09-01,80.00290
2002-10-01,86.68190
2002-11-01,92.13782
2002-12-01,83.94556
2003-01-01,86.22378
2003-02-01,87.57551
2003-03-01,81.42965
2003-04-01,85.31226
2003-05-01,87.16449
2003-06-01,80.50465
2003-07-01,83.01637
2003-08-01,84.25615
2003-09-01,87.57809
2003-10-01,84.77316
2003-11-01,82.12780
2003-12-01,85.56555
2004-01-01,94.98701
2004-02-01,100.52158
2004-03-01,102.93966
2004-04-01,99.61459
2004-05-01,102.12319
2004-06-01,108.41957
2004-07-01,98.86290
2004-08-01,97.07002
2004-09-01,106.11357
2004-10-01,106.22572
2004-11-01,119.03962
2004-12-01,137.66092
2005-01-01,141.32178
2005-02-01,159.34659
2005-03-01,177.73685
2005-04-01,170.81570
2005-05-01,169.32316
2005-06-01,159.77309
2005-07-01,144.96715
2005-08-01,142.69278
2005-09-01,131.20259
2005-10-01,138.59827
2005-11-01,142.08399
2005-12-01,139.68688
2006-01-01,163.78565
2006-02-01,157.09023
2006-03-01,149.88851
2006-04-01,152.10012
2006-05-01,144.57284
2006-06-01,136.02738
2006-07-01,138.46451
2006-08-01,147.34277
2006-09-01,144.83277
2006-10-01,145.89635
2006-11-01,161.23629
2006-12-01,169.26838
2007-01-01,164.43936
2007-02-01,160.92842
2007-03-01,154.40282
2007-04-01,151.25252
2007-05-01,149.44874
2007-06-01,157.36267
2007-07-01,155.12753
2007-08-01,162.40392
2007-09-01,168.85602
2007-10-01,177.09468
2007-11-01,172.81482
2007-12-01,182.04257
2008-01-01,184.38960
2008-02-01,207.42391
2008-03-01,196.78294
2008-04-01,185.55264
2008-05-01,187.31856
2008-06-01,192.73315
2008-07-01,194.32544
2008-08-01,193.10052
2008-09-01,188.93461
2008-10-01,162.97900
2008-11-01,160.73588
2008-12-01,156.65593
2009-01-01,168.54450
2009-02-01,170.75237
2009-03-01,169.48440
2009-04-01,178.13294
2009-05-01,198.46025
2009-06-01,197.52260
2009-07-01,185.80753
2009-08-01,197.49694
2009-09-01,195.84601
2009-10-01,203.84056
2009-11-01,200.72597
2009-12-01,208.28688
2010-01-01,209.22556
2010-02-01,208.17160
2010-03-01,216.93609
2010-04-01,223.38069
2010-05-01,228.62861
2010-06-01,251.75157
2010-07-01,267.98585
2010-08-01,279.03209
2010-09-01,293.70067
2010-10-01,286.74547
2010-11-01,307.94246
2010-12-01,328.95155
2011-01-01,347.83827
2011-02-01,380.30931
2011-03-01,385.16081
2011-04-01,396.25108
2011-05-01,383.84012
2011-06-01,362.62819
2011-07-01,353.45045
2011-08-01,356.64049
2011-09-01,362.49572
2011-10-01,326.81505
2011-11-01,323.20627
2011-12-01,311.61515
2012-01-01,312.81401
2012-02-01,295.60551
2012-03-01,265.40412
2012-04-01,252.47080
2012-05-01,243.12912
2012-06-01,222.45377
2012-07-01,251.14855
2012-08-01,230.54778
2012-09-01,236.02404
2012-10-01,228.56049
2012-11-01,210.87484
2012-12-01,201.38157
2013-01-01,207.09141
2013-02-01,197.09749
2013-03-01,197.55786
2013-04-01,197.52980
2013-05-01,194.10011
2013-06-01,182.32827
2013-07-01,182.49692
2013-08-01,178.23304
2013-09-01,174.44475
2013-10-01,169.72006
