DATE,PALUMUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,95.15707
1990-03-01,102.55236
1990-04-01,99.86911
1990-05-01,99.93455
1990-06-01,102.48691
1990-07-01,102.81414
1990-08-01,116.62304
1990-09-01,135.27487
1990-10-01,127.35602
1990-11-01,105.89005
1990-12-01,99.60733
1991-01-01,99.14921
1991-02-01,98.49476
1991-03-01,97.90576
1991-04-01,91.09948
1991-05-01,85.07526
1991-06-01,84.00197
1991-07-01,84.91797
1991-08-01,82.44066
1991-09-01,79.32560
1991-10-01,75.45514
1991-11-01,74.27520
1991-12-01,71.95853
1992-01-01,77.30545
1992-02-01,83.16427
1992-03-01,83.90201
1992-04-01,86.19928
1992-05-01,85.51772
1992-06-01,83.46026
1992-07-01,86.01753
1992-08-01,85.44176
1992-09-01,83.12921
1992-10-01,77.28017
1992-11-01,76.06115
1992-12-01,79.12459
1993-01-01,79.06413
1993-02-01,78.74018
1993-03-01,75.29308
1993-04-01,72.66198
1993-05-01,73.65321
1993-06-01,76.44574
1993-07-01,78.74226
1993-08-01,76.75144
1993-09-01,73.09614
1993-10-01,71.29768
1993-11-01,68.06431
1993-12-01,71.42343
1994-01-01,76.57068
1994-02-01,83.14954
1994-03-01,84.27328
1994-04-01,83.59224
1994-05-01,86.45600
1994-06-01,91.77773
1994-07-01,97.64086
1994-08-01,95.35787
1994-09-01,102.82009
1994-10-01,110.88102
1994-11-01,123.42188
1994-12-01,122.93030
1995-01-01,134.77468
1995-02-01,124.70222
1995-03-01,117.79963
1995-04-01,121.03694
1995-05-01,115.54164
1995-06-01,116.21698
1995-07-01,122.20386
1995-08-01,123.69407
1995-09-01,115.29614
1995-10-01,109.42111
1995-11-01,108.37229
1995-12-01,108.49580
1996-01-01,103.69609
1996-02-01,104.35677
1996-03-01,105.68437
1996-04-01,103.88744
1996-05-01,104.31002
1996-06-01,97.23495
1996-07-01,95.55116
1996-08-01,95.99383
1996-09-01,92.00013
1996-10-01,87.43598
1996-11-01,94.96385
1996-12-01,98.23143
1997-01-01,103.08484
1997-02-01,103.53750
1997-03-01,106.75289
1997-04-01,102.16712
1997-05-01,106.37761
1997-06-01,102.56482
1997-07-01,104.16145
1997-08-01,111.91263
1997-09-01,105.47245
1997-10-01,105.19150
1997-11-01,104.60242
1997-12-01,100.16517
1998-01-01,97.21695
1998-02-01,95.88842
1998-03-01,94.13077
1998-04-01,92.77160
1998-05-01,89.28768
1998-06-01,85.44004
1998-07-01,85.90750
1998-08-01,85.76898
1998-09-01,87.81979
