DATE,PBEEFUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,88.24321
1990-03-01,89.20118
1990-04-01,88.77365
1990-05-01,89.05866
1990-06-01,89.92161
1990-07-01,91.89297
1990-08-01,95.31313
1990-09-01,96.84901
1990-10-01,92.83510
1990-11-01,91.00627
1990-12-01,91.48919
1991-01-01,93.12011
1991-02-01,98.13949
1991-03-01,93.07260
1991-04-01,93.76930
1991-05-01,94.30132
1991-06-01,97.09446
1991-07-01,96.48484
1991-08-01,94.85393
1991-09-01,98.56702
1991-10-01,97.69614
1991-11-01,97.24752
1991-12-01,93.63207
1992-01-01,92.34336
1992-02-01,90.63834
1992-03-01,87.96811
1992-04-01,85.63934
1992-05-01,85.31699
1992-06-01,83.84133
1992-07-01,84.26140
1992-08-01,87.81653
1992-09-01,87.63544
1992-10-01,89.76831
1992-11-01,91.23335
1992-12-01,91.27345
1993-01-01,84.55597
1993-02-01,85.76006
1993-03-01,90.72197
1993-04-01,93.08447
1993-05-01,96.10857
1993-06-01,98.55713
1993-07-01,101.29086
1993-08-01,100.67822
1993-09-01,98.18059
1993-10-01,95.84554
1993-11-01,94.87935
1993-12-01,88.40212
1994-01-01,86.96232
1994-02-01,89.55040
1994-03-01,96.61250
1994-04-01,94.36370
1994-05-01,85.85579
1994-06-01,80.16935
1994-07-01,78.68538
1994-08-01,78.99936
1994-09-01,79.29320
1994-10-01,76.30508
1994-11-01,78.59631
1994-12-01,79.92241
1995-01-01,77.39886
1995-02-01,77.96191
1995-03-01,74.23798
1995-04-01,70.02404
1995-05-01,64.93764
1995-06-01,63.25527
1995-07-01,60.65435
1995-08-01,62.17450
1995-09-01,64.52379
1995-10-01,66.96188
1995-11-01,70.45257
1995-12-01,69.22192
1996-01-01,68.29380
1996-02-01,65.75302
1996-03-01,62.79744
1996-04-01,64.52379
1996-05-01,64.37535
1996-06-01,60.96113
1996-07-01,61.50092
1996-08-01,63.51617
1996-09-01,62.28723
1996-10-01,64.46355
1996-11-01,65.05470
1996-12-01,65.72124
1997-01-01,64.50580
1997-02-01,67.55518
1997-03-01,73.91537
1997-04-01,72.03598
1997-05-01,68.48231
1997-06-01,63.42106
1997-07-01,64.70372
1997-08-01,65.56997
1997-09-01,63.70853
1997-10-01,63.11250
1997-11-01,65.89828
1997-12-01,66.72796
1998-01-01,65.60767
1998-02-01,64.98892
1998-03-01,64.66774
1998-04-01,64.71182
1998-05-01,63.65292
1998-06-01,61.33899
1998-07-01,60.11994
1998-08-01,60.26368
1998-09-01,59.41543
1998-10-01,58.79337
1998-11-01,59.83179
1998-12-01,60.44432
1999-01-01,61.43615
1999-02-01,64.78110
1999-03-01,64.52379
1999-04-01,62.63250
1999-05-01,63.21748
1999-06-01,63.28460
1999-07-01,64.59931
1999-08-01,69.93076
1999-09-01,68.46431
1999-10-01,67.01200
1999-11-01,69.61543
1999-12-01,70.36260
2000-01-01,69.82820
2000-02-01,70.50115
2000-03-01,71.61745
2000-04-01,71.29285
2000-05-01,71.96580
2000-06-01,69.71484
2000-07-01,68.82161
2000-08-01,68.39625
2000-09-01,65.46743
2000-10-01,65.61238
2000-11-01,71.02835
2000-12-01,69.78862
2001-01-01,69.51692
2001-02-01,69.32349
2001-03-01,72.09103
2001-04-01,71.34233
2001-05-01,72.43182
2001-06-01,74.77823
2001-07-01,77.94676
2001-08-01,80.59880
2001-09-01,84.91014
2001-10-01,81.85520
2001-11-01,82.55483
2001-12-01,79.83005
2002-01-01,79.99799
2002-02-01,81.50582
2002-03-01,86.31542
2002-04-01,82.13019
2002-05-01,76.37352
2002-06-01,74.33674
2002-07-01,76.71979
2002-08-01,75.78757
2002-09-01,73.28201
2002-10-01,68.85203
2002-11-01,64.57327
2002-12-01,66.50305
2003-01-01,67.57185
2003-02-01,66.30512
2003-03-01,66.40409
2003-04-01,65.41446
2003-05-01,62.78205
2003-06-01,61.95076
2003-07-01,64.12794
2003-08-01,72.14393
2003-09-01,76.79519
2003-10-01,77.90357
2003-11-01,87.68110
2003-12-01,83.44549
2004-01-01,84.75972
2004-02-01,78.77445
2004-03-01,76.99311
2004-04-01,80.83287
2004-05-01,90.74895
2004-06-01,92.43132
2004-07-01,95.24187
2004-08-01,100.34835
2004-09-01,101.23902
2004-10-01,94.60850
2004-11-01,93.71784
2004-12-01,92.47091
2005-01-01,91.24377
2005-02-01,92.92614
2005-03-01,95.00436
2005-04-01,93.57929
2005-05-01,96.15233
2005-06-01,95.26166
2005-07-01,97.06278
2005-08-01,95.00436
2005-09-01,95.24187
2005-10-01,92.23340
2005-11-01,92.82717
2005-12-01,91.44169
2006-01-01,89.95725
2006-02-01,90.84792
2006-03-01,88.59156
2006-04-01,89.12596
2006-05-01,89.06658
2006-06-01,88.43322
2006-07-01,91.14480
2006-08-01,93.12406
2006-09-01,93.02510
2006-10-01,93.32199
2006-11-01,95.99398
2006-12-01,95.95440
2007-01-01,94.41058
2007-02-01,93.71784
2007-03-01,93.73763
2007-04-01,93.12406
2007-05-01,92.33236
2007-06-01,94.21265
2007-07-01,93.02510
2007-08-01,93.73763
2007-09-01,93.61888
2007-10-01,91.73858
2007-11-01,93.15177
2007-12-01,94.60850
