DATE,POILBREUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,93.87002
1990-03-01,87.97844
1990-04-01,80.64265
1990-05-01,79.43035
1990-06-01,74.09731
1990-07-01,83.21407
1990-08-01,128.38944
1990-09-01,165.12118
1990-10-01,172.78094
1990-11-01,157.05099
1990-12-01,132.78982
1991-01-01,114.27240
1991-02-01,91.91662
1991-03-01,93.20017
1991-04-01,92.13643
1991-05-01,91.55878
1991-06-01,86.58053
1991-07-01,92.66701
1991-08-01,94.21543
1991-09-01,97.86244
1991-10-01,105.81460
1991-11-01,100.56225
1991-12-01,86.97142
1992-01-01,86.50440
1992-02-01,86.28276
1992-03-01,84.13446
1992-04-01,90.59884
1992-05-01,95.19667
1992-06-01,100.95052
1992-07-01,96.84102
1992-08-01,94.30051
1992-09-01,96.66259
1992-10-01,96.77087
1992-11-01,91.45777
1992-12-01,87.05748
1993-01-01,83.41052
1993-02-01,87.88120
1993-03-01,89.77317
1993-04-01,89.48788
1993-05-01,88.51293
1993-06-01,84.01535
1993-07-01,80.08258
1993-08-01,80.21684
1993-09-01,76.89478
1993-10-01,79.29047
1993-11-01,72.60901
1993-12-01,64.60280
1994-01-01,68.00572
1994-02-01,65.60300
1994-03-01,65.60539
1994-04-01,71.91251
1994-05-01,78.23530
1994-06-01,81.49673
1994-07-01,86.35309
1994-08-01,80.57794
1994-09-01,76.41401
1994-10-01,78.85487
1994-11-01,82.96719
1994-12-01,76.42700
1995-01-01,79.34626
1995-02-01,82.28545
1995-03-01,82.12118
1995-04-01,89.68452
1995-05-01,88.98809
1995-06-01,82.67699
1995-07-01,76.61562
1995-08-01,77.44588
1995-09-01,79.52642
1995-10-01,77.15249
1995-11-01,80.56768
1995-12-01,86.88397
1996-01-01,86.40290
1996-02-01,85.02587
1996-03-01,94.37992
1996-04-01,101.00683
1996-05-01,92.04350
1996-06-01,88.51010
1996-07-01,93.92853
1996-08-01,98.17419
1996-09-01,109.96848
1996-10-01,115.64785
1996-11-01,110.06831
1996-12-01,114.51815
1997-01-01,112.46608
1997-02-01,99.67302
1997-03-01,93.18882
1997-04-01,84.68886
1997-05-01,91.69248
1997-06-01,84.82395
1997-07-01,88.41015
1997-08-01,89.64504
1997-09-01,88.53067
1997-10-01,95.91921
1997-11-01,91.99524
1997-12-01,82.98498
1998-01-01,73.89756
1998-02-01,68.44495
1998-03-01,64.12843
1998-04-01,65.79163
1998-05-01,69.12421
1998-06-01,62.22052
1998-07-01,59.66649
1998-08-01,57.90072
1998-09-01,64.92105
1998-10-01,61.44306
1998-11-01,54.51348
