DATE,PCOCOUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,102.71357
1990-03-01,113.66834
1990-04-01,134.27136
1990-05-01,145.02513
1990-06-01,133.66834
1990-07-01,135.27638
1990-08-01,129.04523
1990-09-01,137.78894
1990-10-01,131.55779
1990-11-01,135.87940
1990-12-01,130.35176
1991-01-01,124.82412
1991-02-01,122.11055
1991-03-01,121.70854
1991-04-01,114.97487
1991-05-01,106.87436
1991-06-01,104.67135
1991-07-01,100.18645
1991-08-01,114.20616
1991-09-01,127.97184
1991-10-01,131.09547
1991-11-01,132.35528
1991-12-01,137.34765
1992-01-01,128.80082
1992-02-01,119.70338
1992-03-01,113.36318
1992-04-01,105.07339
1992-05-01,100.03128
1992-06-01,96.74694
1992-07-01,111.07922
1992-08-01,118.80482
1992-09-01,112.45505
1992-10-01,107.68596
1992-11-01,108.17935
1992-12-01,104.01026
1993-01-01,104.07736
1993-02-01,99.59712
1993-03-01,98.22301
1993-04-01,101.58270
1993-05-01,100.30821
1993-06-01,94.64175
1993-07-01,106.39635
1993-08-01,109.26358
1993-09-01,126.96494
1993-10-01,129.69568
1993-11-01,132.84185
1993-12-01,136.63388
1994-01-01,126.99761
1994-02-01,123.27578
1994-03-01,131.37576
1994-04-01,125.02531
1994-05-01,138.56215
1994-06-01,146.62799
1994-07-01,156.36876
1994-08-01,155.89660
1994-09-01,149.37322
1994-10-01,145.49826
1994-11-01,143.78051
1994-12-01,140.45296
1995-01-01,147.49331
1995-02-01,151.82234
1995-03-01,149.23939
1995-04-01,147.13222
1995-05-01,145.56874
1995-06-01,144.43915
1995-07-01,136.76007
1995-08-01,141.75825
1995-09-01,140.20857
1995-10-01,140.16484
1995-11-01,144.31188
1995-12-01,138.79014
1996-01-01,135.58921
1996-02-01,137.74405
1996-03-01,134.53270
1996-04-01,146.46544
1996-05-01,153.21019
1996-06-01,154.52886
1996-07-01,149.78664
1996-08-01,150.92652
1996-09-01,148.33697
1996-10-01,148.50051
1996-11-01,147.28995
1996-12-01,148.16406
1997-01-01,143.59705
1997-02-01,138.01850
1997-03-01,152.95231
1997-04-01,157.85074
1997-05-01,157.61790
1997-06-01,170.21345
1997-07-01,168.58607
1997-08-01,165.74820
1997-09-01,177.44565
1997-10-01,174.98480
1997-11-01,170.48984
1997-12-01,174.74867
1998-01-01,167.90672
1998-02-01,165.14834
1998-03-01,172.97125
1998-04-01,172.88034
1998-05-01,179.03606
1998-06-01,173.20121
1998-07-01,172.08480
1998-08-01,169.09571
1998-09-01,169.43337
1998-10-01,165.57977
1998-11-01,160.79510
1998-12-01,153.17802
1999-01-01,146.31032
1999-02-01,141.82286
1999-03-01,132.04974
1999-04-01,118.38071
1999-05-01,106.45591
1999-06-01,116.87512
1999-07-01,111.88333
1999-08-01,100.86158
1999-09-01,106.58910
1999-10-01,102.66706
1999-11-01,92.67102
1999-12-01,92.33705
2000-01-01,92.30972
2000-02-01,86.50653
2000-03-01,93.05787
2000-04-01,91.65350
2000-05-01,91.39924
2000-06-01,95.29928
2000-07-01,97.19714
2000-08-01,88.22037
2000-09-01,88.71650
2000-10-01,88.21336
2000-11-01,87.83791
2000-12-01,89.72690
2001-01-01,97.12512
2001-02-01,116.32830
2001-03-01,113.00558
2001-04-01,108.91084
2001-05-01,108.28504
2001-06-01,97.81820
2001-07-01,97.01736
2001-08-01,103.76722
2001-09-01,103.13601
2001-10-01,109.03139
2001-11-01,123.77395
2001-12-01,134.41502
2002-01-01,139.28975
2002-02-01,149.78766
2002-03-01,160.00294
2002-04-01,157.60265
2002-05-01,161.27596
2002-06-01,166.47806
2002-07-01,188.14056
2002-08-01,196.91183
2002-09-01,217.83038
2002-10-01,221.25579
2002-11-01,183.42286
2002-12-01,203.57900
2003-01-01,220.11438
2003-02-01,224.15600
2003-03-01,200.31287
2003-04-01,194.19041
2003-05-01,174.12236
2003-06-01,158.70437
2003-07-01,157.05627
2003-08-01,157.34148
2003-09-01,163.35563
2003-10-01,148.91269
2003-11-01,151.75973
2003-12-01,163.54586
2004-01-01,163.45707
2004-02-01,157.39558
2004-03-01,151.19883
2004-04-01,144.28825
2004-05-01,142.00615
2004-06-01,141.49603
2004-07-01,157.57431
2004-08-01,173.60137
2004-09-01,154.88811
2004-10-01,149.12583
2004-11-01,167.40789
2004-12-01,168.11546
2005-01-01,155.80055
2005-02-01,164.22086
2005-03-01,177.33194
2005-04-01,159.39200
2005-05-01,151.70499
2005-06-01,154.63618
2005-07-01,149.57949
2005-08-01,148.96792
2005-09-01,151.17146
2005-10-01,146.11360
2005-11-01,143.59570
2005-12-01,152.52366
2006-01-01,158.41506
2006-02-01,155.31669
2006-03-01,155.28154
2006-04-01,156.01417
2006-05-01,160.23078
2006-06-01,161.38496
2006-07-01,168.16146
2006-08-01,162.10478
2006-09-01,157.42071
2006-10-01,153.78603
2006-11-01,159.04943
2006-12-01,171.07098
2007-01-01,171.04805
2007-02-01,182.02533
2007-03-01,193.38719
2007-04-01,198.53594
2007-05-01,201.47006
2007-06-01,202.26323
2007-07-01,216.24782
2007-08-01,191.16501
2007-09-01,197.50142
2007-10-01,192.63015
2007-11-01,197.73024
2007-12-01,213.04989
2008-01-01,222.46625
2008-02-01,253.57293
2008-03-01,266.31545
2008-04-01,264.15368
2008-05-01,270.31360
2008-06-01,303.69414
2008-07-01,296.85141
2008-08-01,282.65778
2008-09-01,268.54799
2008-10-01,227.00269
2008-11-01,207.84356
2008-12-01,244.51317
2009-01-01,263.74805
2009-02-01,267.38354
2009-03-01,251.43226
2009-04-01,256.80064
2009-05-01,249.59591
2009-06-01,271.39359
2009-07-01,280.53781
