DATE,PGNUTSUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,95.30283
1990-03-01,92.08191
1990-04-01,88.09279
1990-05-01,88.90843
1990-06-01,88.78117
1990-07-01,90.03066
1990-08-01,111.41783
1990-09-01,144.90658
1990-10-01,205.98484
1990-11-01,201.67525
1990-12-01,172.16405
1991-01-01,152.66617
1991-02-01,193.06415
1991-03-01,196.67959
1991-04-01,178.53647
1991-05-01,113.68196
1991-06-01,115.69387
1991-07-01,108.52548
1991-08-01,95.57934
1991-09-01,86.77041
1991-10-01,85.66322
1991-11-01,82.69335
1991-12-01,75.20102
1992-01-01,76.58472
1992-02-01,78.09336
1992-03-01,76.38457
1992-04-01,74.67461
1992-05-01,72.88714
1992-06-01,73.20298
1992-07-01,76.35796
1992-08-01,76.35796
1992-09-01,74.04408
1992-10-01,74.04408
1992-11-01,74.04408
1992-12-01,74.79840
1993-01-01,77.51490
1993-02-01,80.23370
1993-03-01,89.38624
1993-04-01,90.24122
1993-05-01,93.98739
1993-06-01,107.80587
1993-07-01,107.59530
1993-08-01,109.38277
1993-09-01,132.57477
1993-10-01,133.04796
1993-11-01,133.04796
1993-12-01,133.04796
1994-01-01,133.04796
1994-02-01,133.04796
1994-03-01,110.86481
1994-04-01,108.75224
1994-05-01,104.70296
1994-06-01,100.65367
1994-07-01,100.65367
1994-08-01,100.65367
1994-09-01,100.65367
1994-10-01,100.65367
1994-11-01,95.92063
1994-12-01,89.08428
1995-01-01,89.08428
1995-02-01,89.08428
1995-03-01,89.63730
1995-04-01,90.21230
1995-05-01,89.99017
1995-06-01,94.02788
1995-07-01,94.64916
1995-08-01,91.54856
1995-09-01,92.55510
1995-10-01,103.91392
1995-11-01,106.96477
1995-12-01,102.14149
1996-01-01,98.59085
1996-02-01,96.63215
1996-03-01,95.91601
1996-04-01,93.86938
1996-05-01,94.16440
1996-06-01,92.55510
1996-07-01,92.95771
1996-08-01,91.76607
1996-09-01,92.22421
1996-10-01,93.36033
1996-11-01,91.94886
1996-12-01,90.71441
1997-01-01,87.52473
1997-02-01,86.85718
1997-03-01,92.61063
1997-04-01,102.17852
1997-05-01,110.53971
1997-06-01,107.70521
1997-07-01,105.23168
1997-08-01,104.89616
1997-09-01,105.80783
1997-10-01,109.20460
1997-11-01,103.54602
1997-12-01,97.58547
1998-01-01,93.39619
1998-02-01,89.08428
1998-03-01,86.08665
1998-04-01,85.61347
1998-05-01,85.55793
1998-06-01,92.92301
1998-07-01,103.26951
1998-08-01,109.46839
1998-09-01,97.34020
1998-10-01,87.03303
1998-11-01,87.32111
1998-12-01,86.77041
1999-01-01,84.95285
1999-02-01,81.44849
1999-03-01,82.44461
1999-04-01,82.98375
1999-05-01,87.59646
1999-06-01,93.02829
1999-07-01,92.39776
1999-08-01,86.71834
1999-09-01,88.71638
1999-10-01,88.97437
1999-11-01,94.76370
1999-12-01,94.76832
2000-01-01,90.35113
2000-02-01,95.30977
2000-03-01,91.95118
2000-04-01,93.48065
2000-05-01,93.15902
2000-06-01,90.87175
2000-07-01,88.53358
2000-08-01,88.37971
2000-09-01,89.35963
2000-10-01,86.13987
2000-11-01,90.45178
2000-12-01,92.55510
2001-01-01,93.56164
2001-02-01,92.55510
2001-03-01,91.24082
2001-04-01,86.60496
2001-05-01,85.61347
2001-06-01,85.17267
2001-07-01,88.03263
2001-08-01,89.23469
2001-09-01,86.77041
2001-10-01,82.79632
2001-11-01,83.19431
2001-12-01,80.98571
2002-01-01,80.98571
2002-02-01,80.98571
2002-03-01,78.28657
2002-04-01,71.51964
2002-05-01,67.80702
2002-06-01,69.53202
2002-07-01,70.06999
2002-08-01,72.83508
2002-09-01,75.20102
2002-10-01,75.20102
2002-11-01,80.26957
2002-12-01,86.55984
2003-01-01,89.68821
2003-02-01,90.24122
2003-03-01,90.24122
2003-04-01,90.24122
2003-05-01,95.92063
2003-06-01,100.65367
2003-07-01,104.87881
2003-08-01,105.28143
2003-09-01,105.28143
2003-10-01,105.28143
2003-11-01,105.28143
2003-12-01,105.28143
2004-01-01,105.28143
2004-02-01,105.28143
2004-03-01,105.28143
2004-04-01,105.28143
2004-05-01,105.28143
2004-06-01,105.28143
2004-07-01,105.28143
2004-08-01,105.28143
2004-09-01,105.28143
2004-10-01,105.28143
2004-11-01,105.28143
2004-12-01,105.28143
2005-01-01,105.28143
2005-02-01,105.28143
2005-03-01,105.28143
2005-04-01,92.61019
2005-05-01,87.71699
2005-06-01,84.14100
2005-07-01,82.52830
2005-08-01,80.98571
2005-09-01,80.98571
2005-10-01,80.98571
2005-11-01,80.98571
2005-12-01,80.98571
2006-01-01,82.19524
2006-02-01,83.29959
2006-03-01,83.29959
2006-04-01,83.29959
2006-05-01,87.32372
2006-06-01,92.87063
2006-07-01,97.78887
2006-08-01,103.42026
2006-09-01,107.76058
2006-10-01,108.75224
2006-11-01,109.64624
2006-12-01,111.06612
2007-01-01,115.34176
2007-02-01,115.69387
2007-03-01,115.69387
2007-04-01,115.69387
2007-05-01,117.20292
2007-06-01,126.71234
2007-07-01,134.09972
2007-08-01,138.83265
2007-09-01,138.83265
2007-10-01,148.38997
2007-11-01,175.11845
2007-12-01,193.09858
2008-01-01,196.67959
2008-02-01,196.67959
2008-03-01,196.67959
2008-04-01,192.73548
2008-05-01,190.89489
2008-06-01,190.89489
2008-07-01,187.37377
2008-08-01,185.00001
2008-09-01,181.95491
2008-10-01,170.06999
2008-11-01,146.69983
2008-12-01,140.84472
2009-01-01,133.52125
2009-02-01,113.84277
2009-03-01,104.12449
2009-04-01,104.12449
2009-05-01,106.05272
2009-06-01,110.80318
2009-07-01,111.77034
2009-08-01,113.38000
2009-09-01,114.64211
2009-10-01,115.79905
2009-11-01,120.59709
2009-12-01,132.19283
2010-01-01,140.48542
2010-02-01,140.91514
2010-03-01,138.83265
2010-04-01,139.14818
2010-05-01,142.30347
2010-06-01,137.57053
2010-07-01,136.51877
2010-08-01,140.09476
2010-09-01,147.19416
2010-10-01,149.96130
2010-11-01,150.40204
2010-12-01,157.24307
2011-01-01,181.47411
2011-02-01,185.11020
2011-03-01,185.11020
2011-04-01,185.11020
2011-05-01,191.94665
2011-06-01,205.51439
2011-07-01,194.75156
2011-08-01,210.54919
2011-09-01,212.61401
2011-10-01,211.63743
2011-11-01,215.26727
2011-12-01,214.44175
2012-01-01,215.02154
2012-02-01,218.14245
2012-03-01,209.14490
2012-04-01,198.73729
2012-05-01,187.36479
2012-06-01,178.89923
2012-07-01,178.33648
2012-08-01,175.33798
2012-09-01,183.78675
2012-10-01,189.43857
2012-11-01,193.89028
2012-12-01,215.64145
2013-01-01,229.69963
2013-02-01,222.53694
2013-03-01,273.80107
2013-04-01,281.48880
2013-05-01,292.69449
2013-06-01,300.82597
2013-07-01,259.54643
2013-08-01,289.94173
2013-09-01,265.15443
2013-10-01,270.53098
2013-11-01,276.75926
2013-12-01,255.38856
2014-01-01,281.27250
2014-02-01,268.85413
2014-03-01,275.00256
2014-04-01,261.02885
2014-05-01,256.55727
2014-06-01,255.99832
2014-07-01,248.22165
2014-08-01,229.86083
2014-09-01,232.31924
2014-10-01,212.15733
2014-11-01,230.39849
2014-12-01,230.82134
2015-01-01,225.76430
2015-02-01,234.64650
2015-03-01,239.58557
2015-04-01,233.38632
2015-05-01,236.56821
2015-06-01,232.31924
2015-07-01,238.74383
2015-08-01,236.30205
2015-09-01,223.57932
2015-10-01,210.77432
2015-11-01,198.61296
2015-12-01,191.69496
2016-01-01,208.30140
2016-02-01,214.26351
2016-03-01,209.58131
2016-04-01,215.80728
2016-05-01,211.73978
2016-06-01,216.41462
