DATE,PMETAINDEXM_NBD19920101
1992-01-01,100.00000
1992-02-01,102.91965
1992-03-01,102.70817
1992-04-01,103.57828
1992-05-01,103.52916
1992-06-01,103.78460
1992-07-01,108.24808
1992-08-01,107.50484
1992-09-01,104.64695
1992-10-01,97.92804
1992-11-01,93.53650
1992-12-01,95.39394
1993-01-01,94.59911
1993-02-01,94.12329
1993-03-01,91.68470
1993-04-01,88.40185
1993-05-01,85.79697
1993-06-01,86.38564
1993-07-01,86.48598
1993-08-01,85.13307
1993-09-01,81.75363
1993-10-01,78.94713
1993-11-01,78.26898
1993-12-01,82.35572
1994-01-01,85.51995
1994-02-01,88.80910
1994-03-01,89.00204
1994-04-01,87.78043
1994-05-01,94.14321
1994-06-01,99.42078
1994-07-01,102.17419
1994-08-01,99.80154
1994-09-01,105.34077
1994-10-01,109.83491
1994-11-01,119.61592
1994-12-01,124.58376
1995-01-01,132.60682
1995-02-01,123.76934
1995-03-01,120.04806
1995-04-01,120.69747
1995-05-01,117.00327
1995-06-01,121.57983
1995-07-01,126.59567
1995-08-01,127.46201
1995-09-01,121.53805
1995-10-01,117.73768
1995-11-01,121.50280
1995-12-01,119.59541
1996-01-01,114.31116
1996-02-01,115.76719
1996-03-01,116.22572
1996-04-01,116.03302
1996-05-01,117.16942
1996-06-01,107.38951
1996-07-01,102.69971
1996-08-01,102.89119
1996-09-01,101.21877
1996-10-01,99.07936
1996-11-01,104.44349
1996-12-01,104.76499
1997-01-01,109.96053
1997-02-01,111.76531
1997-03-01,113.69187
1997-04-01,110.04348
1997-05-01,113.55144
1997-06-01,112.46995
1997-07-01,110.94274
1997-08-01,111.06654
1997-09-01,106.60455
1997-10-01,103.66638
1997-11-01,100.93577
1997-12-01,96.45072
1998-01-01,93.59129
1998-02-01,92.03871
1998-03-01,92.74599
1998-04-01,93.38404
1998-05-01,90.18732
1998-06-01,86.24554
1998-07-01,86.11979
1998-08-01,84.71136
1998-09-01,85.38230
1998-10-01,82.45553
1998-11-01,82.59457
1998-12-01,79.39044
1999-01-01,77.52701
1999-02-01,78.63478
1999-03-01,79.44813
1999-04-01,82.57914
1999-05-01,85.17144
1999-06-01,83.10815
1999-07-01,89.25648
1999-08-01,91.88003
1999-09-01,96.45457
1999-10-01,96.03689
1999-11-01,97.60102
1999-12-01,100.21157
2000-01-01,104.84658
2000-02-01,107.08678
2000-03-01,106.08527
2000-04-01,101.68267
2000-05-01,104.14965
2000-06-01,99.59555
2000-07-01,100.83757
2000-08-01,100.81334
2000-09-01,105.44260
2000-10-01,99.34737
2000-11-01,96.39611
2000-12-01,98.86036
2001-01-01,98.40979
2001-02-01,96.87430
2001-03-01,93.71530
2001-04-01,92.83130
2001-05-01,95.60951
2001-06-01,91.77455
2001-07-01,87.49340
2001-08-01,84.65637
2001-09-01,82.05458
2001-10-01,79.42588
2001-11-01,82.13346
2001-12-01,83.27412
2002-01-01,86.05717
2002-02-01,86.48454
2002-03-01,89.39217
2002-04-01,89.43481
2002-05-01,88.33129
2002-06-01,90.26714
2002-07-01,89.21329
2002-08-01,85.47213
2002-09-01,85.42984
2002-10-01,86.13553
2002-11-01,90.02940
2002-12-01,90.13560
2003-01-01,94.88189
2003-02-01,97.81155
2003-03-01,96.17183
2003-04-01,92.95685
2003-05-01,96.66507
2003-06-01,98.78970
2003-07-01,100.12109
2003-08-01,102.33067
2003-09-01,103.83669
2003-10-01,110.56747
2003-11-01,116.39370
2003-12-01,126.13290
2004-01-01,137.03753
2004-02-01,144.17179
2004-03-01,143.99469
2004-04-01,141.09021
2004-05-01,132.66826
2004-06-01,139.59967
2004-07-01,145.54421
2004-08-01,141.75730
2004-09-01,142.94444
2004-10-01,149.47577
2004-11-01,149.82032
2004-12-01,150.29988
2005-01-01,165.57406
2005-02-01,170.42014
2005-03-01,176.77561
2005-04-01,174.73730
2005-05-01,173.02849
2005-06-01,174.41233
2005-07-01,171.45997
2005-08-01,177.58049
2005-09-01,176.39827
2005-10-01,177.46128
2005-11-01,183.15910
2005-12-01,196.39060
2006-01-01,212.35755
2006-02-01,218.56561
2006-03-01,221.51452
2006-04-01,254.30141
2006-05-01,291.58908
2006-06-01,269.74380
2006-07-01,293.21506
2006-08-01,304.20990
2006-09-01,304.32634
2006-10-01,317.53467
2006-11-01,315.28678
2006-12-01,322.57329
2007-01-01,316.68153
2007-02-01,328.44298
2007-03-01,354.26510
2007-04-01,390.17366
2007-05-01,397.84266
2007-06-01,370.78851
2007-07-01,357.24288
2007-08-01,323.96898
2007-09-01,321.29542
2007-10-01,331.76671
2007-11-01,317.70988
2007-12-01,296.39137
2008-01-01,334.20454
2008-02-01,352.54314
2008-03-01,371.49959
2008-04-01,365.38269
2008-05-01,346.55672
2008-06-01,334.67553
2008-07-01,332.00857
2008-08-01,311.15923
2008-09-01,294.07928
2008-10-01,235.99884
2008-11-01,209.46115
2008-12-01,200.30927
2009-01-01,208.60273
2009-02-01,206.36235
2009-03-01,197.57622
2009-04-01,209.10450
2009-05-01,221.61338
2009-06-01,247.08600
2009-07-01,267.70787
2009-08-01,310.82319
2009-09-01,286.31853
2009-10-01,299.45789
2009-11-01,316.42268
2009-12-01,332.82399
2010-01-01,365.64019
2010-02-01,356.35678
2010-03-01,390.00322
2010-04-01,442.15333
2010-05-01,398.37838
2010-06-01,363.27698
2010-07-01,349.75584
2010-08-01,388.32308
2010-09-01,393.33626
2010-10-01,416.29637
2010-11-01,432.00711
2010-12-01,454.45070
2011-01-01,479.36890
2011-02-01,499.88140
2011-03-01,471.56064
2011-04-01,483.39882
2011-05-01,465.54627
2011-06-01,456.21634
2011-07-01,466.49031
2011-08-01,454.31652
2011-09-01,439.34424
2011-10-01,389.34588
2011-11-01,373.12987
2011-12-01,372.52250
2012-01-01,390.24569
2012-02-01,398.89063
2012-03-01,399.80063
2012-04-01,396.55103
2012-05-01,375.19955
2012-06-01,362.05584
2012-07-01,354.34228
2012-08-01,328.46428
2012-09-01,334.24762
2012-10-01,346.40683
2012-11-01,346.53149
2012-12-01,366.04793
2013-01-01,390.66841
2013-02-01,395.76302
2013-03-01,367.54942
2013-04-01,355.20997
2013-05-01,339.17180
2013-06-01,324.20876
2013-07-01,332.10308
2013-08-01,347.95224
2013-09-01,342.63559
2013-10-01,343.18562
2013-11-01,343.76695
2013-12-01,345.87743
2014-01-01,339.57892
2014-02-01,330.49857
2014-03-01,315.20022
2014-04-01,325.77606
2014-05-01,317.01290
2014-06-01,309.59823
2014-07-01,318.79251
2014-08-01,316.77056
2014-09-01,301.46342
2014-10-01,287.52566
2014-11-01,282.81981
2014-12-01,268.11477
2015-01-01,256.16834
2015-02-01,246.67056
2015-03-01,241.17866
2015-04-01,236.58370
2015-05-01,249.24305
2015-06-01,238.48402
2015-07-01,217.50811
2015-08-01,214.47271
2015-09-01,214.66408
2015-10-01,208.89705
2015-11-01,192.15447
2015-12-01,183.20803
2016-01-01,181.60065
2016-02-01,190.25378
2016-03-01,206.43860
2016-04-01,211.01088
2016-05-01,204.11513
2016-06-01,202.37842
2016-07-01,213.93793
2016-08-01,217.77168
2016-09-01,213.01396
2016-10-01,215.40540
2016-11-01,245.45194
2016-12-01,254.60441
2017-01-01,258.51283
2017-02-01,274.17867
2017-03-01,270.96473
2017-04-01,248.97865
2017-05-01,237.84577
2017-06-01,234.00032
2017-07-01,249.60645
2017-08-01,270.54147
2017-09-01,268.59702
2017-10-01,264.61559
2017-11-01,267.89442
2017-12-01,277.38601
2018-01-01,290.98055
2018-02-01,293.12664
2018-03-01,282.15162
2018-04-01,285.18771
2018-05-01,286.16217
2018-06-01,288.21794
2018-07-01,270.31295
2018-08-01,266.46023
2018-09-01,265.23543
2018-10-01,271.96670
2018-11-01,268.14069
2018-12-01,262.17893
2019-01-01,266.07485
2019-02-01,286.76522
2019-03-01,290.27773
2019-04-01,297.89676
2019-05-01,296.03718
2019-06-01,301.22684
2019-07-01,314.81725
2019-08-01,283.82577
2019-09-01,287.04704
2019-10-01,282.30209
2019-11-01,273.27488
2019-12-01,279.21875
2020-01-01,283.33129
2020-02-01,267.85329
2020-03-01,258.83625
2020-04-01,247.18230
2020-05-01,258.18202
2020-06-01,281.76429
2020-07-01,298.12726
2020-08-01,317.52111
2020-09-01,323.79184
2020-10-01,321.61473
2020-11-01,336.87424
2020-12-01,383.55373
2021-01-01,403.71971
2021-02-01,410.35328
2021-03-01,423.03377
2021-04-01,443.30196
2021-05-01,487.91698
2021-06-01,505.63111
2021-07-01,508.60018
2021-08-01,452.05866
2021-09-01,407.74330
2021-10-01,418.48976
2021-11-01,383.51935
2021-12-01,405.94111
2022-01-01,444.93991
2022-02-01,461.44991
2022-03-01,497.19931
2022-04-01,492.95503
2022-05-01,443.22056
2022-06-01,426.55570
2022-07-01,367.35187
2022-08-01,372.18782
2022-09-01,353.28841
2022-10-01,344.23260
2022-11-01,359.97933
2022-12-01,392.56567
2023-01-01,423.48259
2023-02-01,445.38975
2023-03-01,433.62547
2023-04-01,416.47686
2023-05-01,379.52996
2023-06-01,381.21641
2023-07-01,383.14920
2023-08-01,375.33854
2023-09-01,389.20976
2023-10-01,383.78925
2023-11-01,401.12430
