DATE,PNGASUSUSDM_NBD19910101
1991-01-01,100.00000
1991-02-01,98.86364
1991-03-01,94.82517
1991-04-01,95.27972
1991-05-01,93.42657
1991-06-01,87.49417
1991-07-01,80.31469
1991-08-01,91.10490
1991-09-01,103.01573
1991-10-01,117.62238
1991-11-01,126.23776
1991-12-01,129.23077
1992-01-01,100.73427
1992-02-01,82.51748
1992-03-01,88.11189
1992-04-01,97.23776
1992-05-01,108.62238
1992-06-01,111.29371
1992-07-01,117.70629
1992-08-01,133.84615
1992-09-01,146.01399
1992-10-01,168.97902
1992-11-01,159.30070
1992-12-01,154.73776
1993-01-01,136.11189
1993-02-01,121.36364
1993-03-01,151.60839
1993-04-01,163.08392
1993-05-01,149.30070
1993-06-01,138.04196
1993-07-01,143.60839
1993-08-01,162.29021
1993-09-01,157.46503
1993-10-01,142.43357
1993-11-01,160.80420
1993-12-01,148.08392
1994-01-01,166.71329
1994-02-01,191.53846
1994-03-01,148.77622
1994-04-01,142.69231
1994-05-01,135.24476
1994-06-01,137.22902
1994-07-01,132.69930
1994-08-01,114.05594
1994-09-01,103.49650
1994-10-01,106.25874
1994-11-01,110.25350
1994-12-01,117.93007
1995-01-01,103.85490
1995-02-01,106.37238
1995-03-01,106.26573
1995-04-01,113.75874
1995-05-01,116.01399
1995-06-01,113.89510
1995-07-01,100.17483
1995-08-01,107.09790
1995-09-01,113.77622
1995-10-01,123.14685
1995-11-01,139.09091
1995-12-01,186.88112
1996-01-01,205.18357
1996-02-01,268.05944
1996-03-01,204.33566
1996-04-01,157.44755
1996-05-01,156.69930
1996-06-01,174.19580
1996-07-01,178.93357
1996-08-01,142.79720
1996-09-01,128.08566
1996-10-01,158.91608
1996-11-01,215.41259
1996-12-01,266.74825
1997-01-01,229.30769
1997-02-01,149.25699
1997-03-01,132.33392
1997-04-01,140.59441
1997-05-01,155.00699
1997-06-01,154.05594
1997-07-01,152.01923
1997-08-01,170.76923
1997-09-01,199.33566
1997-10-01,214.01399
1997-11-01,205.04371
1997-12-01,162.77098
1998-01-01,147.50350
1998-02-01,154.65035
1998-03-01,155.45455
1998-04-01,171.45979
1998-05-01,150.62238
1998-06-01,150.00000
1998-07-01,153.28671
1998-08-01,129.79021
1998-09-01,137.20280
1998-10-01,134.62937
1998-11-01,147.04545
1998-12-01,120.40210
1999-01-01,129.03497
1999-02-01,124.24825
1999-03-01,124.09091
1999-04-01,147.54545
1999-05-01,158.00699
1999-06-01,161.40734
1999-07-01,160.79021
1999-08-01,194.86014
1999-09-01,181.66084
1999-10-01,188.08392
1999-11-01,163.14685
1999-12-01,164.51748
2000-01-01,168.02448
2000-02-01,185.83042
2000-03-01,194.51748
2000-04-01,212.25616
2000-05-01,251.01716
2000-06-01,299.80928
2000-07-01,278.98601
2000-08-01,309.54697
2000-09-01,354.16084
2000-10-01,351.14431
2000-11-01,386.15385
2000-12-01,623.32168
2001-01-01,571.52847
2001-02-01,388.22230
2001-03-01,362.07883
2001-04-01,362.41259
2001-05-01,293.35664
2001-06-01,260.63936
2001-07-01,217.28272
2001-08-01,206.59775
2001-09-01,153.18366
2001-10-01,172.75768
2001-11-01,164.72028
2001-12-01,169.45160
2002-01-01,157.90876
2002-02-01,161.57527
2002-03-01,211.99301
2002-04-01,239.70121
2002-05-01,245.07311
2002-06-01,225.52448
2002-07-01,209.09091
2002-08-01,215.89320
2002-09-01,248.46154
2002-10-01,289.02402
2002-11-01,284.06331
2002-12-01,332.00133
2003-01-01,381.91808
2003-02-01,549.83438
2003-03-01,415.68432
2003-04-01,368.99767
2003-05-01,406.52681
2003-06-01,407.62571
2003-07-01,351.55753
2003-08-01,348.68465
2003-09-01,323.14352
2003-10-01,324.04986
2003-11-01,314.10256
2003-12-01,429.37063
2004-01-01,430.10674
2004-02-01,375.96614
2004-03-01,377.34874
2004-04-01,399.66700
2004-05-01,443.00699
2004-06-01,438.26174
2004-07-01,415.03497
2004-08-01,378.16275
2004-09-01,361.33866
2004-10-01,446.05395
2004-11-01,432.65734
2004-12-01,460.27306
2005-01-01,430.20979
2005-02-01,429.26021
2005-03-01,486.39542
2005-04-01,501.79820
2005-05-01,452.71395
2005-06-01,502.41577
2005-07-01,532.62238
2005-08-01,666.06871
2005-09-01,876.33134
2005-10-01,953.41325
2005-11-01,720.31469
2005-12-01,912.52081
2006-01-01,607.34266
2006-02-01,526.24218
2006-03-01,481.11888
2006-04-01,501.28819
2006-05-01,436.07756
2006-06-01,433.82072
2006-07-01,431.68936
2006-08-01,498.78382
2006-09-01,342.44755
2006-10-01,408.64590
2006-11-01,518.18182
2006-12-01,470.59441
2007-01-01,460.52448
2007-02-01,559.77181
2007-03-01,497.20280
2007-04-01,531.39860
2007-05-01,534.32931
2007-06-01,513.78621
2007-07-01,435.16484
2007-08-01,435.54272
2007-09-01,424.40191
2007-10-01,471.02463
2007-11-01,496.88811
2007-12-01,498.70261
2008-01-01,558.24176
2008-02-01,597.58741
2008-03-01,658.11189
2008-04-01,711.88811
2008-05-01,787.94539
2008-06-01,886.87979
2008-07-01,775.07947
2008-08-01,577.02298
2008-09-01,532.94074
2008-10-01,471.05503
2008-11-01,468.29837
2008-12-01,408.12521
2009-01-01,365.94406
2009-02-01,315.09017
2009-03-01,276.76414
2009-04-01,244.38894
2009-05-01,267.93706
2009-06-01,265.73427
2009-07-01,236.45900
2009-08-01,219.51382
2009-09-01,208.82451
2009-10-01,279.65671
2009-11-01,257.12183
2009-12-01,373.68086
2010-01-01,407.28745
2010-02-01,371.69672
2010-03-01,300.06081
2010-04-01,282.01798
2010-05-01,289.37063
2010-06-01,335.75969
2010-07-01,323.64302
2010-08-01,301.71647
2010-09-01,272.36097
2010-10-01,240.12654
2010-11-01,259.72028
2010-12-01,296.90310
2011-01-01,314.12587
2011-02-01,286.16121
2011-03-01,277.77440
2011-04-01,296.18881
2011-05-01,301.66500
2011-06-01,317.29975
2011-07-01,309.26573
2011-08-01,283.49042
2011-09-01,272.02797
2011-10-01,249.21745
2011-11-01,228.25175
2011-12-01,221.17882
2012-01-01,187.22168
2012-02-01,175.16503
2012-03-01,151.30324
2012-04-01,136.27622
2012-05-01,170.12079
2012-06-01,171.92807
2012-07-01,206.57376
2012-08-01,198.63971
2012-09-01,199.44792
2012-10-01,232.10702
2012-11-01,247.51748
2012-12-01,233.44301
2013-01-01,233.46653
2013-02-01,231.15385
2013-03-01,264.63536
2013-04-01,291.00445
2013-05-01,284.91943
2013-06-01,266.15385
2013-07-01,254.75829
2013-08-01,238.62047
2013-09-01,252.84715
2013-10-01,255.60961
2013-11-01,255.34466
2013-12-01,299.55499
2014-01-01,316.66160
2014-02-01,361.08392
2014-03-01,313.61971
2014-04-01,322.66370
2014-05-01,316.68786
2014-06-01,321.21212
2014-07-01,282.63910
2014-08-01,272.66067
2014-09-01,274.57088
2014-10-01,265.82548
2014-11-01,296.46853
2014-12-01,243.81271
2015-01-01,205.34011
2015-02-01,192.76224
2015-03-01,192.05340
2015-04-01,181.56389
2015-05-01,199.83350
2015-06-01,193.61093
2015-07-01,196.44269
2015-08-01,192.50749
2015-09-01,184.48824
2015-10-01,166.75143
2015-11-01,159.14086
2015-12-01,142.80936
2016-01-01,156.11056
2016-02-01,134.99833
2016-03-01,126.75585
2016-04-01,140.85914
2016-05-01,145.96313
2016-06-01,183.47107
2016-07-01,193.90609
2016-08-01,190.36181
2016-09-01,202.70184
2016-10-01,214.85181
2016-11-01,201.33503
2016-12-01,250.73109
2017-01-01,231.88175
2017-02-01,202.90210
2017-03-01,209.21253
2017-04-01,223.18182
2017-05-01,226.26938
2017-06-01,209.34520
2017-07-01,206.59341
2017-08-01,203.07084
2017-09-01,210.42291
2017-10-01,203.62365
2017-11-01,213.54100
2017-12-01,193.67299
2018-01-01,220.40134
2018-02-01,185.87413
2018-03-01,188.87476
2018-04-01,190.47619
2018-05-01,198.17574
2018-06-01,205.69431
2018-07-01,195.32740
2018-08-01,203.37489
2018-09-01,202.62238
2018-10-01,224.29310
2018-11-01,287.28544
2018-12-01,273.02697
2019-01-01,217.39130
2019-02-01,187.37762
2019-03-01,196.03730
2019-04-01,181.62746
2019-05-01,181.24050
2019-06-01,162.93706
2019-07-01,160.99118
2019-08-01,152.00254
2019-09-01,175.32468
2019-10-01,163.69717
2019-11-01,183.58308
2019-12-01,159.63128
2020-01-01,142.23168
2020-02-01,129.02098
2020-03-01,121.20153
2020-04-01,123.33121
2020-05-01,126.50683
2020-06-01,118.84933
2020-07-01,123.41137
2020-08-01,163.66966
2020-09-01,159.79021
2020-10-01,197.83853
2020-11-01,200.73260
2020-12-01,180.75403
2021-01-01,185.24809
2021-02-01,203.98601
2021-03-01,183.36881
2021-04-01,187.66688
2021-05-01,207.09291
2021-06-01,228.86205
2021-07-01,266.40178
2021-08-01,281.97711
2021-09-01,356.42085
2021-10-01,389.61039
2021-11-01,357.97839
2021-12-01,269.80845
2022-01-01,296.03730
2022-02-01,312.93706
2022-03-01,347.64366
2022-04-01,471.66167
2022-05-01,570.62937
2022-06-01,529.43420
2022-07-01,497.13620
2022-08-01,613.80359
2022-09-01,547.90210
2022-10-01,426.14053
2022-11-01,453.01971
2022-12-01,401.87540
2023-01-01,242.75270
2023-02-01,170.48951
2023-03-01,168.47066
2023-04-01,153.53147
2023-05-01,161.90331
2023-06-01,173.36300
2023-07-01,184.88178
2023-08-01,185.19307
2023-09-01,188.84449
2023-10-01,221.42403
2023-11-01,213.66815
