DATE,POLVOILUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,102.69211
1990-03-01,98.40084
1990-04-01,99.10142
1990-05-01,101.62883
1990-06-01,103.42479
1990-07-01,109.40302
1990-08-01,114.93681
1990-09-01,113.82388
1990-10-01,117.77546
1990-11-01,118.91928
1990-12-01,116.69583
1991-01-01,117.08942
1991-02-01,119.02767
1991-03-01,110.86716
1991-04-01,105.95886
1991-05-01,104.52985
1991-06-01,99.76990
1991-07-01,99.78686
1991-08-01,101.93219
1991-09-01,104.37060
1991-10-01,104.29794
1991-11-01,107.62705
1991-12-01,110.39425
1992-01-01,109.72092
1992-02-01,107.59314
1992-03-01,104.41965
1992-04-01,106.36819
1992-05-01,109.63615
1992-06-01,112.20716
1992-07-01,116.19810
1992-08-01,117.41094
1992-09-01,112.44997
1992-10-01,100.45595
1992-11-01,92.43834
1992-12-01,93.96061
1993-01-01,92.77259
1993-02-01,87.04806
1993-03-01,88.43287
1993-04-01,93.64937
1993-05-01,93.75806
1993-06-01,91.55127
1993-07-01,90.63331
1993-08-01,90.33782
1993-09-01,92.29363
1993-10-01,91.04385
1993-11-01,89.65722
1993-12-01,90.21429
1994-01-01,90.38384
1994-02-01,89.53188
1994-03-01,90.26879
1994-04-01,89.77650
1994-05-01,91.00328
1994-06-01,92.32269
1994-07-01,119.55244
1994-08-01,119.35515
1994-09-01,120.97685
1994-10-01,124.26590
1994-11-01,122.99469
1994-12-01,120.68052
1995-01-01,121.85192
1995-02-01,126.89470
1995-03-01,139.97770
1995-04-01,151.50722
1995-05-01,149.56783
1995-06-01,150.21681
1995-07-01,155.56901
1995-08-01,154.44334
1995-09-01,159.77225
1995-10-01,167.29423
1995-11-01,170.96632
1995-12-01,168.28339
1996-01-01,185.32477
1996-02-01,204.11314
1996-03-01,202.92655
1996-04-01,198.80320
1996-05-01,198.69693
1996-06-01,202.33496
1996-07-01,198.60288
1996-08-01,195.48761
1996-09-01,199.31873
1996-10-01,202.64105
1996-11-01,209.77395
1996-12-01,209.97579
1997-01-01,209.43840
1997-02-01,175.01556
1997-03-01,162.00724
1997-04-01,142.47215
1997-05-01,142.85174
1997-06-01,116.13614
1997-07-01,126.49713
1997-08-01,121.35708
1997-09-01,129.14641
1997-10-01,131.69764
1997-11-01,130.58326
1997-12-01,122.96303
1998-01-01,116.90108
1998-02-01,106.43599
1998-03-01,104.49027
1998-04-01,104.05107
1998-05-01,106.32237
1998-06-01,107.11250
1998-07-01,106.70607
1998-08-01,105.91075
1998-09-01,110.78910
1998-10-01,112.58505
1998-11-01,110.39591
1998-12-01,110.98123
1999-01-01,109.69631
1999-02-01,108.18617
1999-03-01,126.72332
1999-04-01,128.64641
1999-05-01,130.41718
1999-06-01,128.83073
1999-07-01,123.08645
1999-08-01,125.68779
1999-09-01,126.93449
1999-10-01,129.59762
1999-11-01,124.78603
1999-12-01,111.00110
2000-01-01,119.54875
2000-02-01,117.33952
2000-03-01,115.85083
2000-04-01,114.51258
2000-05-01,109.11495
2000-06-01,99.93932
2000-07-01,89.81761
2000-08-01,89.71370
2000-09-01,86.38020
2000-10-01,87.40807
2000-11-01,85.85452
2000-12-01,87.52094
2001-01-01,88.27315
2001-02-01,85.85748
2001-03-01,86.29648
2001-04-01,87.39414
2001-05-01,86.84683
2001-06-01,85.32665
2001-07-01,86.08792
2001-08-01,88.36835
2001-09-01,92.05963
2001-10-01,95.63115
2001-11-01,98.77242
2001-12-01,95.80036
2002-01-01,93.81057
2002-02-01,93.34803
2002-03-01,94.04370
2002-04-01,94.67343
2002-05-01,94.89680
2002-06-01,95.34353
2002-07-01,100.30134
2002-08-01,99.47553
2002-09-01,100.92642
2002-10-01,100.50988
2002-11-01,101.34864
2002-12-01,102.18813
2003-01-01,109.56454
2003-02-01,114.21298
2003-03-01,117.14677
2003-04-01,116.51418
2003-05-01,120.10784
2003-06-01,128.50816
2003-07-01,129.60827
2003-08-01,128.63689
2003-09-01,134.81947
2003-10-01,142.10245
2003-11-01,143.17768
2003-12-01,148.26390
2004-01-01,152.24628
2004-02-01,157.06656
2004-03-01,157.21765
2004-04-01,153.57306
2004-05-01,153.75690
2004-06-01,155.96605
2004-07-01,156.42134
2004-08-01,157.08195
2004-09-01,153.70548
2004-10-01,152.98830
2004-11-01,157.10917
2004-12-01,162.26367
2005-01-01,180.01814
2005-02-01,187.69399
2005-03-01,189.90109
2005-04-01,189.05444
2005-05-01,184.59736
2005-06-01,180.68974
