DATE,PURANUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,97.77778
1990-03-01,97.77778
1990-04-01,96.11111
1990-05-01,103.88889
1990-06-01,122.22222
1990-07-01,128.88889
1990-08-01,127.22222
1990-09-01,116.66667
1990-10-01,94.44444
1990-11-01,105.55556
1990-12-01,107.77778
1991-01-01,101.11111
1991-02-01,105.55556
1991-03-01,104.44444
1991-04-01,100.00000
1991-05-01,102.22222
1991-06-01,100.00000
1991-07-01,95.00000
1991-08-01,91.66667
1991-09-01,80.55556
1991-10-01,80.55556
1991-11-01,83.33333
1991-12-01,82.22222
1992-01-01,97.22222
1992-02-01,87.77778
1992-03-01,86.11111
1992-04-01,86.11111
1992-05-01,83.88889
1992-06-01,86.11111
1992-07-01,86.11111
1992-08-01,89.44444
1992-09-01,97.22222
1992-10-01,113.88889
1992-11-01,116.66667
1992-12-01,111.11111
1993-01-01,108.88889
1993-02-01,112.22222
1993-03-01,113.33333
1993-04-01,115.00000
1993-05-01,112.22222
1993-06-01,114.44444
1993-07-01,110.00000
1993-08-01,111.66667
1993-09-01,113.33333
1993-10-01,113.05556
1993-11-01,110.00000
1993-12-01,109.44444
1994-01-01,105.00000
1994-02-01,105.00000
1994-03-01,103.33333
1994-04-01,102.77778
1994-05-01,102.77778
1994-06-01,102.77778
1994-07-01,101.11111
1994-08-01,100.55556
1994-09-01,105.00000
1994-10-01,105.55556
1994-11-01,106.66667
1994-12-01,115.55556
1995-01-01,119.72222
1995-02-01,123.88889
1995-03-01,131.11111
1995-04-01,131.66667
1995-05-01,132.22222
1995-06-01,130.00000
1995-07-01,130.00000
1995-08-01,130.00000
1995-09-01,131.66667
1995-10-01,131.66667
1995-11-01,131.66667
1995-12-01,131.66667
1996-01-01,135.55556
1996-02-01,175.00000
1996-03-01,175.00000
1996-04-01,177.63889
1996-05-01,182.03704
1996-06-01,183.33333
1996-07-01,183.33333
1996-08-01,182.88889
1996-09-01,179.44444
1996-10-01,174.88889
1996-11-01,167.44444
1996-12-01,164.02778
1997-01-01,160.97222
1997-02-01,153.44444
1997-03-01,151.33333
1997-04-01,142.50000
1997-05-01,131.41975
1997-06-01,121.60494
1997-07-01,116.50000
1997-08-01,115.49383
1997-09-01,113.88889
1997-10-01,125.33333
1997-11-01,141.66667
1997-12-01,138.88889
1998-01-01,133.75000
1998-02-01,126.38889
1998-03-01,118.47222
1998-04-01,119.44444
1998-05-01,119.44444
1998-06-01,119.44444
1998-07-01,117.90123
1998-08-01,116.66667
1998-09-01,113.70370
1998-10-01,106.72840
1998-11-01,98.70370
1998-12-01,94.30556
1999-01-01,100.13889
1999-02-01,102.22222
1999-03-01,115.95238
1999-04-01,120.55556
1999-05-01,119.16667
1999-06-01,117.28395
1999-07-01,114.02778
1999-08-01,112.38095
1999-09-01,110.18519
1999-10-01,108.45679
1999-11-01,107.91667
1999-12-01,107.08333
2000-01-01,106.11111
2000-02-01,104.37500
2000-03-01,103.44444
2000-04-01,101.58730
2000-05-01,94.44444
2000-06-01,91.45833
2000-07-01,90.00000
2000-08-01,88.41270
2000-09-01,84.07407
2000-10-01,82.22222
2000-11-01,79.19753
2000-12-01,79.28571
2001-01-01,78.88889
2001-02-01,82.08333
2001-03-01,85.49383
2001-04-01,91.42857
