DATE,PWHEAMTUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,95.84244
1990-03-01,93.21662
1990-04-01,94.96717
1990-05-01,88.84025
1990-06-01,80.74398
1990-07-01,74.39824
1990-08-01,69.58423
1990-09-01,68.05251
1990-10-01,68.27133
1990-11-01,67.17724
1990-12-01,67.39605
1991-01-01,66.30197
1991-02-01,67.83369
1991-03-01,71.11597
1991-04-01,71.99124
1991-05-01,72.67615
1991-06-01,71.55360
1991-07-01,70.39697
1991-08-01,74.63548
1991-09-01,80.61817
1991-10-01,87.47525
1991-11-01,89.05300
1991-12-01,95.78253
1992-01-01,101.21261
1992-02-01,105.48600
1992-03-01,100.85289
1992-04-01,95.24330
1992-05-01,89.14387
1992-06-01,88.53441
1992-07-01,81.18162
1992-08-01,76.32776
1992-09-01,82.62087
1992-10-01,83.71991
1992-11-01,87.88437
1992-12-01,88.03532
1993-01-01,92.69419
1993-02-01,88.66463
1993-03-01,88.07820
1993-04-01,84.56027
1993-05-01,81.33752
1993-06-01,72.54575
1993-07-01,75.94300
1993-08-01,77.29759
1993-09-01,78.18927
1993-10-01,80.96553
1993-11-01,87.24562
1993-12-01,94.47757
1994-01-01,91.23944
1994-02-01,87.56477
1994-03-01,83.99534
1994-04-01,83.64332
1994-05-01,83.46149
1994-06-01,82.95951
1994-07-01,81.94474
1994-08-01,86.96127
1994-09-01,94.56079
1994-10-01,99.56496
1994-11-01,96.46745
1994-12-01,98.03665
1995-01-01,93.02907
1995-02-01,91.96130
1995-03-01,89.55887
1995-04-01,88.72077
1995-05-01,94.45742
1995-06-01,101.22810
1995-07-01,113.20086
1995-08-01,109.81113
1995-09-01,115.33642
1995-10-01,121.36343
1995-11-01,121.52754
1995-12-01,124.42038
1996-01-01,116.97830
1996-02-01,122.77794
1996-03-01,122.23610
1996-04-01,142.63831
1996-05-01,148.04489
1996-06-01,128.17285
1996-07-01,116.95365
1996-08-01,108.08632
1996-09-01,101.82347
1996-10-01,100.99894
1996-11-01,100.80232
1996-12-01,99.94789
1997-01-01,99.92388
1997-02-01,97.76804
1997-03-01,99.87495
1997-04-01,104.55539
1997-05-01,100.28843
1997-06-01,84.08877
1997-07-01,77.66149
1997-08-01,82.98425
1997-09-01,82.32543
1997-10-01,81.11501
1997-11-01,80.62362
1997-12-01,77.25715
1998-01-01,75.84045
1998-02-01,76.41137
1998-03-01,76.36760
1998-04-01,70.38989
1998-05-01,70.48035
1998-06-01,66.91863
1998-07-01,63.49538
1998-08-01,57.76804
1998-09-01,58.10622
1998-10-01,66.79170
1998-11-01,68.84963
1998-12-01,66.58262
1999-01-01,66.63540
1999-02-01,62.10065
1999-03-01,62.27761
1999-04-01,60.94091
1999-05-01,59.32061
1999-06-01,59.51859
1999-07-01,55.39230
1999-08-01,58.37477
1999-09-01,56.45513
1999-10-01,52.73522
1999-11-01,54.59518
1999-12-01,53.85786
2000-01-01,55.75492
2000-02-01,58.46097
2000-03-01,57.40652
2000-04-01,56.23632
2000-05-01,59.02387
2000-06-01,61.55758
2000-07-01,57.84098
2000-08-01,57.55874
2000-09-01,61.60258
2000-10-01,64.18340
2000-11-01,62.55221
2000-12-01,67.73522
2001-01-01,65.19792
2001-02-01,61.53172
2001-03-01,62.87049
2001-04-01,63.21766
2001-05-01,65.96898
2001-06-01,65.16619
2001-07-01,64.52157
2001-08-01,62.06830
2001-09-01,61.44419
2001-10-01,62.42983
2001-11-01,63.60320
2001-12-01,62.15535
2002-01-01,63.23850
2002-02-01,61.83807
2002-03-01,61.07220
2002-04-01,62.41296
2002-05-01,61.99219
2002-06-01,68.73084
2002-07-01,78.99342
2002-08-01,89.09885
2002-09-01,103.23016
2002-10-01,107.22099
2002-11-01,97.83264
2002-12-01,88.85020
2003-01-01,83.66155
2003-02-01,84.36023
2003-03-01,76.96936
2003-04-01,75.06511
2003-05-01,78.04521
2003-06-01,70.36573
2003-07-01,68.94767
2003-08-01,79.49358
2003-09-01,77.80555
2003-10-01,77.45218
2003-11-01,84.17596
2003-12-01,86.39157
2004-01-01,87.71490
2004-02-01,84.40630
2004-03-01,84.89157
2004-04-01,86.98550
2004-05-01,85.27006
2004-06-01,81.50463
2004-07-01,78.84025
2004-08-01,72.68748
2004-09-01,75.52515
2004-10-01,73.28331
2004-11-01,75.71115
2004-12-01,73.58005
2005-01-01,73.11815
2005-02-01,73.32718
2005-03-01,77.39207
2005-04-01,71.50150
2005-05-01,70.95967
2005-06-01,72.93614
2005-07-01,77.51640
2005-08-01,78.34648
2005-09-01,81.81722
2005-10-01,85.20370
2005-11-01,81.20245
2005-12-01,83.36979
2006-01-01,86.09408
2006-02-01,94.62166
2006-03-01,92.77898
2006-04-01,96.00367
2006-05-01,105.17206
2006-06-01,105.36104
2006-07-01,107.99780
2006-08-01,98.33896
2006-09-01,98.22756
2006-10-01,108.64331
2006-11-01,108.56516
2006-12-01,106.91465
2007-01-01,102.76804
2007-02-01,104.37635
2007-03-01,103.21264
2007-04-01,106.33478
2007-05-01,106.00755
2007-06-01,122.98633
2007-07-01,132.20796
2007-08-01,143.33553
2007-09-01,177.43865
2007-10-01,180.82007
2007-11-01,170.61579
2007-12-01,202.01796
2008-01-01,200.16669
2008-02-01,234.56233
2008-03-01,240.48137
2008-04-01,194.64887
2008-05-01,171.76199
2008-06-01,187.08969
2008-07-01,178.31706
2008-08-01,181.13783
2008-09-01,156.65310
2008-10-01,120.75789
2008-11-01,115.60045
2008-12-01,112.46221
2009-01-01,125.82055
2009-02-01,116.26165
2009-03-01,118.56971
2009-04-01,119.63396
2009-05-01,135.29539
2009-06-01,135.37197
2009-07-01,116.32185
2009-08-01,106.92923
2009-09-01,93.45628
2009-10-01,97.50347
2009-11-01,105.76988
2009-12-01,101.92767
2010-01-01,99.94240
2010-02-01,95.38049
2010-03-01,93.17856
2010-04-01,93.39376
2010-05-01,94.28883
2010-06-01,88.86014
2010-07-01,108.82566
2010-08-01,130.94289
2010-09-01,143.18379
2010-10-01,139.71031
2010-11-01,144.02226
2010-12-01,163.44637
2011-01-01,176.26912
2011-02-01,189.13967
2011-03-01,169.94892
2011-04-01,182.97821
2011-05-01,182.94256
2011-06-01,169.90250
2011-07-01,161.66300
2011-08-01,171.92160
2011-09-01,162.18608
2011-10-01,149.82805
2011-11-01,145.62882
2011-12-01,140.57985
2012-01-01,145.13127
2012-02-01,146.48795
2012-03-01,145.00694
2012-04-01,135.83149
2012-05-01,136.30394
2012-06-01,144.09709
2012-07-01,185.05781
2012-08-01,187.91739
2012-09-01,188.57535
2012-10-01,189.62037
