DATE,POILWTIUSDM_NBD19900101
1990-01-01,100.00000
1990-02-01,98.22225
1990-03-01,90.42709
1990-04-01,81.96063
1990-05-01,81.59069
1990-06-01,73.86695
1990-07-01,82.44794
1990-08-01,120.10194
1990-09-01,148.46259
1990-10-01,160.76361
1990-11-01,143.31314
1990-12-01,119.99377
1991-01-01,110.43085
1991-02-01,91.42047
1991-03-01,87.89080
1991-04-01,92.08808
1991-05-01,94.07578
1991-06-01,89.33680
1991-07-01,94.72591
1991-08-01,95.96505
1991-09-01,96.79343
1991-10-01,102.83516
1991-11-01,99.14233
1991-12-01,86.14795
1992-01-01,83.20062
1992-02-01,84.37094
1992-03-01,83.75299
1992-04-01,89.56040
1992-05-01,92.89827
1992-06-01,99.12011
1992-07-01,96.26082
1992-08-01,94.53723
1992-09-01,96.85184
1992-10-01,96.03140
1992-11-01,90.04167
1992-12-01,86.04539
1993-01-01,84.47385
1993-02-01,88.84353
1993-03-01,89.96538
1993-04-01,89.73334
1993-05-01,88.42378
1993-06-01,84.58349
1993-07-01,79.11189
1993-08-01,79.62064
1993-09-01,77.56352
1993-10-01,80.39330
1993-11-01,73.84943
1993-12-01,64.17196
1994-01-01,66.41369
1994-02-01,65.32150
1994-03-01,64.82593
1994-04-01,72.32911
1994-05-01,78.88667
1994-06-01,84.11093
1994-07-01,86.78482
1994-08-01,81.31948
1994-09-01,77.16939
1994-10-01,78.10760
1994-11-01,80.00673
1994-12-01,76.12172
1995-01-01,79.52412
1995-02-01,82.02847
1995-03-01,82.02154
1995-04-01,87.43451
1995-05-01,87.12252
1995-06-01,81.47266
1995-07-01,76.61821
1995-08-01,79.77303
1995-09-01,80.58500
1995-10-01,77.16939
1995-11-01,79.54021
1995-12-01,84.25686
1996-01-01,83.61608
1996-02-01,84.40643
1996-03-01,94.37923
1996-04-01,104.10306
1996-05-01,94.08348
1996-06-01,90.42066
1996-07-01,94.27005
1996-08-01,97.00668
1996-09-01,105.77611
1996-10-01,110.15965
1996-11-01,104.87658
1996-12-01,112.88255
1997-01-01,111.47721
1997-02-01,98.28640
1997-03-01,92.77819
1997-04-01,87.21975
1997-05-01,92.25900
1997-06-01,84.74349
1997-07-01,86.82247
1997-08-01,88.15624
1997-09-01,87.51534
1997-10-01,94.07001
1997-11-01,88.78823
1997-12-01,81.00019
1998-01-01,74.08671
1998-02-01,71.05270
1998-03-01,66.44940
1998-04-01,67.47696
1998-05-01,65.68269
1998-06-01,60.42884
1998-07-01,62.36776
1998-08-01,59.11631
1998-09-01,66.05326
1998-10-01,63.65026
1998-11-01,56.53990
1998-12-01,49.84420
1999-01-01,55.01470
1999-02-01,53.10483
1999-03-01,64.85863
1999-04-01,76.58221
1999-05-01,78.49522
1999-06-01,79.14004
1999-07-01,88.71986
1999-08-01,94.04064
1999-09-01,105.27741
1999-10-01,99.93863
1999-11-01,110.93803
1999-12-01,115.21062
2000-01-01,120.43827
2000-02-01,129.89705
2000-03-01,132.24082
2000-04-01,114.13291
2000-05-01,127.55722
2000-06-01,140.94231
2000-07-01,132.64620
2000-08-01,138.10925
2000-09-01,149.79419
2000-10-01,146.32141
2000-11-01,152.86882
2000-12-01,125.58688
2001-01-01,130.42701
2001-02-01,130.87526
2001-03-01,120.51382
2001-04-01,121.45367
2001-05-01,126.57049
2001-06-01,122.10462
2001-07-01,116.95055
2001-08-01,121.51568
2001-09-01,115.95557
2001-10-01,98.25736
2001-11-01,86.63860
2001-12-01,85.45975
2002-01-01,86.74168
2002-02-01,91.90931
2002-03-01,108.42204
2002-04-01,116.20049
2002-05-01,119.46336
2002-06-01,112.90306
2002-07-01,119.13637
2002-08-01,125.55710
2002-09-01,131.09362
2002-10-01,127.64762
2002-11-01,116.45884
2002-12-01,130.72103
2003-01-01,145.59915
2003-02-01,158.88536
2003-03-01,146.95866
2003-04-01,125.45253
2003-05-01,124.85933
2003-06-01,135.92412
2003-07-01,136.02424
2003-08-01,139.76030
2003-09-01,125.86678
2003-10-01,134.18157
2003-11-01,136.97586
2003-12-01,142.46971
2004-01-01,151.06104
2004-02-01,153.60762
2004-03-01,162.62743
2004-04-01,162.44260
2004-05-01,178.16421
2004-06-01,168.29224
2004-07-01,179.98750
2004-08-01,198.79321
2004-09-01,202.88535
2004-10-01,235.20759
2004-11-01,214.70326
2004-12-01,191.46374
2005-01-01,207.88879
