Date,Cotton
1990-01-01,100.00000
1990-02-01,101.01061
1990-03-01,104.92019
1990-04-01,110.19944
1990-05-01,113.82978
1990-06-01,119.92018
1990-07-01,122.06116
1990-08-01,108.08509
1990-09-01,108.08509
1990-10-01,108.19145
1990-11-01,109.61433
1990-12-01,111.51592
1991-01-01,111.31646
1991-02-01,112.87233
1991-03-01,112.00798
1991-04-01,110.94412
1991-05-01,111.92819
1991-06-01,111.48934
1991-07-01,107.74599
1991-08-01,97.69945
1991-09-01,93.51729
1991-10-01,90.34573
1991-11-01,85.23936
1991-12-01,82.13097
1992-01-01,79.28190
1992-02-01,74.86701
1992-03-01,73.57047
1992-04-01,77.11102
1992-05-01,80.57180
1992-06-01,84.95677
1992-07-01,86.82181
1992-08-01,79.45477
1992-09-01,75.33244
1992-10-01,70.63828
1992-11-01,70.06315
1992-12-01,71.80850
1993-01-01,76.18979
1993-02-01,80.51510
1993-03-01,81.72120
1993-04-01,81.21149
1993-05-01,80.01993
1993-06-01,77.76232
1993-07-01,77.11435
1993-08-01,73.80318
1993-09-01,73.35437
1993-10-01,73.02193
1993-11-01,73.02193
1993-12-01,78.10599
1994-01-01,90.34241
1994-02-01,106.34971
1994-03-01,108.73668
1994-04-01,110.70477
1994-05-01,114.41155
1994-06-01,114.62764
1994-07-01,109.06913
1994-08-01,102.31049
1994-09-01,100.11967
1994-10-01,98.23802
1994-11-01,102.27724
1994-12-01,114.87143
1995-01-01,126.03057
1995-02-01,132.92884
1995-03-01,146.90822
1995-04-01,150.56513
1995-05-01,154.05582
1995-06-01,138.77325
1995-07-01,127.62907
1995-08-01,112.56647
1995-09-01,121.14360
1995-10-01,121.70876
1995-11-01,118.73336
1995-12-01,117.58642
1996-01-01,114.24533
1996-02-01,115.40889
1996-03-01,110.67818
1996-04-01,110.37232
1996-05-01,110.22605
1996-06-01,110.53855
1996-07-01,106.16687
1996-08-01,102.00796
1996-09-01,100.21275
1996-10-01,100.29919
1996-11-01,100.93881
1996-12-01,104.11235
1997-01-01,106.07711
1997-02-01,106.91488
1997-03-01,107.21408
1997-04-01,104.82046
1997-05-01,105.39892
1997-06-01,107.06447
1997-07-01,107.94547
1997-08-01,107.99200
1997-09-01,105.90091
1997-10-01,103.39094
1997-11-01,102.69280
1997-12-01,98.87498
1998-01-01,95.92751
1998-02-01,91.53922
1998-03-01,90.99068
1998-04-01,87.36700
1998-05-01,85.58509
1998-06-01,91.67286
1998-07-01,92.90424
1998-08-01,90.65823
1998-09-01,88.28123
1998-10-01,81.72871
1998-11-01,74.57446
1998-12-01,74.46807
1999-01-01,74.16887
1999-02-01,74.71741
1999-03-01,75.40690
1999-04-01,76.77858
1999-05-01,79.65424
1999-06-01,77.79254
1999-07-01,72.35371
1999-08-01,67.79381
1999-09-01,65.79121
1999-10-01,63.07623
1999-11-01,61.45278
1999-12-01,58.77025
2000-01-01,63.07623
2000-02-01,71.05717
2000-03-01,76.20212
2000-04-01,78.14826
2000-05-01,80.45845
2000-06-01,79.08606
2000-07-01,77.64690
2000-08-01,80.97247
2000-09-01,81.97140
2000-10-01,80.97496
2000-11-01,85.07615
2000-12-01,87.58047
2001-01-01,85.34210
2001-02-01,80.37565
2001-03-01,72.55802
2001-04-01,68.03708
2001-05-01,66.45136
2001-06-01,63.11106
2001-07-01,60.56547
2001-08-01,57.61604
2001-09-01,54.87034
2001-10-01,49.49699
2001-11-01,50.47808
2001-12-01,57.00587
2002-01-01,57.73391
2002-02-01,56.92153
2002-03-01,55.90092
2002-04-01,55.03102
2002-05-01,53.04900
2002-06-01,57.82357
2002-07-01,62.10422
2002-08-01,65.58700
2002-09-01,65.13157
2002-10-01,65.90001
2002-11-01,69.58111
2002-12-01,73.42957
2003-01-01,75.41706
2003-02-01,77.86253
2003-03-01,81.13031
2003-04-01,80.82445
2003-05-01,76.86501
2003-06-01,77.79254
2003-07-01,80.07052
2003-08-01,80.45211
2003-09-01,85.35117
2003-10-01,96.48761
2003-11-01,102.31661
2003-12-01,97.85570
2004-01-01,101.38576
2004-02-01,98.29226
2004-03-01,96.11036
2004-04-01,92.33971
2004-05-01,93.13758
2004-06-01,85.94983
2004-07-01,75.81902
2004-08-01,71.10561
2004-09-01,75.37043
2004-10-01,69.84337
2004-11-01,65.48204
2004-12-01,64.62132
2005-01-01,68.16558
2005-02-01,69.36834
2005-03-01,74.78152
2005-04-01,75.73770
2005-05-01,74.25531
2005-06-01,71.79037
2005-07-01,73.10172
2005-08-01,71.89614
2005-09-01,73.06546
2005-10-01,77.44426
2005-11-01,75.57119
2005-12-01,75.16688
2006-01-01,78.46408
2006-02-01,80.78456
2006-03-01,77.94576
2006-04-01,76.03232
2006-05-01,73.68603
2006-06-01,75.02417
2006-07-01,75.43217
2006-08-01,79.59353
2006-09-01,78.21807
2006-10-01,75.83413
2006-11-01,76.32977
2006-12-01,79.02434
2007-01-01,78.52709
2007-02-01,76.98417
2007-03-01,77.67467
2007-04-01,76.03390
2007-05-01,73.90133
2007-06-01,80.37163
2007-07-01,90.16621
2007-08-01,88.58799
2007-09-01,90.70197
2007-10-01,91.66569
2007-11-01,92.69565
2007-12-01,92.53568
2008-01-01,97.40388
2008-02-01,99.80685
2008-03-01,106.62092
2008-04-01,100.27501
2008-05-01,98.56714
2008-06-01,102.45059
2008-07-01,102.77808
2008-08-01,103.77325
2008-09-01,97.85419
2008-10-01,82.84862
2008-11-01,73.21877
2008-12-01,73.76202
2009-01-01,76.72238
2009-02-01,73.41754
2009-03-01,68.48403
2009-04-01,75.49866
2009-05-01,82.38031
2009-06-01,81.63381
2009-07-01,86.16731
2009-08-01,85.44546
2009-09-01,85.20308
2009-10-01,88.85697
2009-11-01,95.44705
2009-12-01,102.10548
2010-01-01,102.91222
2010-02-01,106.44613
2010-03-01,114.07759
2010-04-01,117.12099
2010-05-01,119.77532
2010-06-01,121.91931
2010-07-01,111.90158
2010-08-01,120.13992
2010-09-01,139.27101
2010-10-01,168.28771
2010-11-01,206.73957
2010-12-01,223.70184
2011-01-01,237.93547
2011-02-01,283.47735
2011-03-01,305.40872
2011-04-01,288.05403
2011-05-01,220.10635
2011-06-01,219.31512
