Date,Energy
1992-01-01,100.00000
1992-02-01,99.01157
1992-03-01,98.59703
1992-04-01,103.83212
1992-05-01,108.44283
1992-06-01,113.94297
1992-07-01,112.25773
1992-08-01,111.82769
1992-09-01,115.13741
1992-10-01,115.53330
1992-11-01,109.76571
1992-12-01,105.71238
1993-01-01,102.99951
1993-02-01,104.55764
1993-03-01,108.15195
1993-04-01,109.19760
1993-05-01,106.81035
1993-06-01,103.12737
1993-07-01,98.85521
1993-08-01,100.67929
1993-09-01,97.91116
1993-10-01,98.42949
1993-11-01,95.06975
1993-12-01,86.49732
1994-01-01,89.57317
1994-02-01,90.92304
1994-03-01,86.18748
1994-04-01,91.45657
1994-05-01,95.85955
1994-06-01,100.09602
1994-07-01,103.13607
1994-08-01,98.49143
1994-09-01,94.77968
1994-10-01,96.60468
1994-11-01,99.13378
1994-12-01,96.81766
1995-01-01,99.08413
1995-02-01,101.61963
1995-03-01,102.09233
1995-04-01,107.53306
1995-05-01,107.41107
1995-06-01,103.09295
1995-07-01,97.59645
1995-08-01,99.07934
1995-09-01,100.60421
1995-10-01,99.24995
1995-11-01,102.51760
1995-12-01,111.70054
1996-01-01,112.51102
1996-02-01,117.51138
1996-03-01,117.95553
1996-04-01,119.38887
1996-05-01,113.15261
1996-06-01,113.02728
1996-07-01,116.40710
1996-08-01,117.01347
1996-09-01,124.71148
1996-10-01,133.56365
1996-11-01,136.11190
1996-12-01,144.63826
1997-01-01,138.31606
1997-02-01,120.31078
1997-03-01,113.69314
1997-04-01,107.56204
1997-05-01,114.05771
1997-06-01,108.25056
1997-07-01,108.81736
1997-08-01,111.92170
1997-09-01,114.43499
1997-10-01,120.19509
1997-11-01,115.39494
1997-12-01,104.32244
1998-01-01,94.77189
1998-02-01,90.72603
1998-03-01,86.40429
1998-04-01,88.76894
1998-05-01,87.84564
1998-06-01,83.00892
1998-07-01,82.56371
1998-08-01,79.00205
1998-09-01,84.71560
1998-10-01,81.98568
1998-11-01,77.64514
1998-12-01,69.36887
1999-01-01,73.21729
1999-02-01,70.53339
1999-03-01,79.68519
1999-04-01,91.44936
1999-05-01,94.22263
1999-06-01,96.34531
1999-07-01,106.30053
1999-08-01,115.34540
1999-09-01,124.63642
1999-10-01,123.65510
1999-11-01,129.91561
1999-12-01,132.90371
2000-01-01,140.01372
2000-02-01,149.42623
2000-03-01,150.01521
2000-04-01,138.16393
2000-05-01,154.48372
2000-06-01,169.05946
2000-07-01,163.51608
2000-08-01,172.76790
2000-09-01,186.57062
2000-10-01,185.15511
2000-11-01,190.79472
2000-12-01,187.43885
2001-01-01,185.29351
2001-02-01,172.11964
2001-03-01,162.25738
2001-04-01,164.45812
2001-05-01,164.26183
2001-06-01,159.20752
2001-07-01,145.43250
2001-08-01,147.90681
2001-09-01,141.44004
2001-10-01,124.89164
2001-11-01,112.75864
2001-12-01,111.28311
2002-01-01,111.23439
2002-02-01,115.05304
2002-03-01,133.61019
