DATE,etherum_(dollars)
2019-03-01,141.2
2019-04-01,160.4
2019-05-01,267.84
2019-06-01,291.2
2019-07-01,218.86
2019-08-01,171.78
2019-09-01,181.6
2019-10-01,182.06
2019-11-01,151.5
2019-12-01,128.41
2020-01-01,179.62
2020-02-01,218.57
2020-03-01,133.29
2020-04-01,206.88
2020-05-01,230.76
2020-06-01,225.24
2020-07-01,347.25
2020-08-01,434.79
2020-09-01,360.51
2020-10-01,385.74
2020-11-01,616.36
2020-12-01,738.9
2021-01-01,1309.43
2021-02-01,1427.57
2021-03-01,1931.27
2021-04-01,2774.28
2021-05-01,2693.13
2021-06-01,2271.51
2021-07-01,2533.76
2021-08-01,3418.48
2021-09-01,2999.89
2021-10-01,4293.97
2021-11-01,4622.21
2021-12-01,3683.47
2022-01-01,2685.4
2022-02-01,2922.52
2022-03-01,3281.25
2022-04-01,2728.16
2022-05-01,1941.45
2022-06-01,1065.24
2022-07-01,1676.93
2022-08-01,1552.8
2022-09-01,1328.1
2022-10-01,1571.04
2022-11-01,1295.8
2022-12-01,1195.27
2023-01-01,1585.92
2023-02-01,1605.79
2023-03-01,1823.0
2023-04-01,1871.46
2023-05-01,1874.98
2023-06-01,1935.13
2023-07-01,1855.83
2023-08-01,1645.28
2023-09-01,1670.66
2023-10-01,1815.73
2023-11-01,2054.06
2023-12-01,2280.69
2024-01-01,2284.72
2024-02-01,3343.95
2024-03-01,.
