Date,Fish
1990-01-01,100.00000
1990-02-01,102.77731
1990-03-01,98.45495
1990-04-01,99.28595
1990-05-01,101.68826
1990-06-01,103.69425
1990-07-01,109.72206
1990-08-01,115.17936
1990-09-01,113.98321
1990-10-01,89.63897
1990-11-01,84.96999
1990-12-01,79.31050
1991-01-01,80.71221
1991-02-01,93.73936
1991-03-01,77.77331
1991-04-01,78.27736
1991-05-01,78.22154
1991-06-01,76.73955
1991-07-01,76.91938
1991-08-01,74.84611
1991-09-01,77.49956
1991-10-01,79.39402
1991-11-01,85.29141
1991-12-01,87.47854
1992-01-01,82.97039
1992-02-01,82.48443
1992-03-01,80.96795
1992-04-01,83.55562
1992-05-01,85.23024
1992-06-01,81.82095
1992-07-01,81.85540
1992-08-01,81.76417
1992-09-01,75.27283
1992-10-01,67.30397
1992-11-01,71.07061
1992-12-01,78.47681
1993-01-01,77.20240
1993-02-01,65.08571
1993-03-01,64.85925
1993-04-01,65.11449
1993-05-01,60.62080
1993-06-01,57.72971
1993-07-01,57.54881
1993-08-01,59.55914
1993-09-01,59.79436
1993-10-01,59.40083
1993-11-01,57.22783
1993-12-01,60.30229
1994-01-01,60.71108
1994-02-01,61.09347
1994-03-01,60.32703
1994-04-01,58.02717
1994-05-01,59.77667
1994-06-01,60.88005
1994-07-01,61.62193
1994-08-01,62.77585
1994-09-01,64.11984
1994-10-01,66.03709
1994-11-01,63.28751
1994-12-01,63.28303
1995-01-01,68.30125
1995-02-01,71.66186
1995-03-01,73.64383
1995-04-01,74.02427
1995-05-01,73.08926
1995-06-01,73.44984
1995-07-01,82.67559
1995-08-01,81.69054
1995-09-01,83.25542
1995-10-01,84.71969
1995-11-01,94.24120
1995-12-01,98.92351
1996-01-01,106.53373
1996-02-01,108.20158
1996-03-01,101.83378
1996-04-01,97.82822
1996-05-01,92.58445
1996-06-01,91.57734
1996-07-01,88.55366
1996-08-01,86.70251
1996-09-01,92.88517
1996-10-01,96.10751
1996-11-01,98.73443
1996-12-01,96.51149
1997-01-01,93.27026
1997-02-01,92.36673
1997-03-01,90.89808
1997-04-01,89.68665
1997-05-01,90.38243
1997-06-01,93.64558
1997-07-01,96.21386
1997-08-01,100.64871
1997-09-01,104.21202
1997-10-01,106.84000
1997-11-01,113.84406
1997-12-01,116.75713
1998-01-01,115.90554
1998-02-01,115.69568
1998-03-01,113.74749
1998-04-01,114.07364
1998-05-01,112.34363
1998-06-01,111.59015
1998-07-01,108.37707
1998-08-01,108.71369
1998-09-01,111.47616
1998-10-01,108.46436
1998-11-01,100.25314
1998-12-01,84.14448
1999-01-01,80.99996
1999-02-01,78.02003
1999-03-01,66.60530
1999-04-01,61.67072
1999-05-01,59.15364
1999-06-01,58.45733
1999-07-01,60.36775
1999-08-01,62.71864
1999-09-01,66.00976
1999-10-01,66.37902
1999-11-01,67.10325
1999-12-01,69.57971
2000-01-01,69.35300
2000-02-01,68.79190
2000-03-01,66.67385
2000-04-01,64.99263
2000-05-01,63.98307
2000-06-01,69.44513
2000-07-01,72.27149
2000-08-01,70.79083
2000-09-01,70.92101
2000-10-01,70.10354
2000-11-01,69.05159
2000-12-01,75.61472
2001-01-01,76.79887
2001-02-01,78.69519
2001-03-01,76.27477
2001-04-01,73.76671
2001-05-01,73.50707
2001-06-01,78.04947
2001-07-01,80.54683
2001-08-01,83.65804
2001-09-01,84.24600
2001-10-01,85.23990
2001-11-01,89.75881
2001-12-01,94.92367
2002-01-01,95.36439
2002-02-01,97.13803
2002-03-01,97.15358
2002-04-01,99.16825
2002-05-01,101.50415
2002-06-01,98.80236
2002-07-01,100.00855
2002-08-01,99.70758
2002-09-01,101.60848
2002-10-01,100.42351
2002-11-01,99.70420
2002-12-01,97.44878
2003-01-01,98.40392
2003-02-01,97.81606
2003-03-01,96.96739
2003-04-01,95.42058
2003-05-01,98.15962
2003-06-01,103.12209
2003-07-01,102.54014
2003-08-01,100.73287
2003-09-01,98.97312
2003-10-01,98.70955
2003-11-01,102.88435
2003-12-01,102.84121
2004-01-01,109.19075
2004-02-01,112.50753
2004-03-01,111.83191
2004-04-01,109.36576
2004-05-01,108.00150
2004-06-01,104.19455
2004-07-01,102.23229
2004-08-01,101.78161
2004-09-01,101.75393
2004-10-01,102.31329
2004-11-01,106.06833
2004-12-01,105.91562
2005-01-01,107.38772
2005-02-01,108.55726
2005-03-01,109.50352
2005-04-01,108.96333
2005-05-01,106.73591
2005-06-01,104.60124
2005-07-01,100.67503
2005-08-01,120.31783
2005-09-01,120.12505
2005-10-01,125.31133
2005-11-01,126.28229
2005-12-01,131.16012
2006-01-01,139.60852
2006-02-01,139.41076
2006-03-01,139.03399
2006-04-01,140.82109
2006-05-01,148.88730
2006-06-01,147.01464
2006-07-01,147.08339
2006-08-01,191.91230
2006-09-01,198.85161
2006-10-01,193.69636
2006-11-01,193.63077
2006-12-01,197.07067
2007-01-01,193.03897
2007-02-01,192.06700
2007-03-01,194.59503
2007-04-01,197.73986
2007-05-01,194.29593
2007-06-01,192.33755
2007-07-01,186.01842
2007-08-01,176.06528
2007-09-01,170.11081
2007-10-01,161.64181
2007-11-01,158.13600
2007-12-01,165.57948
2008-01-01,170.91908
2008-02-01,174.88985
2008-03-01,179.39282
2008-04-01,181.63489
2008-05-01,182.79331
2008-06-01,185.37858
2008-07-01,194.00897
2008-08-01,190.26471
2008-09-01,187.62751
2008-10-01,168.91547
2008-11-01,160.98891
2008-12-01,158.30918
2009-01-01,159.08092
2009-02-01,160.53265
2009-03-01,161.65225
2009-04-01,161.90437
2009-05-01,171.37116
2009-06-01,178.52406
2009-07-01,187.48449
2009-08-01,198.66315
2009-09-01,209.00220
2009-10-01,224.49900
2009-11-01,238.90474
2009-12-01,259.55465
2010-01-01,268.13155
2010-02-01,262.21321
2010-03-01,275.10734
2010-04-01,300.75577
2010-05-01,292.57835
2010-06-01,278.67502
2010-07-01,261.48385
2010-08-01,256.69845
2010-09-01,250.31244
2010-10-01,255.45403
2010-11-01,254.98127
2010-12-01,244.33449
2011-01-01,246.52024
2011-02-01,247.34260
2011-03-01,269.24633
2011-04-01,270.02639
2011-05-01,243.98906
2011-06-01,231.26725
2011-07-01,225.29801
2011-08-01,223.14865
2011-09-01,206.56054
2011-10-01,207.39563
2011-11-01,215.06355
2011-12-01,210.05518
2012-01-01,198.60869
2012-02-01,201.70194
2012-03-01,202.33333
2012-04-01,215.94592
2012-05-01,232.80143
2012-06-01,251.86406
2012-07-01,266.09834
2012-08-01,269.26082
2012-09-01,263.17444
2012-10-01,259.88271
2012-11-01,291.70000
2012-12-01,335.87100
2013-01-01,320.30847
2013-02-01,288.71603
2013-03-01,273.59207
2013-04-01,281.33782
2013-05-01,281.54155
2013-06-01,267.44336
2013-07-01,245.15258
2013-08-01,248.71912
2013-09-01,233.91586
2013-10-01,233.12178
2013-11-01,237.61117
2013-12-01,238.79922
2014-01-01,243.25561
2014-02-01,254.33125
2014-03-01,265.20368
2014-04-01,270.50090
2014-05-01,279.13973
2014-06-01,306.85506
2014-07-01,314.23130
2014-08-01,306.73474
2014-09-01,287.06207
2014-10-01,304.48449
2014-11-01,338.01786
2014-12-01,366.31145
2015-01-01,332.76623
2015-02-01,311.08416
2015-03-01,290.97050
2015-04-01,284.42434
2015-05-01,265.13060
2015-06-01,252.92096
2015-07-01,238.77764
2015-08-01,238.01892
2015-09-01,240.42226
2015-10-01,252.67189
2015-11-01,268.95058
2015-12-01,261.38125
2016-01-01,238.52156
2016-02-01,223.28363
2016-03-01,212.83517
2016-04-01,219.14222
2016-05-01,234.39927
2016-06-01,241.88757
2016-07-01,215.23260
2016-08-01,218.91373
2016-09-01,214.44144
2016-10-01,198.79792
2016-11-01,196.39081
2016-12-01,196.56887
2017-01-01,187.82097
2017-02-01,172.60181
2017-03-01,163.93516
2017-04-01,167.90509
2017-05-01,171.81802
2017-06-01,167.48014
2017-07-01,165.99673
2017-08-01,172.66642
2017-09-01,187.10133
2017-10-01,185.53979
2017-11-01,188.05749
2017-12-01,206.21135
2018-01-01,222.31227
2018-02-01,228.59890
2018-03-01,228.59314
2018-04-01,226.80932
2018-05-01,206.26779
2018-06-01,200.44515
2018-07-01,198.58770
2018-08-01,194.20711
2018-09-01,196.93611
2018-10-01,196.24789
2018-11-01,194.43749
2018-12-01,191.17571
2019-01-01,194.29596
2019-02-01,194.97634
2019-03-01,196.20701
2019-04-01,200.27422
2019-05-01,200.22402
2019-06-01,197.65396
2019-07-01,192.42521
2019-08-01,183.94994
2019-09-01,180.59649
2019-10-01,184.70207
2019-11-01,188.35781
2019-12-01,188.64112
2020-01-01,191.77519
2020-02-01,205.45701
2020-03-01,196.20496
2020-04-01,196.69478
2020-05-01,194.93871
2020-06-01,199.88213
2020-07-01,203.98930
2020-08-01,197.79466
2020-09-01,192.47011
2020-10-01,192.49208
2020-11-01,198.59089
2020-12-01,203.81365
2021-01-01,206.47606
2021-02-01,211.52355
2021-03-01,214.54760
2021-04-01,214.24631
2021-05-01,230.00395
2021-06-01,232.38146
2021-07-01,228.43981
2021-08-01,226.16489
2021-09-01,224.60577
2021-10-01,224.04045
2021-11-01,220.30499
2021-12-01,221.84012
2022-01-01,228.05194
2022-02-01,229.77883
2022-03-01,228.00642
2022-04-01,230.32530
2022-05-01,224.42137
2022-06-01,219.43591
2022-07-01,214.47782
2022-08-01,214.60644
2022-09-01,201.58381
2022-10-01,192.76962
2022-11-01,204.12568
2022-12-01,216.81786
2023-01-01,220.86998
2023-02-01,220.39560
2023-03-01,222.45070
2023-04-01,234.03664
2023-05-01,255.22759
2023-06-01,259.04126
2023-07-01,274.07687
2023-08-01,276.01525
2023-09-01,272.15442
2023-10-01,267.42072
2023-11-01,272.45160
