Date,Food
1992-01-01,100.00000
1992-02-01,100.18716
1992-03-01,99.54023
1992-04-01,97.36241
1992-05-01,99.92238
1992-06-01,99.23572
1992-07-01,100.06291
1992-08-01,103.45119
1992-09-01,102.98668
1992-10-01,98.78739
1992-11-01,96.74492
1992-12-01,95.50753
1993-01-01,97.47368
1993-02-01,97.16453
1993-03-01,100.15155
1993-04-01,101.74818
1993-05-01,103.33280
1993-06-01,102.24750
1993-07-01,102.71262
1993-08-01,101.37002
1993-09-01,100.82658
1993-10-01,99.82925
1993-11-01,100.78917
1993-12-01,103.45667
1994-01-01,105.34326
1994-02-01,106.50292
1994-03-01,105.18357
1994-04-01,104.72929
1994-05-01,104.23278
1994-06-01,103.02548
1994-07-01,101.25042
1994-08-01,101.58469
1994-09-01,102.80577
1994-10-01,102.54166
1994-11-01,101.75016
1994-12-01,105.20294
1995-01-01,104.18688
1995-02-01,105.19714
1995-03-01,105.18449
1995-04-01,103.77006
1995-05-01,103.27046
1995-06-01,106.84761
1995-07-01,111.29783
1995-08-01,110.83905
1995-09-01,111.27245
1995-10-01,113.44574
1995-11-01,111.68284
1995-12-01,113.07406
1996-01-01,113.61862
1996-02-01,116.37601
1996-03-01,117.62383
1996-04-01,124.77277
1996-05-01,128.17996
1996-06-01,123.90947
1996-07-01,125.29609
1996-08-01,123.75370
1996-09-01,113.93162
1996-10-01,109.95566
1996-11-01,108.89950
1996-12-01,109.15755
1997-01-01,111.49587
1997-02-01,111.62519
1997-03-01,112.84713
1997-04-01,112.84303
1997-05-01,112.05750
1997-06-01,108.09751
1997-07-01,105.99690
1997-08-01,104.55300
1997-09-01,102.99982
1997-10-01,102.94831
1997-11-01,104.67383
1997-12-01,102.11039
1998-01-01,118.69796
1998-02-01,117.75452
1998-03-01,118.87899
1998-04-01,122.53174
1998-05-01,123.17514
1998-06-01,119.61626
1998-07-01,114.69708
1998-08-01,110.63065
1998-09-01,109.08916
1998-10-01,112.19756
1998-11-01,113.69961
1998-12-01,110.40111
1999-01-01,111.94148
1999-02-01,103.45441
1999-03-01,100.34854
1999-04-01,102.48549
1999-05-01,103.45072
1999-06-01,100.40581
1999-07-01,97.50452
1999-08-01,100.37540
1999-09-01,101.66052
1999-10-01,101.06683
1999-11-01,99.34287
1999-12-01,99.84807
2000-01-01,101.32154
2000-02-01,102.61780
2000-03-01,104.50989
2000-04-01,109.27953
2000-05-01,107.68402
2000-06-01,103.89193
2000-07-01,100.61464
2000-08-01,98.80535
2000-09-01,97.95314
2000-10-01,97.37339
2000-11-01,98.50753
2000-12-01,104.29785
2001-01-01,101.46789
2001-02-01,99.70744
2001-03-01,102.16696
2001-04-01,102.90931
2001-05-01,105.48326
2001-06-01,105.09649
2001-07-01,107.78072
2001-08-01,107.86199
2001-09-01,104.27222
2001-10-01,102.24265
2001-11-01,100.13310
2001-12-01,99.66322
2002-01-01,102.53240
2002-02-01,102.99936
2002-03-01,107.90050
2002-04-01,108.20206
2002-05-01,106.94193
2002-06-01,105.90628
2002-07-01,109.37354
2002-08-01,109.06913
2002-09-01,110.08093
2002-10-01,114.45129
2002-11-01,112.12808
2002-12-01,113.76824
2003-01-01,114.29288
2003-02-01,114.75077
2003-03-01,114.34191
2003-04-01,117.02199
2003-05-01,117.78033
2003-06-01,117.01945
2003-07-01,112.06230
2003-08-01,112.80243
2003-09-01,123.82085
2003-10-01,129.71412
2003-11-01,125.65244
2003-12-01,124.51691
2004-01-01,127.13768
2004-02-01,128.24895
2004-03-01,136.10399
2004-04-01,138.75448
2004-05-01,140.62453
2004-06-01,134.72088
2004-07-01,130.22297
2004-08-01,123.14559
2004-09-01,124.41000
2004-10-01,123.34105
2004-11-01,126.60680
2004-12-01,133.27719
2005-01-01,132.51079
2005-02-01,136.86548
2005-03-01,140.18922
2005-04-01,135.95786
2005-05-01,137.76819
2005-06-01,131.51160
2005-07-01,130.80626
2005-08-01,128.24941
2005-09-01,128.43918
2005-10-01,128.10845
2005-11-01,126.76312
2005-12-01,128.86223
2006-01-01,131.37878
