DATE,fish_(dollar_per_metric_ton)
2024-03-01,2095.70
2024-02-01,2054.70
2024-01-01,2057.40
2023-12-01,2071.80
2023-11-01,2038.10
2023-10-01,1994.30
2023-09-01,1885.40
2023-08-01,1965.90
2023-07-01,2009.20
2023-06-01,1929.40
2023-05-01,1982.10
2023-04-01,2018.30
2023-03-01,2004.10
2023-02-01,1853.20
2023-01-01,1962.20
2022-12-01,1842.20
2022-11-01,1775.10
2022-10-01,1654.90
2022-09-01,1684.90
2022-08-01,1726.20
2022-07-01,1781.80
2022-06-01,1816.30
2022-05-01,1856.30
2022-04-01,1918.60
2022-03-01,1959.50
2022-02-01,1904.00
2022-01-01,1799.20
2021-12-01,1831.00
2021-11-01,1778.30
2021-10-01,1785.90
2021-09-01,1758.50
2021-08-01,1818.10
2021-07-01,1817.20
2021-06-01,1773.50
2021-05-01,1906.90
2021-04-01,1769.80
2021-03-01,1717.50
2021-02-01,1731.60
2021-01-01,1852.70
2020-12-01,1899.60
2020-11-01,1784.80
2020-10-01,1887.20
2020-09-01,1902.60
2020-08-01,1978.60
2020-07-01,1985.90
2020-06-01,1810.00
2020-05-01,1760.70
2020-04-01,1701.00
2020-03-01,1596.60
2020-02-01,1571.80
2020-01-01,1593.80
2019-12-01,1529.30
2019-11-01,1478.10
2019-10-01,1521.80
2019-09-01,1479.60
2019-08-01,1529.40
2019-07-01,1437.80
2019-06-01,1419.60
2019-05-01,1316.90
2019-04-01,1291.70
2019-03-01,1304.50
2019-02-01,1322.70
2019-01-01,1331.60
2018-12-01,1287.70
2018-11-01,1231.80
2018-10-01,1220.80
2018-09-01,1201.90
2018-08-01,1206.70
2018-07-01,1233.60
2018-06-01,1260.20
2018-05-01,1310.80
2018-04-01,1325.30
2018-03-01,1333.30
2018-02-01,1323.70
2018-01-01,1348.40
2017-12-01,1314.00
2017-11-01,1281.10
2017-10-01,1274.70
2017-09-01,1288.90
2017-08-01,1322.20
2017-07-01,1273.40
2017-06-01,1246.00
2017-05-01,1279.00
2017-04-01,1271.70
2017-03-01,1254.50
2017-02-01,1257.20
2017-01-01,1214.50
2016-12-01,1154.30
2016-11-01,1177.00
2016-10-01,1276.90
2016-09-01,1320.90
2016-08-01,1311.40
2016-07-01,1357.50
2016-06-01,1324.00
2016-05-01,1220.30
2016-04-01,1292.60
2016-03-01,1237.00
2016-02-01,1235.10
2016-01-01,1116.80
2015-12-01,1060.80
2015-11-01,1066.00
2015-10-01,1142.30
2015-09-01,1116.00
2015-08-01,1132.50
2015-07-01,1095.10
2015-06-01,1172.80
2015-05-01,1190.70
2015-04-01,1183.40
2015-03-01,1184.10
2015-02-01,1214.00
2015-01-01,1280.00
2014-12-01,1184.90
2014-11-01,1176.00
2014-10-01,1172.40
2014-09-01,1212.30
2014-08-01,1287.40
2014-07-01,1282.80
2014-06-01,1322.40
2014-05-01,1246.30
2014-04-01,1296.00
2014-03-01,1284.10
2014-02-01,1321.90
2014-01-01,1240.30
2013-12-01,1203.00
2013-11-01,1251.30
2013-10-01,1324.50
2013-09-01,1327.70
2013-08-01,1396.10
2013-07-01,1313.00
2013-06-01,1224.80
2013-05-01,1394.20
2013-04-01,1473.50
2013-03-01,1597.40
2013-02-01,1579.80
2013-01-01,1662.00
2012-12-01,1676.90
2012-11-01,1712.70
2012-10-01,1720.20
2012-09-01,1773.90
2012-08-01,1686.40
