Date,Hard
1990-01-01,100.00000
1990-02-01,102.37859
1990-03-01,101.85859
1990-04-01,98.91889
1990-05-01,88.48006
1990-06-01,89.11123
1990-07-01,87.39662
1990-08-01,87.69479
1990-09-01,87.73708
1990-10-01,90.88252
1990-11-01,91.97821
1990-12-01,89.79734
1991-01-01,89.41041
1991-02-01,88.60143
1991-03-01,88.34261
1991-04-01,89.11929
1991-05-01,91.69484
1991-06-01,86.39659
1991-07-01,86.39659
1991-08-01,99.56093
1991-09-01,104.83320
1991-10-01,103.08086
1991-11-01,103.23124
1991-12-01,102.06190
1992-01-01,103.93032
1992-02-01,107.78195
1992-03-01,108.33090
1992-04-01,110.87441
1992-05-01,113.08709
1992-06-01,109.86962
1992-07-01,109.65881
1992-08-01,109.26502
1992-09-01,109.03805
1992-10-01,107.97271
1992-11-01,112.18849
1992-12-01,108.71045
1993-01-01,108.89087
1993-02-01,111.18590
1993-03-01,110.95207
1993-04-01,116.09800
1993-05-01,139.69994
1993-06-01,144.54759
1993-07-01,149.25568
1993-08-01,150.30823
1993-09-01,153.09617
1993-10-01,153.13824
1993-11-01,150.23168
1993-12-01,149.31375
1994-01-01,139.25785
1994-02-01,136.41488
1994-03-01,138.68631
1994-04-01,147.48232
1994-05-01,153.81526
1994-06-01,157.71937
1994-07-01,157.56565
1994-08-01,159.61272
1994-09-01,155.00831
1994-10-01,145.13922
1994-11-01,142.52119
1994-12-01,139.91298
1995-01-01,142.82256
1995-02-01,135.53440
1995-03-01,128.47081
1995-04-01,131.78053
1995-05-01,135.05117
1995-06-01,136.54757
1995-07-01,135.33022
1995-08-01,133.41823
1995-09-01,131.08027
1995-10-01,130.14301
1995-11-01,128.80526
1995-12-01,128.76695
1996-01-01,129.39887
1996-02-01,128.37433
1996-03-01,131.07493
1996-04-01,135.15912
1996-05-01,135.46961
1996-06-01,134.53444
1996-07-01,133.82503
1996-08-01,133.72937
1996-09-01,135.86613
1996-10-01,135.51036
1996-11-01,135.56789
1996-12-01,130.74515
1997-01-01,133.16755
1997-02-01,135.50184
1997-03-01,136.10735
1997-04-01,134.87822
1997-05-01,134.47226
1997-06-01,132.50050
1997-07-01,126.94109
1997-08-01,116.74338
1997-09-01,105.59509
1997-10-01,96.14937
1997-11-01,92.89818
1997-12-01,84.72739
1998-01-01,74.35669
1998-02-01,90.68711
1998-03-01,91.04390
1998-04-01,91.01529
1998-05-01,85.02724
1998-06-01,81.20237
1998-07-01,78.71639
1998-08-01,81.94933
1998-09-01,90.56931
1998-10-01,91.82722
1998-11-01,92.45618
1998-12-01,96.22989
1999-01-01,96.85885
1999-02-01,96.85885
1999-03-01,100.00362
1999-04-01,101.89048
1999-05-01,104.40629
1999-06-01,109.43792
1999-07-01,111.95373
1999-08-01,113.21164
1999-09-01,115.72746
1999-10-01,115.72746
1999-11-01,115.72746
1999-12-01,115.72746
2000-01-01,115.72746
2000-02-01,115.72746
2000-03-01,114.46955
2000-04-01,114.46955
2000-05-01,114.03202
2000-06-01,113.21164
2000-07-01,113.00199
2000-08-01,108.80897
2000-09-01,98.02691
2000-10-01,96.85885
2000-11-01,94.68610
2000-12-01,94.34303
2001-01-01,93.08513
2001-02-01,90.25484
2001-03-01,89.94036
2001-04-01,89.94036
2001-05-01,89.94036
2001-06-01,85.74734
2001-07-01,86.53829
2001-08-01,85.53768
2001-09-01,88.05350
2001-10-01,87.17843
2001-11-01,83.82236
2001-12-01,84.33968
2002-01-01,84.71731
2002-02-01,86.79559
2002-03-01,86.73569
2002-04-01,87.25301
2002-05-01,87.17843
2002-06-01,89.94036
2002-07-01,91.28030
2002-08-01,95.82965
2002-09-01,101.59098
2002-10-01,101.67171
2002-11-01,101.53108
2002-12-01,101.66177
2003-01-01,99.37466
2003-02-01,98.90295
2003-03-01,98.77566
2003-04-01,98.94583
2003-05-01,99.80350
2003-06-01,99.37466
2003-07-01,99.37466
2003-08-01,100.63257
