Date,Soybeans
1990-01-01,100.00000
1990-02-01,99.34326
1990-03-01,104.02802
1990-04-01,105.16637
1990-05-01,108.81130
1990-06-01,105.35245
1990-07-01,106.02014
1990-08-01,106.14054
1990-09-01,108.14361
1990-10-01,107.13660
1990-11-01,100.96322
1990-12-01,101.92644
1991-01-01,98.89448
1991-02-01,100.14229
1991-03-01,101.66375
1991-04-01,102.88967
1991-05-01,100.39405
1991-06-01,99.54028
1991-07-01,94.88835
1991-08-01,99.16813
1991-09-01,103.05385
1991-10-01,98.05166
1991-11-01,98.01883
1991-12-01,97.29641
1992-01-01,99.41988
1992-02-01,100.63485
1992-03-01,103.01007
1992-04-01,100.70053
1992-05-01,105.02408
1992-06-01,106.93958
1992-07-01,99.17907
1992-08-01,96.68345
1992-09-01,96.69440
1992-10-01,94.20972
1992-11-01,97.79991
1992-12-01,99.56217
1993-01-01,101.19308
1993-02-01,100.09851
1993-03-01,102.04685
1993-04-01,103.74343
1993-05-01,105.56042
1993-06-01,105.75744
1993-07-01,123.35814
1993-08-01,117.54597
1993-09-01,112.50000
1993-10-01,107.74956
1993-11-01,116.25438
1993-12-01,120.34807
1994-01-01,121.81480
1994-02-01,118.99081
1994-03-01,119.40674
1994-04-01,115.69615
1994-05-01,119.25350
1994-06-01,118.95797
1994-07-01,106.39229
1994-08-01,102.03590
1994-09-01,99.06961
1994-10-01,94.70228
1994-11-01,97.88748
1994-12-01,98.35814
1995-01-01,96.50832
1995-02-01,97.05560
1995-03-01,99.77014
1995-04-01,100.68958
1995-05-01,100.86471
1995-06-01,103.25088
1995-07-01,108.14361
1995-08-01,104.33450
1995-09-01,110.84720
1995-10-01,114.85333
1995-11-01,119.02364
1995-12-01,125.79904
1996-01-01,128.73249
1996-02-01,127.84588
1996-03-01,126.66375
1996-04-01,138.40849
1996-05-01,140.83844
1996-06-01,135.63923
1996-07-01,137.62040
1996-08-01,141.21060
1996-09-01,141.77977
1996-10-01,123.81786
1996-11-01,121.66156
1996-12-01,122.55911
1997-01-01,127.76926
1997-02-01,133.70184
1997-03-01,145.77496
1997-04-01,149.34326
1997-05-01,152.42995
1997-06-01,145.24956
1997-07-01,133.99737
1997-08-01,127.52846
1997-09-01,121.62872
1997-10-01,119.50525
1997-11-01,126.49956
1997-12-01,121.33319
1998-01-01,117.23949
1998-02-01,117.91813
1998-03-01,114.43739
1998-04-01,112.04028
1998-05-01,112.54378
1998-06-01,110.14667
1998-07-01,110.77058
1998-08-01,96.38792
1998-09-01,92.14098
1998-10-01,95.67644
1998-11-01,100.03284
1998-12-01,97.65762
1999-01-01,92.95096
1999-02-01,85.62828
1999-03-01,83.42820
1999-04-01,84.61033
1999-05-01,81.70972
1999-06-01,81.02014
1999-07-01,75.44877
1999-08-01,81.97242
1999-09-01,86.08800
1999-10-01,84.91681
1999-11-01,81.58932
1999-12-01,80.99825
2000-01-01,85.96760
2000-02-01,88.52890
2000-03-01,91.01357
2000-04-01,93.93608
2000-05-01,95.73117
2000-06-01,89.09807
2000-07-01,80.77933
2000-08-01,80.00219
2000-09-01,86.00044
2000-10-01,82.73862
2000-11-01,84.44615
2000-12-01,88.62741
2001-01-01,83.60333
2001-02-01,79.80517
2001-03-01,78.33844
2001-04-01,75.59107
2001-05-01,78.09764
2001-06-01,81.12960
2001-07-01,88.95578
2001-08-01,87.09501
2001-09-01,82.13660
2001-10-01,76.55429
2001-11-01,77.47373
2001-12-01,76.32443
2002-01-01,76.28065
2002-02-01,76.34632
2002-03-01,80.39623
2002-04-01,81.66594
2002-05-01,84.18345
2002-06-01,88.34282
2002-07-01,99.64974
2002-08-01,99.23380
2002-09-01,99.23380
2002-10-01,95.35902
2002-11-01,100.18608
2002-12-01,99.24475
2003-01-01,99.45008
2003-02-01,99.89785
2003-03-01,100.18806
2003-04-01,105.66245
2003-05-01,110.76368
2003-06-01,109.50662
2003-07-01,102.00382
2003-08-01,99.23327
2003-09-01,110.42388
2003-10-01,128.19476
2003-11-01,133.31003
2003-12-01,134.96105
2004-01-01,143.40293
2004-02-01,150.86289
2004-03-01,171.89138
2004-04-01,173.23972
2004-05-01,165.78905
2004-06-01,152.61571
2004-07-01,138.10646
2004-08-01,107.60747
2004-09-01,98.38897
2004-10-01,92.18702
2004-11-01,93.32318
2004-12-01,94.64487
2005-01-01,93.25032
2005-02-01,94.16748
2005-03-01,111.12964
2005-04-01,109.02505
2005-05-01,111.26401
2005-06-01,121.40564
2005-07-01,120.74101
2005-08-01,109.81733
2005-09-01,101.04278
2005-10-01,100.63835
2005-11-01,100.51119
2005-12-01,103.20043
2006-01-01,101.99288
2006-02-01,102.16281
2006-03-01,101.37570
2006-04-01,99.55914
2006-05-01,103.58781
2006-06-01,103.18186
2006-07-01,103.53826
2006-08-01,97.14822
2006-09-01,94.98613
2006-10-01,103.84053
2006-11-01,116.28603
2006-12-01,115.95602
2007-01-01,121.94179
2007-02-01,132.50820
2007-03-01,131.99406
2007-04-01,128.86410
2007-05-01,134.97100
2007-06-01,144.32300
2007-07-01,149.39714
2007-08-01,147.26695
2007-09-01,165.64158
2007-10-01,170.80834
2007-11-01,185.39763
2007-12-01,201.63266
2008-01-01,220.04516
2008-02-01,242.20654
2008-03-01,236.23735
2008-04-01,230.08966
2008-05-01,233.09114
2008-06-01,263.29828
2008-07-01,264.09757
2008-08-01,224.50222
2008-09-01,206.54263
2008-10-01,161.45878
2008-11-01,156.86054
2008-12-01,151.94112
2009-01-01,173.81802
2009-02-01,162.64391
2009-03-01,159.01532
2009-04-01,178.46395
2009-05-01,201.28681
2009-06-01,212.13054
2009-07-01,189.72194
2009-08-01,194.90172
2009-09-01,166.35191
2009-10-01,169.12218
2009-11-01,176.67237
2009-12-01,180.76725
2010-01-01,171.07702
2010-02-01,164.25910
2010-03-01,166.30297
2010-04-01,170.44416
2010-05-01,166.35160
2010-06-01,166.09549
2010-07-01,176.80037
2010-08-01,180.84486
2010-09-01,185.97717
2010-10-01,203.58445
2010-11-01,219.20920
2010-12-01,230.54933
