Symbol,Name,Country;
06N.WA,06MAGNA,Poland;
11B.WA,11BIT,Poland;
1AT.WA,ATAL,Poland;
3RG.WA,3RGAMES,Poland;
A,Agilent Technologies Inc. Common Stock,United States;
AA,Alcoa Corporation Common Stock ,United States;
AACG,ATA Creativity Global American Depositary Shares,China;
AACI,Armada Acquisition Corp. I Common Stock,United States;
AACIW,Armada Acquisition Corp. I Warrant,United States;
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,;
AADI,Aadi Bioscience Inc. Common Stock,United States;
AAGR,African Agriculture Holdings Inc. Common Stock,United States;
AAL,American Airlines Group Inc. Common Stock,United States;
AAMC,Altisource Asset Management Corp Com,United States;
AAME,Atlantic American Corporation Common Stock,United States;
AAN,Aarons Holdings Company Inc. Common Stock ,United States;
AAOI,Applied Optoelectronics Inc. Common Stock,United States;
AAON,AAON Inc. Common Stock,United States;
AAP,Advance Auto Parts Inc.,United States;
AAPL,Apple Inc. Common Stock,United States;
AAT,American Assets Trust Inc. Common Stock,United States;
AAT.WA,ALTA,Poland;
AAU,Almaden Minerals Ltd. Common Shares,Canada;
AB,AllianceBernstein Holding L.P.  Units,United States;
ABAT,American Battery Technology Company Common Stock,United States;
ABBV,AbbVie Inc. Common Stock,United States;
ABCB,Ameris Bancorp Common Stock,United States;
ABCL,AbCellera Biologics Inc. Common Shares,Canada;
ABE.WA,ABPL,Poland;
ABEO,Abeona Therapeutics Inc. Common Stock,United States;
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil;
ABG,Asbury Automotive Group Inc Common Stock,United States;
ABIO,ARCA biopharma Inc. Common Stock,United States;
ABL,Abacus Life Inc. Class A Common Stock,United States;
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States;
ABLLW,Abacus Life Inc. Warrant,United States;
ABLV,Able View Global Inc. Class B Ordinary Shares,China;
ABM,ABM Industries Incorporated Common Stock,United States;
ABNB,Airbnb Inc. Class A Common Stock,United States;
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States;
ABR,Arbor Realty Trust Common Stock,United States;
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States;
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States;
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States;
ABS.WA,ASSECOBS,Poland;
ABSI,Absci Corporation Common Stock,United States;
ABT,Abbott Laboratories Common Stock,United States;
ABTS,Abits Group Inc Ordinary Shares,China;
ABUS,Arbutus Biopharma Corporation Common Stock,Canada;
ABVC,ABVC BioPharma Inc. Common Stock,United States;
ABVX,Abivax SA American Depositary Shares,France;
AC,Associated Capital Group Inc. Common Stock,United States;
ACA,Arcosa Inc. Common Stock ,United States;
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,United States;
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,United States;
ACACU,Acri Capital Acquisition Corporation Unit,United States;
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States;
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States;
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States;
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States;
ACB,Aurora Cannabis Inc. Common Shares,Canada;
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Hong Kong;
ACCD,Accolade Inc. Common Stock,United States;
ACCO,Acco Brands Corporation Common Stock,United States;
ACDC,ProFrac Holding Corp. Class A Common Stock,United States;
ACEL,Accel Entertainment Inc. ,United States;
ACET,Adicet Bio Inc. Common Stock ,United States;
ACG.WA,ACAUTOGAZ,Poland;
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda;
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda;
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda;
ACHC,Acadia Healthcare Company Inc. Common Stock,United States;
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom;
ACHR,Archer Aviation Inc. Class A Common Stock,United States;
ACHV,Achieve Life Sciences Inc. Common Shares,United States;
ACI,Albertsons Companies Inc. Class A Common Stock,United States;
ACIC,American Coastal Insurance Corporation Common Stock,United States;
ACIU,AC Immune SA Common Stock,Switzerland;
ACIW,ACI Worldwide Inc. Common Stock,United States;
ACLS,Axcelis Technologies Inc. Common Stock,United States;
